,item_id,labels,en,es-CO,de,fr
10,pick-buddy,general,Pick a buddy to play with!,¡Escoge un amigo para jugar!,Wähle einen Freund zum Mitspielen!,Choisissez un ami avec qui jouer !
11,replay-button,general,Press the replay button if you want the question repeated.,Press the replay button if you want the question repeated.,Press the replay button if you want the question repeated.,Appuyez sur le bouton de relecture si vous voulez que la question soit répétée.
12,general-fullscreen,general,Switch to full screen mode,Cambiar al modo de pantalla completa,Wechseln Sie in den Vollbildmodus,Basculer en mode plein écran
13,general-exit,general,Exit,Salir,Exit,Quitter
14,task-completion,general,You've finished this game. Thank you!,Has terminado este juego. ¡Gracias!,You've finished this game. Thank you!,Vous avez terminé ce jeu. Merci !
15,matrix-reasoning-prompt1,matrix-reasoning,Choose the best pattern to fill in the blank.,Escoge el mejor patrón para llenar el espacio en blanco.,"Wähle das beste Muster, um die Lücke zu füllen.",Choisissez le meilleur modèle à remplir dans le vide.
16,mental-rotation-prompt2,mental-rotation,Choose the picture that matches this one.,Escoge la imagen que coincida con esta.,"Wähle das Bild aus, das zu diesem Bild passt.",Choisissez l'image qui correspond à celle-ci.
17,mental-rotation-prompt1,mental-rotation,Choose the matching picture.,Escoge la imagen que coincide.,Wähle das passende Bild aus.,Choisissez l'image correspondante.
18,math-instructions1,math,We are going to play some counting games and some number games. Let's get started!,We are going to play some counting games and some number games. Let's get started!,We are going to play some counting games and some number games. Let's get started!,Nous allons jouer à des jeux comptant et à de nombreuses parties. Commençons !
19,number-comparison-prompt1,"math, number-comparison",Which number is larger?,¿Cuál número es mayor?,Welche Zahl ist größer?,Quel nombre est plus grand ?
20,number-comparison-prompt2,"math, number-comparison",Which is larger?,¿Cuál es mayor?,Welche ist größer?,Lequel est le plus grand ?
21,number-identification-prompt1,"math, number-identification",Choose the number you hear.,Escoge el número cuando lo escuches.,"Wähle die Zahl, die du hörst.",Choisissez le numéro que vous entendez.
22,missing-number-prompt1,"math, missing-number",What number goes in the blank?,¿Cuál número va en el espacio en blanco?,Welche Zahl gehört in die Lücke?,Quel nombre va dans le vide?
23,missing-number-prompt2,"math, missing-number",What number goes here?,¿Cuál número va aquí?,Welche Zahl gehört hierher?,Quel nombre va ici?
24,addition-prompt1,"math, addition",Add the numbers and choose the correct answer.,Suma los números y elige la respuesta correcta.,Addiere die Zahlen und wähle die richtige Antwort.,Ajoutez les chiffres et choisissez la bonne réponse.
25,addition-prompt2,"math, addition",Add the numbers.,Suma los números.,Addiere die Zahlen. ,Ajouter les numéros.
26,subtraction-prompt1,"math, subtraction",Subtract the numbers and choose the correct answer.,Resta los números y elige la respuesta correcta.,Ziehe die Zahlen ab und wähle die richtige Antwort.,Soustraire les chiffres et choisir la bonne réponse.
27,subtraction-prompt2,"math, subtraction",Subtract the numbers.,Resta los números.,Ziehe die Zahlen ab. ,Soustraire les nombres.
28,multiplication-prompt1,"math, multiplication",Multiply the numbers and choose the correct answer.,Multiplica los números y elige la respuesta correcta.,Multipliziere die Zahlen und wähle die richtige Antwort.,Multipliez les nombres et choisissez la bonne réponse.
29,multiplication-prompt2,"math, multiplication",Multiply the numbers.,Multiplica los números.,Multipliziere die Zahlen. ,Multiplie les nombres.
30,number-line-prompt1,"math, number-line-4AFC",Choose the number that is marked on the number line.,Elige el número que está marcado en la línea recta de números.,"Wähle die Zahl, die auf der Zahlenreihe markiert ist.",Choisissez le numéro indiqué sur la ligne numérotée.
31,number-line-slider-prompt1,number-line-slider,Move the slider to the indicated number.,Move the slider to the indicated number.,Move the slider to the indicated number.,Déplacez le curseur vers le nombre indiqué.
32,number-identification-1,"math, number-identification",Choose the number 1.,Elige el número 1.,Wähle die Zahl 1.,Choisissez le numéro 1.
33,number-identification-2,"math, number-identification",Choose the 2.,Elige el 2.,Wähle die 2.,Choisissez le 2.
34,number-identification-3,"math, number-identification",Choose the 9.,Elige el 9.,Wähle die 9.,Choisissez le 9.
35,number-identification-4,"math, number-identification",Choose the 0.,Elige el 0.,Wähle die 0.,Choisissez le 0.
36,number-identification-5,"math, number-identification",Choose the 12.,Elige el 12.,Wähle die 12.,Choisissez les 12.
37,number-identification-6,"math, number-identification",Choose the 30.,Elige el 30.,Wähle die 30.,Choisissez les 30.
38,number-identification-7,"math, number-identification",Choose the 22.,Elige el 22.,Wähle die 22.,Choisissez le 22.
39,number-identification-8,"math, number-identification",Choose the 45.,Elige el 45.,Wähle die 45.,Choisissez le 45.
40,number-identification-9,"math, number-identification",Choose the 39.,Elige el 39.,Wähle die 39.,Choisissez le 39.
41,number-identification-10,"math, number-identification",Choose the 23.,Elige el 23.,Wähle die 23.,Choisissez le 23.
42,number-identification-11,"math, number-identification",Choose the 48.,Elige el 48.,Wähle die 48.,Choisissez le 48.
43,number-identification-12,"math, number-identification",Choose the 91.,Elige el 91.,Wähle die 91.,Choisissez le 91.
44,number-identification-13,"math, number-identification",Choose the 33.,Elige el 33.,Wähle die 33.,Choisissez le 33.
45,number-identification-14,"math, number-identification",Choose the 74.,Elige el 74.,Wähle die 74.,Choisissez le 74.
46,number-identification-15,"math, number-identification",Choose the 87.,Elige el 87.,Wähle die 87.,Choisissez le 87.
47,number-identification-16,"math, number-identification",Choose the 65.,Elige el 65.,Wähle die 65.,Choisissez le 65.
48,number-identification-17,"math, number-identification",Choose the 108.,Elige el 108.,Wähle die 108.,Choisissez le 108.
49,number-identification-18,"math, number-identification",Choose the 245.,Elige el 245.,Wähle die 245.,Choisissez le 245.
50,number-identification-19,"math, number-identification",Choose the 587.,Elige el 587.,Wähle die 587.,Choisissez le 587.
51,number-identification-20,"math, number-identification",Choose the 731.,Elige el 731.,Wähle die 731.,Choisissez le 731.
52,number-identification-21,"math, number-identification",Choose the 989.,Elige el 989. ,Wähle die 989.,Choisissez le 989.
53,trog-instruct1,trog,"Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!","Ahora, ¡vamos a hacer un juego de asociación! Yo diré palabras y tú tocarás la imagen que va con las palabras que yo diga. ¡Empecemos!","Jetzt werden wir ein Zuordnungsspiel spielen! Ich sage ein paar Worte, und du berührst das Bild, das zu dem passt, was ich sage. Bist du bereit?","Maintenant nous allons jouer à un jeu qui corresponde ! Je vais dire quelques mots, et vous choisissez l'image qui va avec ce que je dis. Commençons !"
54,trog-prompt1,trog,Choose the picture of the...,Elige la imagen del...,Berühre das Bild mit dem/der/den...,Choisissez la photo de la...
55,trog-prompt2,trog,Choose the picture of...,Elige la imagen de...,Berühre das Bild mit...,Choisir l'image de...
56,trog-prompt3,trog,Choose the picture that shows...,Elige la imagen que muestra...,Berühre das Bild was folgendes zeigt:,Choisissez l'image qui apparaît...
57,same-different-selection-prompt1,same-different-selection,Here is another picture. Which of these is the same as this one?,Here is another picture. Which of these is the same as this one?,Here is another picture. Which of these is the same as this one?,Voici une autre image. Laquelle de ces images est la même que celle-ci?
58,same-different-selection-prompt2,same-different-selection,Choose two pictures that are the same.,Choose two pictures that are the same.,Choose two pictures that are the same.,Choisissez deux images qui sont les mêmes.
59,same-different-selection-prompt3,same-different-selection,Choose two pictures that are the same in a different way.,Choose two pictures that are the same in a different way.,Choose two pictures that are the same in a different way.,Choisissez deux images qui sont les mêmes d'une manière différente.
60,shared-intro-devices,trog,"You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.","You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.","You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.","Vous pouvez appuyer sur un écran tactile, utiliser le pavé tactile ou appuyer sur les flèches pour cette activité. Essayez-le maintenant."
61,shared-choose-picture-press-arrow,trog,"To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.","To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.","To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.","Pour utiliser une flèche pour choisir une image, appuyez sur la touche qui pointe dans la même direction que la flèche située en dessous de l'image."
62,shared-intro-replay,trog,You can press the replay button to hear things again. Try it now.,You can press the replay button to hear things again. Try it now.,You can press the replay button to hear things again. Try it now.,Vous pouvez appuyer sur le bouton de relecture pour entendre les choses à nouveau. Essayez maintenant.
63,trog-instr1-matching,trog,"This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.","This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.","This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.","Il s'agit d'une activité similaire, écoutez ce que je dis, puis regardez attentivement les photos. Choisissez la photo qui accompagne les mots que vous entendez."
64,trog-item-1,trog,Choose the picture of the shoe.,Elige la imagen del zapato.,Wähle das Bild mit dem Schuh.,Choisissez la photo de la chaussure.
65,trog-item-2,trog,Choose the picture of the bird.,Elige la imagen del pájaro.,Wähle das Bild mit dem Vogel.,Choisissez la photo de l'oiseau.
66,trog-item-3,trog,Choose the picture of the comb.,Elige la imagen del peine.,Wähle das Bild mit dem Kamm.,Choisissez la photo de la peau.
67,trog-item-4,trog,Choose the picture of the apple.,Elige la imagen de la manzana.,Wähle das Bild mit dem Apfel.,Choisissez la photo de la pomme.
68,trog-item-5,trog,Choose the picture that shows eating.,Elige la imagen que muestra comiendo.,"Wähle das Bild aus, das zeigt, wie jemand isst.",Choisissez la photo qui montre la nourriture.
69,trog-item-6,trog,Choose the picture that shows picking.,Elige la imagen que muestra recogiendo.,"Wähle das Bild aus, das zeigt, wie jemand pflückt.",Choisissez la photo qui montre la cueillette.
70,trog-item-7,trog,Choose the picture that shows sitting.,Elige la imagen que muestra sentado.,"Wähle das Bild aus, das zeigt, wie jemand sitzt.",Choisissez la photo qui montre la séance.
71,trog-item-8,trog,Choose the picture that shows running.,Elige la imagen que muestra corriendo.,"Wähle das Bild aus, das zeigt, wie jemand läuft.",Choisissez l'image qui montre en cours d'exécution.
72,trog-item-9,trog,Choose the picture that shows long.,Elige la imagen que muestra largo.,"Wähle das Bild aus, das etwas langes zeigt.",Choisissez la photo qui montre longuement.
73,trog-item-10,trog,Choose the picture that shows tall.,Elige la imagen que muestra alto.,"Wähle das Bild aus, das etwas großes zeigt.",Choisissez la photo qui montre haut.
74,trog-item-11,trog,Choose the picture that shows red.,Elige la imagen que muestra el rojo.,"Wähle das Bild aus, das etwas rotes zeigt.",Choisissez l'image qui s'affiche en rouge.
75,trog-item-12,trog,Choose the picture that shows black.,Elige la imagen que muestra el negro.,"Wähle das Bild aus, das etwas schwarzes zeigt.",Choisissez la photo qui montre le noir.
76,trog-item-13,trog,the boy is running,el niño está corriendo,der Junge rennt.,le garçon coule
77,trog-item-14,trog,the big cup,la taza grande,die große Tasse.,la grande tasse
78,trog-item-15,trog,the dog is sitting,el perro está sentado,der Hund sitzt.,le chien est assis
79,trog-item-16,trog,the red ball,la pelota roja,der rote Ball.,la boule rouge
80,trog-item-17,trog,the boy is not running,el niño no está corriendo,der Junge rennt nicht.,le garçon ne fonctionne pas
81,trog-item-18,trog,the dog is not drinking,el perro no está bebiendo,der Hund trinkt nicht.,le chien ne boit pas
82,trog-item-19,trog,the girl is not jumping,la niña no está saltando,das Mädchen hüpft nicht.,la fille ne saute pas
83,trog-item-20,trog,the dog is not sitting,el perro no está sentado,der Hund sitzt nicht.,le chien n'est pas assis
84,trog-item-21,trog,the boy is jumping over the box,el niño salta por encima de la caja,der Junge springt über den Kasten. ,le garçon saute au-dessus de la boîte
85,trog-item-22,trog,the girl is sitting on the table,la niña está sentada encima de la mesa,das Mädchen sitzt auf dem Tisch.,la fille est assise sur la table
86,trog-item-23,trog,the man is eating the apple,el hombre se está comiendo una manzana,der Mann ißt einen Apfel.,l'homme mange la pomme
87,trog-item-24,trog,the lady is carrying the bag,la señora está llevando la bolsa,die Frau trägt eine Tasche.,la dame porte le sac
88,trog-item-25,trog,they are sitting on the table,están sentadas encima de la mesa,sie sitzen auf dem Tisch.,ils sont assis sur la table
89,trog-item-26,trog,the cow is looking at them,la vaca está mirándolas,die Kuh sieht sie an.,la vache les regarde
90,trog-item-27,trog,they are jumping over the wall,están saltando por encima de la pared,sie springen über die Mauer.,ils sautent par-dessus le mur
91,trog-item-28,trog,the elephant is carrying them,el elefante está llevandolos,der Elefant trägt sie,l'éléphant les porte
92,trog-item-29,trog,the girl is pushing the horse,la niña está empujando al caballo,das Mädchen schiebt das Pferd,la fille pousse le cheval
93,trog-item-30,trog,the boy is chasing the sheep,el niño persigue a la oveja,der Junge jagt das Schaf,le garçon chasse les moutons
94,trog-item-31,trog,the man is chasing the dog,el hombre persigue al perro,der Mann jagt den Hund,l'homme traque le chien
95,trog-item-32,trog,the cow is pushing the lady,la vaca está empujando a la señora,die Kuh schiebt die Dame,la vache pousse la dame
96,trog-item-33,trog,she is sitting on the chair,ella está sentada en la silla,sie sitzt auf dem Stuhl.,elle est assise sur la chaise
97,trog-item-34,trog,the lady is carrying him,la señora lo está cargando,die Dame trägt ihn,la dame le porte
98,trog-item-35,trog,he is sitting in the tree,él está sentado en el árbol,er sitzt auf dem Baum,il est assis dans l'arbre
99,trog-item-36,trog,the horse is looking at her,el caballo la está mirando,das Pferd sieht sie an,le cheval la regarde
100,trog-item-37,trog,the cats look at the ball,los gatos miran la pelota,die Katzen schauen auf den Ball,les chats regardent la boule
101,trog-item-38,trog,the boy stands on the chairs,el niño se para encima de las sillas,der Junge steht auf den Stühlen,le garçon se tient sur les chaises
102,trog-item-39,trog,the boys pick the apples,los niños recogen las manzanas,die Jungen pflücken die Äpfel,les garçons choisissent les pommes
103,trog-item-40,trog,the girl drops the cups,la niña deja caer las tazas,das Mädchen lässt die Tassen fallen,la fille lâche les tasses
104,trog-item-41,trog,the fork is longer than the pencil,el tenedor es más largo que el lápiz,die Gabel ist länger als der Bleistift,la fourche est plus longue que le crayon
105,trog-item-42,trog,the box is bigger than the cup,la caja es más grande que la taza,die Schchtel ist größer als die Tasse,la boîte est plus grande que la tasse
106,trog-item-43,trog,the shoe is bigger than the bird,el zapato es más grande que el pájaro,der Schuh ist größer als der Vogel,la chaussure est plus grande que l'oiseau
107,trog-item-44,trog,the horse is taller than the wall,el caballo es más alto que la pared,das Pferd ist größer als die Mauer,le cheval est plus grand que le mur
108,trog-item-45,trog,the girl is chased by the horse,la niña es perseguida por el caballo,das Mädchen wird vom Pferd gejagt,la fille est chassée par le cheval
109,trog-item-46,trog,the elephant is pushed by the boy,el elefante es empujado por el niño,der Elefant wird von dem Jungen geschoben,l'éléphant est poussé par le garçon
110,trog-item-47,trog,the horse is chased by the man,el caballo es perseguido por el hombre,das Pferd wird von dem Mann gejagt,le cheval est chassé par l'homme
111,trog-item-48,trog,the cow is pushed by the man,la vaca es empujada por el hombre,die Kuh wird von dem Mann geschoben,la vache est poussée par l'homme
112,trog-item-49,trog,the cup is in the box,la taza está en la caja,die Tasse ist in der Schachtel,le gobelet est dans la boîte
113,trog-item-50,trog,the pencil is on the box,el lápiz está encima de la caja,der Bleistift ist auf der Schachtel,le crayon est sur la boîte
114,trog-item-51,trog,the circle is in the star,el círculo está en la estrella,der Kreis ist im Stern,le cercle est dans l'étoile
115,trog-item-52,trog,the fork is on the shoe,el tenedor está encima del zapato,die Gabel ist auf dem Schuh,la fourchette est à la chaussure
116,trog-item-53,trog,the boy chasing the horse is tall,el niño que persigue al caballo es alto,"der Junge, der das Pferd jagt, ist groß",le garçon poursuivant le cheval est grand
117,trog-item-54,trog,the pencil on the shoe is blue,el lápiz encima del zapato es azul,der Bleistift auf dem Schuh ist blau,le crayon sur la chaussure est bleu
118,trog-item-55,trog,the cow chasing the cat is brown,la vaca que persigue al gato es marrón,"die Kuh, die die Katze jagt, ist braun",la vache chassant le chat est brun
119,trog-item-56,trog,the circle in the star is yellow,el círculo en la estrella es amarillo,der Kreis im Stern ist gelb,le cercle dans l'étoile est jaune
120,trog-item-57,trog,the box but not the chair is red,"la caja es roja, pero no la silla","die Schachtel, aber nicht der Stuhl ist rot",la boîte mais pas la chaise est rouge
121,trog-item-58,trog,the cat is big but not black,el gato es grande pero no negro,"die Katze ist groß, aber nicht schwarz",le chat est grand mais pas noir
122,trog-item-59,trog,the horse but not the boy is standing,"el caballo está parado, pero no el niño","das Pferd, aber nicht der Junge, steht",le cheval mais pas le garçon est debout
123,trog-item-60,trog,the boy is sitting but not eating,"el niño está sentado, pero no está comiendo","der Junge sitzt, aber er isst nicht",le garçon est assis mais ne mange pas
124,trog-item-61,trog,the pencil is above the flower,el lápiz está arriba de la flor,der Bleistift ist über der Blume,le crayon est au-dessus de la fleur
125,trog-item-62,trog,the comb is below the spoon,el peine está debajo de la cuchara,der Kamm ist unter dem Löffel,le peigne est sous la cuillère
126,trog-item-63,trog,the star is above the circle,la estrella está encima del círculo,der Stern ist über dem Kreis,l'étoile est au-dessus du cercle
127,trog-item-64,trog,the square is below the star,el cuadrado está debajo de la estrella,das Quadrat ist unter dem Stern,le carré est en dessous de l'étoile
128,trog-item-65,trog,not only the bird but also the flower is blue,"no sólo el pájaro, también la flor es azul.","nicht nur der Vogel, sondern auch die Blume ist blau",non seulement l'oiseau mais aussi la fleur est bleue
129,trog-item-66,trog,the box is not only big but also blue,"la caja no sólo es grande, sino también azul","die Box ist nicht nur groß, sondern auch blau","la boîte est non seulement grande, mais aussi bleue"
130,trog-item-67,trog,not only the girl but also the cat is sitting,"no sólo la niña, también el gato está sentado.","nicht nur das Mädchen, sondern auch die Katze sitzt","non seulement la fille, mais aussi le chat est assis"
131,trog-item-68,trog,the girl has not only food but also a drink,"la niña no solo tiene comida, sino también bebida","das Mädchen hat nicht nur Essen, sondern auch ein Getränk","la fille a non seulement de la nourriture, mais aussi une boisson"
132,trog-item-69,trog,the pencil is on the book that is yellow,el lápiz está encima del libro que es amarillo,"der Bleistift ist auf dem Buch, das gelb ist",le crayon est sur le livre jaune
133,trog-item-70,trog,the girl chases the dog that is big,la niña persigue al perro que es grande,"das Mädchen jagt den Hund, der groß ist",la fille traque le chien qui est grand
134,trog-item-71,trog,the square is in the star that is blue,el cuadrado está en la estrella que es azul,"das Quadrat ist in dem Stern, der blau ist",le carré est dans l'étoile bleue
135,trog-item-72,trog,the dog chases the horse that is brown,el perro persigue al caballo que es marrón,"der Hund jagt das Pferd, das braun ist",le chien poursuit le cheval qui est brun
136,trog-item-73,trog,neither the dog nor the ball is brown,ni el perro ni la pelota son marrones,weder der Hund noch der Ball sind braun,ni le chien ni la boule ne sont bruns
137,trog-item-74,trog,the pencil is neither long nor red,el lápiz no es largo ni rojo,der Bleistift ist weder lang noch rot,le crayon n'est ni long ni rouge
138,trog-item-75,trog,neither the boy nor the horse is running,ni el niño ni el caballo están corriendo,weder der Junge noch das Pferd rennt,ni le garçon ni le cheval ne courent
139,trog-item-76,trog,the boy has neither hat nor shoes,el niño no tiene ni sombrero ni zapatos,der Junge hat weder Hut noch Schuhe,le garçon n'a ni chapeau ni chaussures
140,trog-item-77,trog,the book the pencil is on is red,"el libro, sobre el que está el lápiz, es rojo","das Buch, auf dem der Bleistift liegt, ist rot",le livre sur lequel le crayon est est rouge
141,trog-item-78,trog,the cat the cow chases is black,el gato que la vaca persigue es negro,"die Katze, die die Kuh jagt, ist schwarz",le chat que la vache chase est noir
142,trog-item-79,trog,the circle the star is in is red,"el círculo, en el que está la estrella, es rojo","der Kreis, in dem sich der Stern befindet, ist rot",le cercle dans lequel se trouve l'étoile est rouge
143,trog-item-80,trog,the boy the dog chases is big,el niño que el perro persigue es grande,"der Junge, den der Hund jagt, ist groß",le garçon que le chien chasse est grand
144,trog-item-81,trog,the horse drank water by the barn and the sheep ate grass by the fence,"el caballo bebe agua junto al granero, y la oveja come pasto junto a la cerca",das Pferd trank Wasser bei der Scheune und die Schafe fraßen Gras am Zaun,le cheval buvait de l'eau près de la grange et le mouton mangeait de l'herbe par la clôture
145,trog-item-82,trog,the student opened the notebook and drew a tree,el estudiante abre el cuaderno y dibuja un árbol,der Schüler öffnete das Heft und zeichnete einen Baum,l'élève a ouvert le bloc-notes et dessiné un arbre
146,trog-item-83,trog,we will have a picnic in the park if it is sunny,"Si hace sol, haremos un picnic en el parque","Wenn es sonnig ist, werden wir im Park ein Picknick machen.",nous aurons un pique-nique dans le parc si c'est ensoleillé
147,trog-item-84,trog,he found his keys under the couch with the pillows,encontró sus llaves debajo del sofá con cojines,er fand seine Schlüssel unter der Couch mit den Kissen,il a trouvé ses clés sous le canapé avec les oreillers
148,trog-item-85,trog,she is the gardener who wears the hat that has a flower,ella es la jardinera que usa un sombrero que tiene una flor,"sie ist die Gärtnerin, die den Hut mit einer Blume trägt",elle est le jardinier qui porte le chapeau qui a une fleur
149,trog-item-86,trog,She tripped on a rock and dropped her books.,Ella tropezó con una piedra y dejo caer sus libros.,Sie stolperte über einen Stein und ließ ihre Bücher fallen.,Elle se glissa sur un rocher et lâcha ses livres.
150,trog-item-87,trog,The teacher will give the students cake if they stand in a line.,"La maestra dará pastel a los estudiantes, si se ponen en fila.","Der Lehrer gibt den Schülern Kuchen, wenn sie in einer Reihe stehen.",L'enseignant donnera aux élèves un gâteau s'ils se tiennent dans une ligne.
151,trog-item-88,trog,We will dance together if there is music playing.,"Si hay música sonando, bailaremos todos juntos.","Wir tanzen zusammen, wenn Musik läuft.",Nous danserons ensemble s'il y a de la musique.
152,trog-item-89,trog,"Although it is hot outside, I am wearing a jacket with a hood.","Aunque hace calor afuera, estoy usando una chaqueta con capucha.","Obwohl es draußen heiß ist, trage ich eine Jacke mit Kapuze.","Bien qu'il soit chaud à l'extérieur, je porte une veste avec une capuche."
153,trog-item-90,trog,"He likes swimming, however, he chose to play soccer with his friends.","He likes swimming, however, he chose to play soccer with his friends.","He likes swimming, however, he chose to play soccer with his friends.","Il aime la natation, cependant, il a choisi de jouer au football avec ses amis."
154,trog-item-91,trog,"Despite the noise in the classroom, she focused on reading her notebook.","A pesar del ruido en el salón, ella se concentró en leer su cuaderno.",Trotz des Lärms im Klassenzimmer konzentrierte sie sich auf das Lesen ihres Heftes.,"Malgré le bruit dans la salle de classe, elle s'est concentrée sur la lecture de son cahier."
155,trog-item-92,trog,He wore the clown's hat despite its large size.,Él usó el sombrero de payaso a pesar de su gran tamaño.,Er trug die Clownsmütze trotz ihrer großen Größe.,Il portait le chapeau du clown malgré sa grande taille.
156,trog-item-93,trog,The duck following the turtle is walking across the bridge.,El pato que seguía a la tortuga está caminando por el puente.,"Die Ente, die der Schildkröte folgt, geht über die Brücke.",Le canard qui suit la tortue se promène sur le pont.
157,trog-item-94,trog,Bumping the table with my foot caused a book to fall.,"Al tropezar la mesa con mi pie, tumbé un libro.",Beim Anstoßen des Tisches mit meinem Fuß ist ein Buch heruntergefallen.,"En poussant la table avec mon pied, un livre a chuté."
158,trog-item-95,trog,The person chases the dog that is big.,La persona persigue al perro que es grande.,The person chases the dog that is big.,La personne traque le chien qui est grand.
159,trog-item-96,trog,The girl wearing a backpack was given a pen by her friend.,The girl wearing a backpack was given a pen by her friend.,The girl wearing a backpack was given a pen by her friend.,La jeune fille portant un sac à dos a reçu un stylo par son ami.
160,trog-item-97,trog,"The kids cleaned the room, but forgot to put away the train.","Los niños limpiaron la habitación, pero se olvidaron de guardar el tren.","The kids cleaned the room, but forgot to put away the train.","Les enfants ont nettoyé la chambre, mais ils ont oublié de ranger le train."
161,trog-item-98,trog,The monkey neither ate the spotted banana nor swung on the vine.,The monkey neither ate the spotted banana nor swung on the vine.,The monkey neither ate the spotted banana nor swung on the vine.,Le singe n'a ni mangé la banane tachetée ni basculé sur la vigne.
162,trog-item-99,trog,"Her mom said it would be sunny. However, it rained heavily.","Su madre dijo que haría sol. Sin embargo, llovió a cántaros.","Her mom said it would be sunny. However, it rained heavily.","Sa mère a dit que ce serait du soleil, mais il a beaucoup pleuré."
163,trog-item-100,trog,The plane that is gray is above the clouds.,El avión que es gris está por encima de las nubes.,The plane that is gray is above the clouds.,Le plan qui est gris est au-dessus des nuages.
164,trog-item-101,trog,The fish swim beneath a whale and a sea turtle.,Los peces nadan bajo una ballena y una tortuga marina.,The fish swim beneath a whale and a sea turtle.,Le poisson nage sous une baleine et une tortue de mer.
165,trog-item-102,trog,The car that the truck followed is driving toward the tunnel.,El coche que siguió el camión va hacia el túnel.,The car that the truck followed is driving toward the tunnel.,La voiture que le camion a suivie se dirige vers le tunnel.
166,trog-item-103,trog,Instead of doing homework she did a puzzle in her room.,"En vez de hacer los deberes, hizo un puzzle en su habitación.",Instead of doing homework she did a puzzle in her room.,"Au lieu de faire des devoirs, elle a fait un puzzle dans sa chambre."
167,ToM-scene1-instruct1,theory-of-mind,"Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it. ","Ella es Marisol. Esta mañana, Marisol puso su libro detrás de la silla, porque no quería que nadie lo encontrara.","Das ist Petra. Heute Morgen hat Petra ihr Buch hinter den Stuhl gelegt, weil sie nicht wollte, dass es jemand findet. ","Voici Madison : ce matin, Madison a mis son livre derrière la chaise, parce qu’elle ne voulait pas que quelqu’un le trouve. "
