item_id,english,de,es-CO,fr-CA,labels,nl
MathEnjoy,Do you enjoy doing math activities at school?,Hast du Spaß am Fach Mathe?,¿Te gusta hacer actividades de matemáticas en el colegio?,Aimez-vous faire des activités de mathématiques à l'école ?,survey,
MathGood,Are you good at math?,Bist du gut in Mathe?,¿Eres bueno o buena para las matemáticas?,Êtes-vous bon en maths ?,survey,
ReadingEnjoy,Do you enjoy doing reading activities at school?,Macht es dir Spaß in der Schule zu lesen? ,¿Te gusta hacer actividades de lectura en el colegio?,Aimez-vous faire des activités de lecture à l'école ?,survey,
ReadingGood,Are you good at reading?,Bist du gut im Lesen?,¿Eres bueno o buena para la lectura?,Êtes-vous bon en lecture ?,survey,
SchoolEnjoy,Do you enjoy school?,"Magst du es, in die Schule zu gehen?",¿Te gusta la escuela?,Aimez-vous l'école ?,survey,
SchoolFun,Is school fun?,Macht die Schule Spaß?,¿Te diviertes en el colegio?,L'école est-elle amusante ?,survey,
SchoolGiveUp,"When schoolwork is hard, do you give up right away?","Gibst du sofort auf, wenn dir die Schularbeit schwer fällt?","Cuando las tareas escolares son difíciles, ¿te rindes enseguida?",Abandonnez-vous tout de suite quand le travail scolaire est difficile ?,survey,
SchoolHappy,Are you happy at school?,Bist du glücklich in der Schule?,¿Te sientes feliz en la escuela?,Êtes-vous heureux à l'école ?,survey,
SchoolSafe,Do you feel safe at school?,Fühlst du dich in der Schule sicher?,¿Te sientes seguro o segura en el colegio?,Vous sentez-vous en sécurité à l'école ?,survey,
TeacherLike,Does your teacher like you?,Mag dich dein Lehrer?,¿Le caes bien a tu profesor?,Votre enseignant vous aime-t-il ?,survey,
TeacherListen,Does your teacher listen to you?,Hört dein Lehrer dir zu?,¿Te escucha tu profesor?,Votre enseignant vous écoute-t-il ?,survey,
TeacherNice,Is your teacher nice to you?,Ist dein Lehrer nett zu dir?,¿Te trata bien tu profesor?,Votre enseignant est-il gentil avec vous ?,survey,
ToM-intro,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.",Das ist das Geschichten-Spiel. In diesem Spiel wirst du Geschichten hören und dann kannst du ein paar Fragen dazu beantworten.,Este es el Juego de las historias. En este juego vas a escuchar algunas historias y luego vas a responder preguntas sobre esas historias.,"Ceci est le jeu des histoires. Dans ce jeu, tu écouteras des histoires. Ensuite, tu répondras aux questions sur les histoires.",theory-of-mind,
ToM-scene-10-instruct1,Teacher Sarah tells all of the kids to take one storybook from the bag that she brought. There is one storybook for every kid.,"Lehrerin Sarah bittet alle Kinder, sich ein Bilderbuch aus der Tasche zu nehmen, die sie mitgebracht hat. Für jedes Kind gibt es ein Bilderbuch.",La profesora Sara le dice a todos sus estudiantes que cojan un libro de cuentos de la bolsa que trajo. Hay un libro de cuentos para cada estudiante.,L'enseignante Sarah demande à tous les enfants de prendre un livre d'histoires dans le sac qu'elle a apporté. Il y a un livre d'histoires pour chaque enfant.,theory-of-mind,
ToM-scene-10-instruct2,"Now there are two storybooks left, and Brian and Megan are the last two kids without storybooks. But when Brian goes to get his storybook, he decides to take both storybooks, even though he knows that Megan doesn’t have a storybook yet, and that everyone is only supposed to have one. Brian hides the extra storybook in his desk.","Jetzt sind noch zwei Märchenbücher übrig, und Alexander und Tina sind die letzten beiden Kinder ohne Märchenbuch. Aber als Alexander sein Bilderbuch holen geht, beschließt er, beide Bilderbücher zu nehmen, obwohl er weiß, dass Tina noch kein Bilderbuch hat und dass jedes Kind nur eins haben darf. Alexander versteckt das zusätzliche Märchenbuch in seinem Schreibtisch.","Ahora quedan solo dos libros de cuentos y Brian y Megan son los dos últimos estudiantes que todavía no tienen un libro. Pero cuando Brian va a escoger su libro, decide coger los dos, aunque sabe que Megan todavía no tiene uno y que se supone que todos deberían tener un libro. Brian esconde el segundo libro de cuentos en su escritorio.","Maintenant, il reste deux livres d'histoires, et Brian et Megan sont les deux derniers enfants sans livres d'histoires. Mais quand Brian va chercher son livre d'histoires, il décide de prendre les deux livres d'histoires, même s'il sait que Megan n'a pas encore de livre d'histoires et que tout le monde est censé en avoir qu'un seul. Brian cache le livre d'histoires supplémentaire dans son bureau.",theory-of-mind,
ToM-scene-10-instruct3,"Teacher Sarah asks Brian, “Is there a storybook leftover, so Megan can have one?” Brian tells Teacher Sarah, “No, there is no storybook left. They are all being used right now.”","Lehrerin Sarah fragt Alexander: „Ist noch ein Märchenbuch übrig, damit Tina eins haben kann?“  Alexander sagt zu Lehrerin Sarah: „Nein, es ist kein Märchenbuch übrig. Sie werden gerade alle benutzt.“","La profesora Sara le pregunta a Brian: ""¿Queda algún libro de cuentos para que Megan pueda tener uno?""  Brian le dice a la profesora Sara: ""No, no queda ningún libro de cuentos. Todos se están usando.""","Teacher Sarah asks Brian, “Is there a storybook leftover, so Megan can have one?” Brian tells Teacher Sarah, “No, there is no storybook left. They are all being used right now.”",theory-of-mind,
ToM-scene-10-instruct4,"Megan is sad that she doesn’t have a storybook, and asks Teacher Sarah, ""is there an extra storybook for me?"" Teacher Sarah says, “I’m so sorry Megan, but there are no storybooks left, they are all being used right now.”","Tina ist traurig, dass sie kein Märchenbuch hat, und fragt Lehrerin Sarah: „Gibt es ein zusätzliches Märchenbuch für mich?"" Lehrerin Sarah sagt: „Es tut mir so leid, Tina, aber es gibt keine Märchenbücher mehr, sie werden gerade alle benutzt.“","Megan está triste porque no tiene un libro de cuentos y le pregunta a la profesora Sara: ""¿Queda algún libro de cuentos para mí?"" La profesora Sara le dice: ""Lo siento mucho Megan, pero no quedan libros de cuentos, todos están en uso.""","Megan est triste de ne pas avoir de livre d'histoires et demande à l'enseignante Sarah : « Y a-t-il un livre d'histoires en extra pour moi ? » L'enseignante Sarah dit : « Je suis vraiment désolée Megan, mais il n'y a plus de livres d'histoires, ils sont tous utilisés en ce moment. »",theory-of-mind,
ToM-scene-10-q1-emotion_reasoning,How does Megan feel about being the only child without a storybook?,"Wie fühlt sich Tina, weil sie das einzige Kind ohne ein Märchenbuch ist?",¿Cómo se siente Megan al ser la única niña sin libro de cuentos?,Comment Megan se sent-elle d'être la seule enfant sans livre d'histoires ?,theory-of-mind,
ToM-scene-10-q2-emotion_reasoning,How would Megan feel if she received a book?,"Wie würde sich Tina fühlen, wenn sie ein Buch bekommen würde?",¿Cómo se sentiría Megan si recibiera un libro?,Comment Megan se sentirait-elle si elle recevait un livre ?,theory-of-mind,
ToM-scene-10-q3-reality_check,Is Brian lying?,Lügt Alexander?,¿Está mintiendo Brian?,Est-ce que Brian ment ?,theory-of-mind,
ToM-scene-10-q4-reality_check,"Is there still a storybook left, that isn’t being used right now?","Ist noch ein Märchenbuch übrig, das gerade nicht benutzt wird?",¿Queda un libro de cuentos que no se esté usando?,"Y a-t-il encore un livre d'histoires disponible, qui n'est pas utilisé en ce moment ?",theory-of-mind,
ToM-scene-10-q5-false_belief,Is Teacher Sarah lying?,Lügt Lehrerin Sarah?,¿Está mintiendo la profesora Sara?,L'enseignante Sarah ment-elle ?,theory-of-mind,
ToM-scene-10-q6-reality_check,"Is there still a storybook left, that isn’t being used right now?","Gibt es noch ein Märchenbuch, das gerade nicht benutzt wird?",¿Aún queda un libro de cuentos que no se esté usando?,Reste-t-il un livre de contes qui n'est pas utilisé en ce moment ?,theory-of-mind,
ToM-scene-11-instruct1,"This is Josh. Earlier today, Josh was tidying his room. Josh put his big basketball on his desk, his medium-sized soccer ball on his table, and his small baseball down on the bottom shelf.","Das ist Karl. Heute früh hat Karl sein Zimmer aufgeräumt. Karl hat seinen großen Basketball auf den Schreibtisch gelegt, seinen mittelgroßen Fußball auf den Tisch und seinen kleinen Baseball auf das unterste Regal.","Este es José. Hace un rato, José estaba ordenando su habitación. José puso su pelota grande de baloncesto en el escritorio, su pelota mediano de fútbol en la mesa de noche y su pelota pequeña de béisbol en el estante de abajo.","Voici Josh. Plus tôt aujourd'hui, Josh rangeait sa chambre. Josh a mis son gros ballon de basketball sur son bureau, son ballon de soccer de taille moyenne sur sa table, et sa petite balle de baseball en bas de l'étagère.",theory-of-mind,
ToM-scene-11-instruct2,"Josh’s mom just walked in and Josh asks his mom to get one of the toys. Josh tells his mom, “I want the small ball!”","Karls Mutter kam gerade herein und Karl bat seine Mutter, eines der Spielzeuge zu holen. Karl sagt zu seiner Mutter: „Ich will den kleinen Ball!“","La madre de José acaba de entrar y José le pide a ella que coja un juguete. José le dice a su mamá: ""¡Quiero la pelota pequeña!","Josh’s mom just walked in and Josh asks his mom to get one of the toys. Josh tells his mom, “I want the small ball!”",theory-of-mind,
ToM-scene-11-q1-reference,Which ball will mom get for Josh?,Welchen Ball wird Mama für Karl holen?,¿Cuál pelota cogerá la mamá para José?,Quelle balle la mère ira-t-elle chercher pour Josh ?,theory-of-mind,
ToM-scene-11-q2-reality_check,Which ball does Josh want?,Welchen Ball will Karl?,¿Cuál pelota quiere José?,Quelle balle Josh veut-il ?,theory-of-mind,
ToM-scene-11-q3-emotion_reasoning,Josh wanted the baseball but mom gave him the soccer ball! How do you think Josh feels about receiving the wrong toy?,"Karl wollte den Baseball, aber Mama gab ihm den Fußball! Was denkst du, wie sich Karl fühlt, wenn er das falsche Spielzeug bekommt?","José quería la pelota de béisbol, ¡pero su mamá le dio la pelota de fútbol! ¿Cómo crees que se siente José al recibir el juguete equivocado?",Josh voulait la balle de baseball mais sa mère lui a donné le ballon de soccer ! Que pensez-vous que Josh ressent en recevant le mauvais jouet ?,theory-of-mind,
ToM-scene-11-q4-emotion_reasoning,How do you think Josh would feel if he had received the correct toy?,"Was denkst du, wie er sich fühlen würde, wenn er das richtige Spielzeug bekommen hätte?",¿Cómo crees que se sentiría José si hubiera recibido el juguete correcto?,Que pensez-vous que Josh ressentirait s'il recevait le bon jouet ?,theory-of-mind,
ToM-scene-12-instruct1,"This morning, Dad asked Emma what toy she would like to take to school, and Emma told him that she would like to play with her yellow ball at recess.","Heute Morgen fragte Papa Emma, welches Spielzeug sie gerne mit in die Schule nehmen würde, und Emma sagte ihm, dass sie in der Pause gerne mit ihrem gelben Ball spielen würde.","Esta mañana, Papá le preguntó a Emma qué juguete le gustaría llevarse al colegio y Emma dijo que quería jugar con su pelota amarilla en el recreo.","This morning, Dad asked Emma what toy she would like to take to school, and Emma told him that she would like to play with her yellow ball at recess.",theory-of-mind,
ToM-scene-12-instruct2,"Then Emma went to her room to get ready for school. While she was getting ready, she changed her mind, so she yelled to her dad, “Actually, may I please have my red ball instead?” and kept getting ready for school. But Dad did not hear Emma ask for her red ball.","Dann ging Emma in ihr Zimmer, um sich für die Schule fertig zu machen. Während sie sich fertig machte, änderte sie ihre Meinung und rief ihrem Vater zu: „Darf ich stattdessen meinen roten Ball haben?“ und machte sich weiter fertig für die Schule. Aber Papa hörte nicht, wie Emma nach ihrem roten Ball fragte.","Después, Emma se fue a su habitación a prepararse para ir al colegio. Mientras se preparaba, cambió de opinión y le gritó a su papá: ""En realidad, ¿podría mejor llevar mi pelota roja, por favor?"" y siguió preparándose para ir al colegio. Pero Papá no oyó a Emma pedir su pelota roja.","Puis Emma est allée dans sa chambre pour se préparer pour l'école. En se préparant, elle a changé d'avis, alors elle a crié à son père, « En fait, puis-je avoir ma balle rouge à la place ? » et a continué de se préparer pour l'école. Mais papa n'a pas entendu Emma demander sa balle rouge.",theory-of-mind,
ToM-scene-12-instruct3,"Dad didn’t hear Emma say she wants her red ball. So dad thinks Emma wants her yellow ball. Dad goes to pack Emma’s bag, but can’t find her yellow ball in the toy box! But dad finds a blue ball in the toy box, so he packs the blue ball for Emma instead.","Papa hat Emma nicht sagen hören, dass sie ihren roten Ball haben möchte. Deshalb denkt Papa, dass Emma ihren gelben Ball haben möchte. Papa geht los, um Emmas Tasche zu packen, kann aber ihren gelben Ball in der Spielzeugkiste nicht finden! Aber Papa findet einen blauen Ball in der Spielzeugkiste, also packt er stattdessen den blauen Ball für Emma ein.","El papá no oyó a Emma decir que quería su pelota roja. Así que el papá piensa que Emma quiere su pelota amarilla. El papá va a preparar la mochila de Emma, ¡pero no encuentra su pelota amarilla en la caja de juguetes! Pero papá el encuentra la pelota azul en la caja de juguetes, así que empaca la pelota azul en la maleta de Emma.","Dad didn’t hear Emma say she wants her red ball. So dad thinks Emma wants her yellow ball. Dad goes to pack Emma’s bag, but can’t find her yellow ball in the toy box! But dad finds a blue ball in the toy box, so he packs the blue ball for Emma instead.",theory-of-mind,
ToM-scene-12-instruct4,"On the way to school, Dad tells Emma, “I’m so sorry, I couldn’t pack the toy that you wanted because I couldn’t find it”.","Auf dem Weg zur Schule sagt Papa zu Emma: „Es tut mir so leid, ich konnte das Spielzeug, das du dir gewünscht hast, nicht einpacken, weil ich es nicht finden konnte“.","De camino al colegio, el papá le dice a Emma ""Lo siento mucho, no pude empacar el juguete que querías porque no lo encontré"".","En chemin vers l'école, papa dit à Emma : « Je suis tellement désolé, je n'ai pas pu emballer le jouet que tu voulais parce que je ne l'ai pas trouvé. »",theory-of-mind,
ToM-scene-12-instruct5,Emma is very happy to play with her ball.,"Emma ist sehr glücklich, mit ihrem Ball zu spielen.",Emma está muy feliz de jugar con su pelota.,Emma est très heureuse de jouer avec sa balle.,theory-of-mind,
ToM-scene-12-q1-false_belief,Which toy does Dad think Emma wants to bring to school?,"Was glaubt Papa, welches Spielzeug Emma mit in die Schule nehmen möchte?",¿Cuál juguete cree el papá que Emma quiere llevar a la escuela?,Quel jouet le papa pense-t-il qu'Emma veut emmener à l'école ?,theory-of-mind,
ToM-scene-12-q2-false_belief,Does Emma know that Dad packed the blue ball?,"Weiß Emma, dass Papa den blauen Ball eingepackt hat?",¿Emma sabe que su papá empacó la pelota azul?,Does Emma know that Dad packed the blue ball?,theory-of-mind,
ToM-scene-12-q3-false_belief,Which ball does Emma think Dad packed?,"Welchen Ball, glaubt Emma, hat Papa eingepackt?",¿Cuál pelota cree Emma que empacó su papá?,Quel balle Emma pense-t-elle que papa a emballée ?,theory-of-mind,
ToM-scene-12-q4-reality_check,What toy does Emma want?,Welches Spielzeug wünscht sich Emma?,¿Cuál juguete quiere Emma?,Quel jouet veut Emma ?,theory-of-mind,
ToM-scene-12-q5-reality_check,What toy did Dad pack for Emma?,Welches Spielzeug hat Papa für Emma eingepackt?,¿Cuál juguete le ha empacado el papá?,Quel jouet papa a-t-il emballé pour Emma ?,theory-of-mind,
ToM-scene-14-instruct4,"Let’s see what he does. Oh look, here is Bobby reaching for the soccer ball on the table. And now Anna sees Bobby reaching for that soccer ball... the soccer ball that is Anna's!","Schauen wir mal, was er macht. Oh, sieh mal, hier ist Bobby, der nach dem Fußball auf dem Tisch greift. Und jetzt sieht Anna, wie Bobby nach dem Fußball greift ... dem Fußball, der Anna gehört!","Veamos lo que hace. Oh, mira, aquí está Roberto cogiendo el balón de fútbol que está en la mesa. Y ahora Anna ve a Roberto buscando el balón... ¡el balón que es de Anna!","Voyons ce qu'il fait. Oh regarde, ici est Bobby tendant la main vers le ballon de soccer sur la table. Et maintenant Anna voit Bobby tendre la main vers ce ballon de soccer... le ballon de soccer qui appartient à Anna !",theory-of-mind,
ToM-scene-14-q2-emotion_reasoning,How do you think Anna feels about Bobby reaching for that soccer ball?,"Was denkst du, wie Anna sich fühlt, wenn Bobby nach dem Fußball greift?",¿Cómo crees que se siente Anna cuando Roberto coge ese balón?,Que pensez-vous qu'Anna ressent quand Bobby tend la main vers ce ballon de soccer ?,theory-of-mind,
ToM-scene-14-q3-emotion_reasoning,How do you think Anna would feel if she had not seen Bobby reaching for the soccer ball?,"Was denkst du, wie Anna sich fühlen würde, wenn sie nicht gesehen hätte, wie Bobby nach dem Fußball gegriffen hat?",¿Cómo crees que se sentiría Anna si no hubiera visto a Roberto intentando coger el balón?,Comment pensez-vous qu'Anna se sentirait si elle n'avait pas vu Bobby tendre la main vers le ballon de soccer ?,theory-of-mind,
ToM-scene-14-q4-false_belief,Is Bobby being mean and naughty for taking Anna’s soccer ball?,"Ist Bobby gemein und frech, weil er Annas Fußball genommen hat?",¿Roberto está siendo necio y travieso por coger el balón de fútbol de Anna?,Bobby est-il méchant et vilain de prendre le ballon de soccer d'Anna ?,theory-of-mind,
ToM-scene-14-q5-false_belief,Should Bobby get in trouble with their mom for taking Anna’s soccer ball?,"Sollte Bobby Ärger mit seiner Mutter bekommen, weil er Annas Fußball genommen hat?",¿Debería Roberto estar en problemas con su madre por coger el balón de fútbol de Anna?,Bobby devrait-il avoir des ennuis avec leur maman pour avoir pris le ballon de soccer d'Anna ?,theory-of-mind,
ToM-scene-14-q6-reality_check,Can you help Anna find her soccer ball? Is it on the table or on the floor?,"Kannst du Anna helfen, ihren Fußball zu finden? Liegt er auf dem Tisch oder auf dem Boden?",¿Puedes ayudarle a Anna a encontrar su balón de fútbol? ¿Está sobre la mesa o en el suelo?,Peux-tu aider Anna à trouver son ballon de soccer ? Est-il sur la table ou sur le sol ?,theory-of-mind,
ToM-scene-14-q7-reality_check,Can you help Bobby find his soccer ball? Is it on the table or on the floor?,"Kannst du Bobby helfen, seinen Fußball zu finden? Liegt er auf dem Tisch oder auf dem Boden?",¿Puedes ayudarle a Roberto a encontrar su balón de fútbol? ¿Está sobre la mesa o en el suelo?,Peux-tu aider Bobby à trouver son ballon de soccer ? Est-il sur la table ou sur le sol ?,theory-of-mind,
ToM-scene-15-instruct1,"Alex, Beth, and Johnny are playing a game at the park. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Robin, Sina und Tobias spielen ein Spiel im Park. Das Spiel läuft folgendermaßen ab: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können.","Alex, Isabel y John están jugando un juego en el parque. En este juego uno de los niños se esconde, pero antes de esconderse, debe dibujar una pista en la arenera para que los otros puedan encontrarle.","Alex, Beth et Johnny jouent à un jeu au parc. Voici comment se passe le jeu : Un enfant se cache, mais trace une piste dans le bac à sable pour que les autres puissent les trouver. ",theory-of-mind,
ToM-scene-15-instruct2,"Johnny decides to hide behind the flower bush. He draws a clue in the sand. Johnny means to draw the flower bush, but the drawing looks like a rock instead! Then Johnny goes to hide behind the flower bush.","Tobias beschließt, sich hinter den Blumensträuchern zu verstecken. Er malt einen Hinweis in den Sand. Tobias will den Strauch zeichnen, aber die Zeichnung sieht stattdessen wie ein Stein aus! Dann versteckt sich Tobias hinter den Blumensträuchern.","John decide esconderse detrás de una planta con flores. Él dibuja una pista en la arena. Pero aunque John quiere dibujar la planta con flores, ¡su dibujo parece una roca! Al terminar su dibujo, John se va a esconder detrás de la planta con flores.","Johnny décide de se cacher derrière l'arbuste de fleurs. Il trace une piste dans le sable. Johnny a l'intention de dessiner l'arbuste de fleurs, mais le dessin ressemble plutôt à un rocher ! Puis Johnny va se cacher derrière l'arbuste de fleurs.",theory-of-mind,
ToM-scene-15-q1-reality_check,What did Johnny mean to draw?,Was wollte Tobias zeichnen?,¿Qué quería dibujar John?,Qu'est-ce que Johnny voulait dessiner ?,theory-of-mind,
ToM-scene-15-q2-false_belief,"When Alex and Beth see this clue, where will they look first for Johnny? Behind the flower bush or behind the rock?","Wenn Robin und Sina diesen Hinweis sehen, wo werden sie zuerst nach Tobias suchen? Hinter dem Blumenstrauch oder hinter dem Felsen?","Cuando Alex e Isabel vean esta pista, ¿dónde buscarán primero a John? ¿Detrás de la planta con flores o detrás de la roca?","Quand Alex et Beth voient cette piste, où vont-ils chercher d'abord Johnny ? Derrière l'arbuste de fleurs ou derrière la roche ?",theory-of-mind,
ToM-scene-15-q3-reality_check,Can you help them find where Johnny really is?,"Kannst du ihnen helfen, herauszufinden, wo Tobias wirklich ist?",¿Puedes ayudarles a encontrar dónde se esconde John realmente?,Peux-tu les aider à trouver où Johnny se cache vraiment ?,theory-of-mind,
ToM-scene-15-q4-emotion_reasoning,"Look, Alex and Beth found Johnny, and won the game! How do you think Alex and Beth feel about winning the game?","Schau, Robin und Sina haben Tobias gefunden und das Spiel gewonnen! Was denkst du, wie Robin und Sina sich fühlen, weil sie das Spiel gewonnen haben?","Mira, Alex e Isabel encontraron a John y ganaron el juego. ¿Cómo crees que se sienten Alex e Isabel por ganar el juego?","Regarde, Alex et Beth ont trouvé Johnny et ont gagné le jeu ! Comment penses-tu qu'Alex et Beth se sentent d'avoir gagné le jeu ?",theory-of-mind,
ToM-scene-16-instruct1,Dad tells James and Sophie to get ready for school. Dad tells them to put on their shoes.,"Papa sagt Jakob und Sophie, sie sollen sich für die Schule fertig machen. Papa sagt ihnen, dass sie ihre Schuhe anziehen sollen.",El papá les dice a Jaime y a Sofía que se preparen para ir al colegio. El papá les dice que se pongan los zapatos.,Papa dit à James et Sophie de se préparer pour l'école. Papa leur dit de mettre leurs chaussures.,theory-of-mind,
ToM-scene-16-instruct2,Sophie can’t find one of her shoes! She’s looking everywhere but she can't find it.,"Sophie kann einen ihrer Schuhe nicht finden! Sie sucht überall, aber sie kann ihn nicht finden.","Sofía no encuentra uno de sus zapatos. Lo está buscando por todas partes, pero no lo encuentra.",Sophie ne trouve pas une de ses chaussures ! Elle cherche partout mais ne peut pas la trouver.,theory-of-mind,
ToM-scene-16-instruct3,"Sophie can't find her shoe because earlier in the day, when no one was looking, James played a trick on Sophie and hid her shoe in the toy box.","Sophie kann ihren Schuh nicht finden, denn früher am Tag, als niemand hinsah, hat Jakob Sophie einen Streich gespielt und ihren Schuh in der Spielzeugkiste versteckt.","Sofía no encuentra su zapato porque Jaime, por hacerle una broma, se lo escondió en la caja de juguetes hace un rato cuando nadie estaba mirando.","Sophie ne trouve pas sa chaussure parce qu'au début de la journée, lorsque personne ne regardait, James a joué un tour à Sophie et a caché sa chaussure dans le coffre à jouets.",theory-of-mind,
ToM-scene-16-instruct4,"So Sophie looks everywhere and she can’t find her shoe. Dad gets mad at Sophie, because she lost her shoe and now they are late for school.","Sophie sucht also überall, aber sie kann ihren Schuh nicht finden. Papa wird wütend auf Sophie, weil sie ihren Schuh verloren hat und sie nun zu spät zur Schule kommen.","Entonces Sofía está buscando su zapato por todas partes, pero no lo encuentra. Ahora el papá se ha enfadado con Sofía porque perdió su zapato y van tarde para el colegio.",Sophie cherche partout mais ne peut pas trouver sa chaussure. Papa est fâché contre Sophie parce qu'elle a perdu sa chaussure et maintenant ils sont en retard pour l'école.,theory-of-mind,
ToM-scene-16-instruct5,"When James sees that Dad is mad at Sophie, he goes to the toy box and gets the shoe, and gives it back to Sophie.","Als Jakob sieht, dass Papa sauer auf Sophie ist, geht er zur Spielzeugkiste, holt den Schuh und gibt ihn Sophie zurück.","Cuando Jaime ve que papá está enfadado con Sofía, va a la caja de juguetes, coge el zapato y se lo devuelve a Sofía.","Quand James voit que Papa est fâché contre Sophie, il va au coffre à jouets, récupère la chaussure, et la rend à Sophie.",theory-of-mind,
ToM-scene-16-instruct6,"James tells Sophie that he’s very sorry, and Sophie and Dad forgive James. They all hug.","Jakob sagt Sophie, dass es ihm sehr leid tut, und Sophie und Papa nehmen die Entschuldigung an. Sie umarmen sich alle.","Jaime le pide perdón a Sofía, y Sofía y el paá perdonan a Jaime. Todos se abrazan.",James dit à Sophie qu'il est très désolé et Sophie et papa pardonnent à James. Ils s'embrassent tous.,theory-of-mind,
