Identifier,Labels,Translation
hostile-attribution-scene3-instruct1,hostile-attribution,Imagine that you are working on an assignment at your desk. 
hostile-attribution-scene3-instruct2,hostile-attribution,"You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there. "
hostile-attribution-scene3-instruct3,hostile-attribution,"The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor."
hostile-attribution-scene3-q1,hostile-attribution,Do you think the boy knocked your papers onto the floor on purpose or by accident?
hostile-attribution-scene3-q2,hostile-attribution,Now pick one of the three choices as the one you would do:
hostile-attribution-scene3-q2-ans1,hostile-attribution,call him a name
hostile-attribution-scene3-q2-ans2,hostile-attribution,pick up the papers
hostile-attribution-scene3-q2-ans3,hostile-attribution,do nothing
hostile-attribution-scene1-by-accident,theory-of-mind,by accident
hostile-attribution-scene1-on-purpose,theory-of-mind,on purpose
hostile-attribution-scene2-by-accident,theory-of-mind,by accident
hostile-attribution-scene2-on-purpose,theory-of-mind,on purpose
hostile-attribution-scene3-by-accident,theory-of-mind,by accident
hostile-attribution-scene3-on-purpose,theory-of-mind,on purpose
am,same-different-selection,"This is the matching game. In this game, you're going to choose sets of cards that match in some way. First, let's look at some of the cards you are going to see."
same-different-selection-touch-circle,same-different-selection,Choose the card with a circle.
same-different-selection-touch-square,same-different-selection,Choose the card with a square.
same-different-selection-touch-triangle,same-different-selection,Choose the card with a triangle.
same-different-selection-touch-star,same-different-selection,Choose the card with a star.
same-different-selection-touch-green,same-different-selection,Choose the card with a green shape.
same-different-selection-touch-red,same-different-selection,Choose the card with a red shape.
same-different-selection-touch-blue,same-different-selection,Choose the card with a blue shape.
same-different-selection-touch-yellow,same-different-selection,Choose the card with a yellow shape.
same-different-selection-touch-small,same-different-selection,Choose the card with a small shape.
same-different-selection-touch-medium,same-different-selection,Choose the card with a medium-sized shape.
same-different-selection-touch-large,same-different-selection,Choose the card with a large shape.
same-different-selection-touch-white,same-different-selection,Choose the star on the white card.
same-different-selection-touch-gray,same-different-selection,Choose the star on the gray card.
same-different-selection-touch-black,same-different-selection,Choose the star on the black card.
same-different-selection-touch-striped,same-different-selection,Choose the star on the striped card.
same-different-selection-touch-1,same-different-selection,Choose the card with 1 star.
same-different-selection-touch-2,same-different-selection,Choose the card with 2 stars.
same-different-selection-touch-3,same-different-selection,Choose the card with 3 stars.
same-different-selection-touch-4,same-different-selection,Choose the card with 4 stars.
same-different-selection-instruct2,same-different-selection,Now you're going to see two cards that are the same in one way. Then you will see a new card that is similar to one of those cards. Your job is to choose the card that is similar to the new card.
same-different-selection-instruct3,same-different-selection,"Now you're going to see three cards, and you're going to choose two that are the same in some way. Then you're going to see the same cards again, and pick two cards that are the same in a different way."
same-different-selection-both-circles,same-different-selection,Here are two cards. Something's the same. They both have circles.
same-different-selection-both-squares,same-different-selection,Here are two cards. Something's the same. They both have squares.
same-different-selection-both-triangles,same-different-selection,Here are two cards. Something's the same. They both have triangles.
same-different-selection-both-red,same-different-selection,Here are two cards. Something's the same. They both have red shapes.
same-different-selection-both-green,same-different-selection,Here are two cards. Something's the same. They both have green shapes.
same-different-selection-both-yellow,same-different-selection,Here are two cards. Something's the same. They both have yellow shapes.
same-different-selection-both-blue,same-different-selection,Here are two cards. Something's the same. They both have blue shapes.
same-different-selection-both-small,same-different-selection,Here are two cards. Something's the same. They both have small shapes.
same-different-selection-both-medium,same-different-selection,Here are two cards. Something's the same. They both have medium-sized shapes.
same-different-selection-both-large,same-different-selection,Here are two cards. Something's the same. They both have large shapes.
sds-prompt3,same-different-selection,Here is another card. Which of these is similar to this one?
sds-3match-prompt2,same-different-selection,Here is the same set of cards again. Choose two cards that are the same in a different way.
sds-2match-prompt1,same-different-selection,Here is a new set of cards. Choose two cards that are the same in some way.
sds-2match-prompt2,same-different-selection,Choose two cards that are the same in a different way.
sds-3unique-prompt1,same-different-selection,Choose three cards that are the same in only one way.
sds-3unique-prompt2,same-different-selection,Choose another three cards that are the same in only one way.
memory-game-display,memory-game,Watch the squares light up.
memory-game-input,memory-game,Touch the squares in the same order.
memory-game-instruct1,memory-game,This is the memory game. Here's how you play it.
memory-game-instruct2,memory-game,You will see squares light up.
memory-game-instruct3,memory-game,You're going to touch the squares in the same order.
memory-game-instruct4,memory-game,Watch carefully! Try to remember the order.
memory-game-forward-prompt,memory-game,Choose the squares in the same order.
memory-game-forward-try-again,memory-game,That's not right. Try again. Choose the squares in the same order.
memory-game-instruct5,memory-game,This time the game won't tell you if you're right or wrong. Let’s start playing the memory game!
memory-game-instruct7,memory-game,Let’s start playing the memory game!
memory-game-backward-prompt,memory-game,Choose the squares in the backward order.
memory-game-backward-try-again,memory-game,That's not right. Try again. Choose the squares in the backward order.
heart-instruct1,hearts-and-flowers,This is the heart game. Here's how you play it.
heart-instruct2,hearts-and-flowers,"When you see a heart, press the button on the same side."
hearts-and-flowers-try-again,hearts-and-flowers,That's not right. Try again.
heart-practice-feedback1,hearts-and-flowers,The heart is on the right side. Press the right button.
hearts-and-flowers-practice-time,hearts-and-flowers,Time to practice!
heart-practice-feedback2,hearts-and-flowers,"Remember! When you see a HEART, press the button on the SAME side."
hearts-and-flowers-instruct1,hearts-and-flowers,This time the game will go faster. It won't tell you if you are right or wrong. Try to keep up!
hearts-and-flowers-instruct2,hearts-and-flowers,"Try to answer as fast as you can without making mistakes. If you make a mistake, just keep going!"
hearts-and-flowers-play-time,hearts-and-flowers,Time to play!
flower-instruct1,hearts-and-flowers,This is the flower game. Here's how you play it.
flower-instruct2,hearts-and-flowers,"When you see a flower, press the button on the opposite side."
flower-practice-feedback1,hearts-and-flowers,The flower is on the left side. Press the right button.
flower-practice-feedback2,hearts-and-flowers,"When you see a FLOWER, press the button on the OPPOSITE side."
hearts-and-flowers-instruct3,hearts-and-flowers,"Now, we're going to play a game with hearts and flowers."
hearts-and-flowers-encourage1,hearts-and-flowers,Try to keep up!
hearts-and-flowers-encourage2,hearts-and-flowers,"If you make a mistake, just keep going!"
hearts-and-flowers-end,hearts-and-flowers,Great job! You completed the game!
vocab-item-001,vocab,the acorn
vocab-item-002,vocab,the aloe
vocab-item-003,vocab,the antenna
vocab-item-004,vocab,the artichoke
vocab-item-005,vocab,the bamboo
vocab-item-006,vocab,the barrel
vocab-item-007,vocab,the blender
vocab-item-008,vocab,the blower
vocab-item-009,vocab,the bouquet
vocab-item-010,vocab,the buffet
vocab-item-011,vocab,the bulldozer
vocab-item-012,vocab,the cake
vocab-item-013,vocab,the caramel
vocab-item-014,vocab,the carousel
vocab-item-015,vocab,the carrot
vocab-item-016,vocab,the cassette
vocab-item-017,vocab,the cheese
vocab-item-018,vocab,the cloak
vocab-item-019,vocab,the clothespin
vocab-item-020,vocab,the coaster
vocab-item-021,vocab,the cork
vocab-item-022,vocab,the cornbread
vocab-item-023,vocab,the corset
vocab-item-024,vocab,the dumpling
vocab-item-025,vocab,the elbow
vocab-item-026,vocab,the fan
vocab-item-027,vocab,the foam
vocab-item-028,vocab,the footbath
vocab-item-029,vocab,the fruitcake
vocab-item-030,vocab,the gutter
vocab-item-031,vocab,the hamster
vocab-item-032,vocab,the hedgehog
vocab-item-033,vocab,the hoe
vocab-item-034,vocab,the hopscotch
vocab-item-035,vocab,the kimono
vocab-item-036,vocab,the latch
vocab-item-037,vocab,the locker
vocab-item-038,vocab,the lollipop
vocab-item-039,vocab,the map
vocab-item-040,vocab,the marshmallow
vocab-item-041,vocab,the net
vocab-item-042,vocab,the oil
vocab-item-043,vocab,the omelet
vocab-item-044,vocab,the pie
vocab-item-045,vocab,the pistachio
vocab-item-046,vocab,the pitcher
vocab-item-047,vocab,the potato
vocab-item-048,vocab,the prism
vocab-item-049,vocab,the puddle
vocab-item-050,vocab,the pump
vocab-item-051,vocab,the rice
vocab-item-052,vocab,the saddle
vocab-item-053,vocab,the sandbag
vocab-item-054,vocab,the scaffolding
vocab-item-055,vocab,the scoop
vocab-item-056,vocab,the seagull
vocab-item-057,vocab,the ship
vocab-item-058,vocab,the shower
vocab-item-059,vocab,the silverware
vocab-item-060,vocab,the sink
vocab-item-061,vocab,the ski
vocab-item-062,vocab,the sloth
vocab-item-063,vocab,the snail
vocab-item-064,vocab,the sorbet
vocab-item-065,vocab,the spatula
vocab-item-066,vocab,the sprinkler
vocab-item-067,vocab,the squash
vocab-item-068,vocab,the squirrel
vocab-item-069,vocab,the stew
vocab-item-070,vocab,the rubber band
vocab-item-071,vocab,the stump
vocab-item-072,vocab,the sunflower
vocab-item-073,vocab,the swordfish
vocab-item-074,vocab,the tapestry
vocab-item-075,vocab,the teabag
vocab-item-076,vocab,the telescope
vocab-item-077,vocab,the thermos
vocab-item-078,vocab,the treasure
vocab-item-079,vocab,the trumpet
vocab-item-080,vocab,the tulip
vocab-item-081,vocab,the turbine
vocab-item-082,vocab,the turkey
vocab-item-083,vocab,the turtle
vocab-item-084,vocab,the typewriter
vocab-item-085,vocab,the watermelon
vocab-item-086,vocab,the waterwheel
vocab-item-087,vocab,the ant
vocab-item-088,vocab,the ball
vocab-item-089,vocab,the bear
vocab-item-090,vocab,the duck
vocab-item-091,vocab,the fork
vocab-item-092,vocab,the kitten
vocab-item-093,vocab,the knee
vocab-item-094,vocab,the milkshake
vocab-item-095,vocab,the skin
vocab-item-096,vocab,the wall
vocab-item-097,vocab,the wheel
vocab-item-098,vocab,the farm
vocab-item-099,vocab,juggling
vocab-item-100,vocab,the dressing
vocab-item-101,vocab,the roof
vocab-item-102,vocab,peeking
vocab-item-103,vocab,the ruler
vocab-item-104,vocab,the tunnel
vocab-item-105,vocab,the envelope
vocab-item-106,vocab,the diamond
vocab-item-107,vocab,the calendar
vocab-item-108,vocab,the panda
vocab-item-109,vocab,the arrow
vocab-item-110,vocab,picking
vocab-item-111,vocab,dripping
vocab-item-112,vocab,the knight
vocab-item-113,vocab,delivering
vocab-item-114,vocab,the dentist
vocab-item-115,vocab,the claw
vocab-item-116,vocab,the uniform
vocab-item-117,vocab,furry
vocab-item-118,vocab,the cormorant
