item_id,labels,en,de,nl,context,es-CO,fr-CA,de-CH,es-AR
close-button-text,general,Close,Schließen,,,,,Schließen,Cerrar
general-footer,general,Click the button below or press <b>ANY KEY</b> to continue,"Klicke auf die Fläche unten oder drücke eine Beliebige Taste, um fortzufahren",,,,,"Klicke auf die Fläche unten oder drücke eine Beliebige Taste, um fortzufahren",Hacé clic en el botón abajo o presioná <b>CUALQUIER TECLA</b> para continuar
instructions,general,instructions,Anweisungen,,,,,Anweisungen,instrucciones
general-encourage,general,Keep Going!,Weiter so!,,,,,Weiter so!,¡Seguimos!
feedbackCorrect,general,Great! That's right.,Großartig! Das ist richtig.,,,,,Großartig! Das ist richtig.,¡Genial! Eso es correcto.
feedback-not-quite-right,general,That's not quite right. Please try again.,Das stimmt nicht ganz. Versuch es noch einmal!,,,,,Das stimmt nicht ganz. Versuch es noch einmal!,Eso no está del todo bien. ¡Intentá de nuevo!
feedback-try-again,general,Please try again!,Versuch es noch einmal!,,,,,Versuch es noch einmal!,¡Intentalo de nuevo!
feedback-good-job,general,Good job!,Gut gemacht!,,,,,Gut gemacht!,¡Bien hecho!
feedback-nice-work,general,Nice work!,Sehr gut!,,,,,Sehr gut!,¡Muy bien!
replay-button,general,Press the speaker button if you want the question repeated.,"Klick auf die Wiederholungstaste, wenn du die Frage nochmal hören willst.",,,,,"Klick auf die Wiederholungstaste, wenn du die Frage nochmal hören willst.",Presioná el botón del altavoz si querés que se repita la pregunta.
general-fullscreen,general,Switch to full screen mode,Bitte wechsle in den Vollbildmodus.,,,,,Bitte wechsle in den Vollbildmodus.,Cambiar a modo de pantalla completa
general-repeat-instructions,general,Looks like this is a little tricky! Let’s review the instructions.,"Das ist ganz schön knifflig! Wir schauen uns nochmal genau an, wie das Spiel geht!",,,,,"Das ist ganz schön knifflig! Wir schauen uns nochmal genau an, wie das Spiel geht!",¡Parece que esto es un poco complicado! Repasemos las instrucciones.
general-keyboard-instructions,general,"If you want to use your keyboard to answer a question, press the arrow key shown next to your choice.","Wenn du zum beantworten einer Frage deine Tastatur nutzen möchtest, dann drück einfach die Pfeiltaste auf der Seite, die du wählen möchtest.",,,,,"Wenn du zum beantworten einer Frage deine Tastatur nutzen möchtest, dann drück einfach die Pfeiltaste auf der Seite, die du wählen möchtest.","Si querés usar el teclado para responder una pregunta, haz clic en la flecha que ves al lado de la opción que querés seleccionar."
intro-finished,general,You've finished the instructions. Thank you!,Das war die Spielanleitung. Vielen Dank!,,,,,Das war die Spielanleitung. Vielen Dank!,Terminaste las instrucciones. ¡Gracias!
general-exit,general,Exit,Spiel verlassen.,,,,,Spiel verlassen.,Salir
task-completion,general,You've completed this game. Thank you!,Dieses Spiel ist jetzt zu Ende! Danke fürs Mitmachen!,,,,,Dieses Spiel ist jetzt zu Ende! Danke fürs Mitmachen!,Completaste el juego. ¡Gracias!
general-your-turn,general,Nice job with the practice! Let's try some more on your own.,Das Üben hat schonmal super geklappt! Jetzt kannst du es nochmal alleine versuchen.,,,,,Das Üben hat schonmal super geklappt! Jetzt kannst du es nochmal alleine versuchen.,¡Buen trabajo en la práctica! Ahora intentá hacer unas pruebas por tu cuenta.
matrix-reasoning-instruct1,matrix-reasoning,"We’re going to show you a puzzle, and your job is to pick the best piece to complete the puzzle. Let's get started!","Wir zeigen dir ein Puzzle, und deine Aufgabe ist es, das beste Teil zu finden, um das Puzzle zu vervollständigen. Los geht's!",,,,,"Wir zeigen dir ein Puzzle, und deine Aufgabe ist es, das beste Teil zu finden, um das Puzzle zu vervollständigen. Los geht's!",Te vamos a mostrar un rompecabezas. Tu tarea es elegir la mejor pieza para completarlo. ¡Empecemos!
matrix-reasoning-instruct2,matrix-reasoning,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,Siehst du dieses große Puzzle? Es fehlt ein Teil! Welches Teil gehört in das Puzzle?,,,,,Siehst du dieses große Puzzle? Es fehlt ein Teil! Welches Teil gehört in das Puzzle?,¿Ves este gran rompecabezas? ¡Le falta una pieza! ¿Cuál pieza va en el rompecabezas?
matrix-reasoning-prompt1,matrix-reasoning,Choose the best pattern to fill in the blank.,"Wähle das beste Muster, um die Lücke zu füllen.",,,,,"Wähle das beste Muster, um die Lücke zu füllen.",Elegí el mejor patrón para llenar el espacio en blanco.
mental-rotation,mental-rotation,Do you see these two outlines? One goes with this shape. Let’s see which one goes with the shape.,"Siehst du diese beiden Schatten? Einer passt zu der Form. Lass uns schauen, welcher zur Form passt.",,,,,"Siehst du diese beiden Schatten? Einer passt zu der Form. Lass uns schauen, welcher zur Form passt.",¿Ves estas dos siluetas? Una va con esta figura. Veamos cuál va con la figura.
mental-rotation-training-instruct2,mental-rotation,Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt nicht zum Schatten.",,,,,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt nicht zum Schatten.",Veamos si esta figura va con la silueta. Esta figura no va con la silueta.
mental-rotation-training-instruct3,mental-rotation,Let's see if this shape goes with the outline. This shape does go with the outline.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt zu dem Schatten.",,,,,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt zu dem Schatten.",Veamos si esta figura va con la silueta. Esta figura sí va con la silueta.
mental-rotation-test-instruct4,mental-rotation,Now you try! Can you find the shape that goes with the outline?,"Jetzt bist du dran! Kannst du die Form finden, die zum Schatten passt?",,,,,"Jetzt bist du dran! Kannst du die Form finden, die zum Schatten passt?","¡Ahora, intentalo vos! ¿Podés encontrar la figura que va con la silueta?"
mental-rotation-instruct-3D,mental-rotation,Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,"Jetzt siehst du Bilder, die Blöcke mit drei Seiten zeigen. Deine Aufgabe ist es, das passende Bild auszuwählen.",,,,,"Jetzt siehst du Bilder, die Blöcke mit drei Seiten zeigen. Deine Aufgabe ist es, das passende Bild auszuwählen.",Ahora verás unas imágenes de bloques que tienen tres lados. Tu tarea es elegir la imagen que coincide.
mental-rotation-prompt2,mental-rotation,Choose the picture that matches this one.,"Wähle das Bild aus, das hierzu passt.",,,,,"Wähle das Bild aus, das hierzu passt.",Elegí la imagen que coincide con esta.
mental-rotation-prompt1,mental-rotation,Choose the matching picture.,Wähle das passende Bild aus.,,,,,Wähle das passende Bild aus.,Elegí la imagen que coincide.
math-instructions1,math,"In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. <br><br>Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!","In diesem Spiel wirst du einige mathematische Aufgaben lösen. Einige sind wie die, die du in der Schule machst, und einige sind etwas anders als die, die du in der Schule machst. <br><br>Einige Fragen könnten leicht für dich sein und einige könnten schwer sein. Das ist nicht schlimm! Bitte gib dein Bestes und nimm dir Zeit. Bei den meisten Fragen gibt es vier Auswahlmöglichkeiten. Du wählst die aus, die du für richtig hältst. Los geht's!",,,,,"In diesem Spiel wirst du einige mathematische Aufgaben lösen. Einige sind wie die, die du in der Schule machst, und einige sind etwas anders als die, die du in der Schule machst. <br><br>Einige Fragen könnten leicht für dich sein und einige könnten schwer sein. Das ist nicht schlimm! Bitte gib dein Bestes und nimm dir Zeit. Bei den meisten Fragen gibt es vier Auswahlmöglichkeiten. Du wählst die aus, die du für richtig hältst. Los geht's!","En este juego, vas a hacer algunos problemas de matemáticas. Algunos serán como los que hacés en la escuela y otros serán un poco diferentes de los que hacés en la escuela. <br><br>Algunas preguntas te van a resultar fáciles y otras difíciles. ¡No pasa nada! Esforzate al máximo y tomate tu tiempo. La mayoría de las preguntas tienen cuatro opciones. Elegí la que consideres correcta. ¡Empecemos!"
math-intro1,math,Here is the first section of the game. Let's start with some practice!,Hier kommt der erste Teil. Am Anfang üben wir erstmal nur.,,,,,Hier kommt der erste Teil. Am Anfang üben wir erstmal nur.,Esta es la primera sección. ¡Empecemos a practicar!
math-intro2,math,Here is another section. The first few are for practice.,Jetzt kommt der nächste Teil. Die ersten paar sind wieder zum Üben.,,,,,Jetzt kommt der nächste Teil. Die ersten paar sind wieder zum Üben.,Esta es otra sección. Las primeras son para practicar.
math-intro-fractions,math,In this section sometimes you will add and sometimes you will subtract. Be sure to look carefully for the plus or minus sign. The first few are for practice.,"In diesem Teil musst du manchmal addieren und manchmal subtrahieren. Schau also genau, ob da ein Plus oder ein Minus steht. Die ersten paar sind wieder zum Üben.",,,,,"In diesem Teil musst du manchmal addieren und manchmal subtrahieren. Schau also genau, ob da ein Plus oder ein Minus steht. Die ersten paar sind wieder zum Üben.",En esta sección a veces tenés que sumar y a veces tenés que restar. Fijate bien en el signo de suma o resta. Los primeros son para practicar.
number-comparison-prompt1,math,Which number is larger?,Welche Zahl ist größer?,,,,,Welche Zahl ist größer?,¿Cuál número es mayor?
number-comparison-prompt2,math,Which is larger?,Welche ist größer?,,,,,Welche ist größer?,¿Cuál es mayor?
number-identification-prompt1,math,Choose the number you hear.,"Wähle die Zahl, die du hörst.",,,,,"Wähle die Zahl, die du hörst.",Elegí el número cuando lo oigas.
missing-number-prompt1,math,What number goes in the blank?,Welche Zahl gehört in die Lücke?,,,,,Welche Zahl gehört in die Lücke?,¿Qué número va en el espacio en blanco?
missing-number-prompt2,math,What number goes here?,Welche Zahl gehört hierher?,,,,,Welche Zahl gehört hierher?,¿Qué número va aquí?
missing-number-prompt3,math,What numbers go in the blanks?,Welche Zahlen gehören in die Lücken?,,,,,Welche Zahlen gehören in die Lücken?,¿Qué números van en los espacios en blanco?
addition-prompt1,math,Add the numbers and choose the correct answer.,Addiere die Zahlen und wähle die richtige Antwort.,,,,,Addiere die Zahlen und wähle die richtige Antwort.,Sumá los números y elegí la respuesta correcta.
addition-prompt2,math,Add the numbers.,Addiere die Zahlen.,,,,,Addiere die Zahlen.,Sumá los números.
subtraction-prompt1,math,Subtract the numbers and choose the correct answer.,Ziehe die Zahlen ab und wähle die richtige Antwort.,,,,,Ziehe die Zahlen ab und wähle die richtige Antwort.,Restá los números y elegí la respuesta correcta.
subtraction-prompt2,math,Subtract the numbers.,Ziehe die Zahlen ab.,,,,,Ziehe die Zahlen ab.,Restá los números.
multiplication-prompt1,math,Multiply the numbers and choose the correct answer.,Multipliziere die Zahlen und wähle die richtige Antwort.,,,,,Multipliziere die Zahlen und wähle die richtige Antwort.,Multiplicá los números y elegí la respuesta correcta.
multiplication-prompt2,math,Multiply the numbers.,Multipliziere die Zahlen.,,,,,Multipliziere die Zahlen.,Multiplicá los números.
number-line-instruct1,math,Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number belongs. Make sure you look at the numbers at each end when deciding where to move the slider.,"Hier ist eine Zahlenreihe. Du kannst den Schieber vorwärts und rückwärts entlang der Linie bewegen. Ändere den Schieber so, dass er sich an der richtigen Stelle befindet, um zu zeigen, wo die Zahl hingehört. Achte darauf, dass du die Zahlen an beiden Enden ansiehst, wenn du entscheidest, wohin du den Schieber platzierst.",,,,,"Hier ist eine Zahlenreihe. Du kannst den Schieber vorwärts und rückwärts entlang der Linie bewegen. Ändere den Schieber so, dass er sich an der richtigen Stelle befindet, um zu zeigen, wo die Zahl hingehört. Achte darauf, dass du die Zahlen an beiden Enden ansiehst, wenn du entscheidest, wohin du den Schieber platzierst.",Acá tenés una recta numérica. Sobre ella hay un marcador que podés mover hacia la derecha o izquierda. Debés ubicar este marcador en el lugar de la recta donde estaría ubicado el número que te indicará cada ejercicio. Asegurate de revisar bien cuáles son los números de los extremos de la recta antes de decidir dónde ubicar el marcador.
number-line-prompt1,math,Choose the number that is marked on the number line.,"Wähle die Zahl, die auf der Zahlenreihe markiert ist.",,,,,"Wähle die Zahl, die auf der Zahlenreihe markiert ist.",Elegí el número que está marcado en la recta numérica.
number-line-slider-prompt1,math,Move the slider to mark the number.,Bewege den Schieber auf die angegebene Zahl.,,,,,Bewege den Schieber auf die angegebene Zahl.,Ubicá el marcador sobre la recta numérica para marcar el lugar del número.
number-identification-1,math,Choose the number 1.,Wähle die Zahl Eins.,,,,,Wähle die Zahl Eins.,Elegí el número 1.
number-identification-2,math,Choose the 2.,Wähle die Zwei.,,,,,Wähle die Zwei.,Elegí el 2.
number-identification-3,math,Choose the 9.,Wähle die Neun.,,,,,Wähle die Neun.,Elegí el 9.
number-identification-4,math,Choose the 0.,Wähle die Null.,,,,,Wähle die Null.,Elegí el 0.
number-identification-5,math,Choose the 12.,Wähle die Zwölf.,,,,,Wähle die Zwölf.,Elegí el 12.
number-identification-6,math,Choose the 30.,Wähle die Dreißig.,,,,,Wähle die Dreißig.,Elegí el 30.
number-identification-7,math,Choose the 22.,Wähle die Zweiundzwanzig.,,,,,Wähle die Zweiundzwanzig.,Elegí el 22.
number-identification-8,math,Choose the 45.,Wähle die Fünfundvierzig.,,,,,Wähle die Fünfundvierzig.,Elegí el 45.
number-identification-9,math,Choose the 39.,Wähle die Neununddreißig.,,,,,Wähle die Neununddreißig.,Elegí el 39.
number-identification-10,math,Choose the 23.,Wähle die Dreiundzwanzig.,,,,,Wähle die Dreiundzwanzig.,Elegí el 23.
number-identification-11,math,Choose the 48.,Wähle die Achtundvierzig.,,,,,Wähle die Achtundvierzig.,Elegí el 48.
number-identification-12,math,Choose the 91.,Wähle die 91.,,,,,Wähle die 91.,Elegí el 91.
number-identification-13,math,Choose the 33.,Wähle die Dreiunddreißig.,,,,,Wähle die Dreiunddreißig.,Elegí el 33.
number-identification-14,math,Choose the 74.,Wähle die Vierundsiebzig.,,,,,Wähle die Vierundsiebzig.,Elegí el 74.
number-identification-15,math,Choose the 87.,Wähle die Siebenundachzig.,,,,,Wähle die Siebenundachzig.,Elegí el 87.
number-identification-16,math,Choose the 65.,Wähle die 65.,,,,,Wähle die 65.,Elegí el 65.
number-identification-17,math,Choose the 108.,Wähle die Einhundertacht.,,,,,Wähle die Einhundertacht.,Elegí el 108.
number-identification-18,math,Choose the 245.,Wähle die Zweihundertfünfundvierzig.,,,,,Wähle die Zweihundertfünfundvierzig.,Elegí el 245.
number-identification-19,math,Choose the 587.,Wähle die Fünfhundertsiebenundachzig.,,,,,Wähle die Fünfhundertsiebenundachzig.,Elegí el 587.
number-identification-20,math,Choose the 731.,Wähle die Siebenhunderteinunddreißig.,,,,,Wähle die Siebenhunderteinunddreißig.,Elegí el 731.
number-identification-21,math,Choose the 989.,Wähle die Neunhundertneunundachzig.,,,,,Wähle die Neunhundertneunundachzig.,Elegí el 989.
number-identification-22,math,Choose the 6.,Wähle die sechs.,,,,,Wähle die sechs.,Elegí el 6.
number-identification-23,math,Choose the 14.,Wähle die vierzehn.,,,,,Wähle die vierzehn.,Elegí el 14.
number-identification-24,math,Choose the 18.,Wähle die achtzehn.,,,,,Wähle die achtzehn.,Elegí el 18.
number-identification-25,math,Choose the 26.,Wähle die sechsundzwanzig.,,,,,Wähle die sechsundzwanzig.,Elegí el 26.
number-identification-26,math,Choose the 35.,Wähle die fünfunddreißig.,,,,,Wähle die fünfunddreißig.,Elegí el 35.
number-identification-27,math,Choose the 41.,Wähle die einundvierzig.,,,,,Wähle die einundvierzig.,Elegí el 41.
number-identification-28,math,Choose the 47.,Wähle die siebenundvierzig.,,,,,Wähle die siebenundvierzig.,Elegí el 47.
number-identification-29,math,Choose the 50.,Wähle die fünfzig.,,,,,Wähle die fünfzig.,Elegí el 50.
number-identification-30,math,Choose the 55.,Wähle die fünfundfünfzig.,,,,,Wähle die fünfundfünfzig.,Elegí el 55.
number-identification-31,math,Choose the 66.,Wähle die sechsundsechzig.,,,,,Wähle die sechsundsechzig.,Elegí el 66.
number-identification-32,math,Choose the 67.,Wähle die siebenundsechzig.,,,,,Wähle die siebenundsechzig.,Elegí el 67.
number-identification-33,math,Choose the 88.,Wähle die achtundachtzig.,,,,,Wähle die achtundachtzig.,Elegí el 88.
number-identification-34,math,Choose the 101.,Wähle die einhunderteins.,,,,,Wähle die einhunderteins.,Elegí el 101.
number-identification-35,math,Choose the 426.,Wähle die vierhundertsechsundzwanzig.,,,,,Wähle die vierhundertsechsundzwanzig.,Elegí el 426.
number-identification-36,math,Choose the 131.,Wähle die einhunderteinunddreißig.,,,,,Wähle die einhunderteinunddreißig.,Elegí el 131.
number-identification-37,math,Choose the 256.,Wähle die zweihundertsechsundfünfzig.,,,,,Wähle die zweihundertsechsundfünfzig.,Elegí el 256.
number-identification-38,math,Choose the 349.,Wähle die dreihundertneunundvierzig.,,,,,Wähle die dreihundertneunundvierzig.,Elegí el 349.
number-identification-39,math,Choose the 543.,Wähle die fünfhundertdreiundvierzig.,,,,,Wähle die fünfhundertdreiundvierzig.,Elegí el 543.
number-identification-40,math,Choose the 617.,Wähle die sechshundertsiebzehn.,,,,,Wähle die sechshundertsiebzehn.,Elegí el 617.
number-identification-41,math,Choose the 877.,Wähle die achthundertsiebenundsiebzig.,,,,,Wähle die achthundertsiebenundsiebzig.,Elegí el 877.
trog-instruct1,trog,"Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!","Jetzt werden wir ein Zuordnungsspiel spielen! Ich werde ein paar Wörter sagen, und du wählst das Bild aus, das zu dem passt, was ich sage. Los geht's!",,,,,"Jetzt werden wir ein Zuordnungsspiel spielen! Ich werde ein paar Wörter sagen, und du wählst das Bild aus, das zu dem passt, was ich sage. Los geht's!","Ahora, ¡vamos a hacer un juego de asociación! Yo diré palabras y vos elegís la imagen que va con las palabras que yo diga. ¡Empecemos!"
trog-prompt1,trog,Choose the picture of the...,Berühre das Bild mit dem/der/den...,,,,,Berühre das Bild mit dem/der/den...,Elegí el dibujo del...
trog-prompt2,trog,Choose the picture of...,Berühre das Bild mit...,,,,,Berühre das Bild mit...,Elegí el dibujo de...
trog-prompt3,trog,Choose the picture that shows...,Berühre das Bild was folgendes zeigt:,,,,,Berühre das Bild was folgendes zeigt:,Elegí el dibujo que muestra...
trog-item-1,trog,Choose the picture of the shoe.,Wähle das Bild mit dem Schuh.,,,,,Wähle das Bild mit dem Schuh.,Elegí el dibujo del zapato.
trog-item-2,trog,Choose the picture of the bird.,Wähle das Bild mit dem Vogel.,,,,,Wähle das Bild mit dem Vogel.,Elegí el dibujo del pájaro.
trog-item-3,trog,Choose the picture of the comb.,Wähle das Bild mit dem Kamm.,,,,,Wähle das Bild mit dem Kamm.,Elegí el dibujo del peine.
trog-item-4,trog,Choose the picture of the apple.,Wähle das Bild mit dem Apfel.,,,,,Wähle das Bild mit dem Apfel.,Elegí el dibujo de la manzana.
trog-item-5,trog,Choose the picture that shows eating.,"Wähle das Bild aus, das jemanden beim essen zeigt.",,,,,"Wähle das Bild aus, das jemanden beim essen zeigt.",Elegí el dibujo que muestra comiendo.
trog-item-6,trog,Choose the picture that shows picking.,"Wähle das Bild aus, das zeigt, wie jemand etwas pflückt.",,,,,"Wähle das Bild aus, das zeigt, wie jemand etwas pflückt.",Elegí el dibujo que muestra recogiendo.
trog-item-7,trog,Choose the picture that shows sitting.,"Wähle das Bild aus, das zeigt, wie jemand sitzt.",,,,,"Wähle das Bild aus, das zeigt, wie jemand sitzt.",Elegí el dibujo que muestra sentado.
trog-item-8,trog,Choose the picture that shows running.,"Wähle das Bild aus, das zeigt, wie jemand rennt.",,,,,"Wähle das Bild aus, das zeigt, wie jemand rennt.",Elegí el dibujo que muestra corriendo.
trog-item-9,trog,Choose the picture that shows long.,"Wähle das Bild aus, das etwas Langes zeigt.",,,,,"Wähle das Bild aus, das etwas Langes zeigt.",Elegí el dibujo que muestra largo.
trog-item-10,trog,Choose the picture that shows tall.,"Wähle das Bild aus, das etwas Großes zeigt.",,,,,"Wähle das Bild aus, das etwas Großes zeigt.",Elige el dibujo que muestra alto.
trog-item-11,trog,Choose the picture that shows red.,"Wähle das Bild aus, das etwas Rotes zeigt.",,,,,"Wähle das Bild aus, das etwas Rotes zeigt.",Elige el dibujo que muestra el rojo.
trog-item-12,trog,Choose the picture that shows black.,"Wähle das Bild aus, das etwas Schwarzes zeigt.",,,,,"Wähle das Bild aus, das etwas Schwarzes zeigt.",Elige el dibujo que muestra el negro.
trog-item-13,trog,the boy is running,der Junge rennt.,,,,,der Junge rennt.,el chico está corriendo
trog-item-14,trog,the big cup,die große Tasse.,,,,,die große Tasse.,la taza grande
trog-item-15,trog,the dog is sitting,der Hund sitzt.,,,,,der Hund sitzt.,el perro está sentado
trog-item-16,trog,the red ball,der rote Ball.,,,,,der rote Ball.,la pelota roja
trog-item-17,trog,the boy is not running,der Junge rennt nicht.,,,,,der Junge rennt nicht.,el chico no está corriendo
trog-item-18,trog,the dog is not drinking,der Hund trinkt nicht.,,,,,der Hund trinkt nicht.,el perro no está bebiendo
trog-item-19,trog,the girl is not jumping,das Mädchen hüpft nicht.,,,,,das Mädchen hüpft nicht.,la chica no está saltando
trog-item-20,trog,the dog is not sitting,der Hund sitzt nicht.,,,,,der Hund sitzt nicht.,el perro no está sentado
trog-item-21,trog,the boy is jumping over the box,der Junge springt über den Kasten.,,,,,der Junge springt über den Kasten.,el chico salta por encima de la caja
trog-item-22,trog,the girl is sitting on the table,das Mädchen sitzt auf dem Tisch.,,,,,das Mädchen sitzt auf dem Tisch.,la chica está sentada encima de la mesa
trog-item-23,trog,the man is eating the apple,Der Mann isst einen Apfel.,,,,,Der Mann isst einen Apfel.,el hombre está comiéndose una manzana
trog-item-24,trog,the lady is carrying the bag,die Frau trägt eine Tasche.,,,,,die Frau trägt eine Tasche.,la señora lleva la bolsa
trog-item-25,trog,they are sitting on the table,sie sitzen auf dem Tisch.,,,,,sie sitzen auf dem Tisch.,están sentadas encima de la mesa
trog-item-26,trog,the cow is looking at them,Die Kuh sieht die Frauen an.,,,,,Die Kuh sieht die Frauen an.,la vaca está mirándolas
trog-item-27,trog,they are jumping over the wall,sie springen über die Mauer.,,,,,sie springen über die Mauer.,están saltando por encima de la pared
trog-item-28,trog,the elephant is carrying them,der Elefant trägt sie,,,,,der Elefant trägt sie,el elefante los lleva
trog-item-29,trog,the girl is pushing the horse,das Mädchen schiebt das Pferd,,,,,das Mädchen schiebt das Pferd,la chica está empujando al caballo
trog-item-30,trog,the boy is chasing the sheep,der Junge jagt das Schaf,,,,,der Junge jagt das Schaf,el chico persigue a la oveja
trog-item-31,trog,the man is chasing the dog,der Mann jagt den Hund,,,,,der Mann jagt den Hund,el hombre persigue al perro
trog-item-32,trog,the cow is pushing the lady,die Kuh schiebt die Dame,,,,,die Kuh schiebt die Dame,la vaca está empujando a la señora
trog-item-33,trog,she is sitting on the chair,sie sitzt auf dem Stuhl.,,,,,sie sitzt auf dem Stuhl.,ella está sentada en la silla
