old_flat_key,new_flat_key,oldDefault,newDefault,olden,newen,olden-US,newen-US,oldde,newde,oldde-DE,newde-DE,oldes,newes,oldesCO,newesCO
pages_11_elements_0_elements_0_rows_8_text,pages_10_elements_0_elements_0_rows_3_text,Your child completes their own work without being asked or reminded to do so.,Your child completes their own work without being asked or reminded to do so.,missing key,Your child completes their own work without being asked or reminded to do so.,missing key,Your child completes their own work without being asked or reminded to do so.,"Ihr Kind erledigt seine Arbeit selbst, ohne darum gebeten oder daran erinnert zu werden.","Ihr Kind erledigt seine Arbeit selbst, ohne darum gebeten oder daran erinnert zu werden.",missing key,missing key,Su niño(a) realiza sus trabajos sin que nadie se lo pida ni se lo recuerde.,missing key,missing key,Su niño(a) realiza sus trabajos sin que nadie se lo pida ni se lo recuerde.
pages_11_elements_0_elements_0_rows_9_text,pages_10_elements_0_elements_0_rows_4_text,Your child works diligently when trying to complete tasks or chores.,Your child works diligently when trying to complete tasks or chores.,missing key,Your child works diligently when trying to complete tasks or chores.,missing key,Your child works diligently when trying to complete tasks or chores.,"Ihr Kind arbeitet fleißig, wenn es versucht, Aufgaben oder Hausarbeiten zu erledigen.","Ihr Kind arbeitet fleißig, wenn es versucht,Ihr Kind arbeitet fleißig",missing key,missing key,Su niño(a) es diligente cuando realiza sus tareas o quehaceres.,missing key,missing key,Su niño(a) es diligente cuando realiza sus tareas o quehaceres.
pages_11_elements_0_elements_0_rows_11_text,pages_10_elements_0_elements_0_rows_5_text,Your child likes to finish tasks properly.,Your child likes to finish tasks properly.,missing key,Your child likes to finish tasks properly.,missing key,Your child likes to finish tasks properly.,"Ihr Kind mag es, Aufgaben ordentlich zu erledigen.","Ihr Kind mag es, Aufgaben ordentlich zu erledigen.",missing key,missing key,A su niño(a) le gusta terminar sus tareas correctamente.,missing key,missing key,A su niño(a) le gusta terminar sus tareas correctamente.
pages_11_elements_0_elements_0_rows_18_text,pages_10_elements_0_elements_0_rows_6_text,"If your child is told to do a chore, they do it.","If your child is told to do a chore, they do it.",missing key,"If your child is told to do a chore, they do it.",missing key,"If your child is told to do a chore, they do it.","Wenn Ihr Kind aufgefordert wird, eine Aufgabe zu erledigen, tut es das auch.","Wenn Ihr Kind aufgefordert wird, eine Aufgabe zu erledigen,Wenn Ihr Kind aufgefordert wird",missing key,missing key,"Si se le pide su niño(a) que haga una tarea, la hace.",missing key,missing key,"Si se le pide su niño(a) que haga una tarea, la hace."
,pages_10_elements_0_elements_0_title,missing key,Please indicate <i>how well</i> each statement describes your child.,missing key,missing key,missing key,missing key,missing key,"Bitte geben Sie an, <b>wie gut</b> jede Aussage Ihr Kind beschreibt.",missing key,missing key,missing key,missing key,missing key,"Por favor, indique <i>qué tanto</i> describe cada enunciado a su niño(a)."
,pages_11_elements_0_html,missing key,<block><b><font face=Verdana size=4>This section asks questions related to learning.,missing key,missing key,missing key,missing key,missing key,<block><b><font face=Verdana size=4>Dieser Abschnitt stellt Fragen zum Lernen.,missing key,missing key,missing key,missing key,missing key,<block><b><font face=Verdana size=4>Esta sección hace preguntas relacionadas con el aprendizaje.
pages_12_elements_1_columns_0_text,pages_11_elements_1_columns_0_text,Never or almost never,Never or almost never,missing key,Never or almost never,missing key,Never or almost never,Nie oder fast nie,Nie oder fast nie,missing key,missing key,Nunca o casi nunca,missing key,missing key,Nunca o casi nunca
pages_5_elements_3_choices_2_text,pages_11_elements_1_columns_1_text,Sometimes,Sometimes,missing key,Sometimes,missing key,Sometimes,Manchmal,Manchmal,missing key,missing key,A veces,missing key,missing key,A veces
pages_5_elements_3_choices_3_text,pages_11_elements_1_columns_2_text,Often,Often,missing key,Often,missing key,Often,Oft,Oft,missing key,missing key,A menudo,missing key,missing key,Con frecuencia
pages_12_elements_1_rows_0_text,pages_11_elements_1_rows_0_text,Read books,Read books,missing key,Read books,missing key,Read books,Bücher lesen,Bücher lesen,missing key,missing key,Leer libros,missing key,missing key,Leer libros
pages_12_elements_1_rows_10_text,pages_11_elements_1_rows_10_text,"Play with number toys (e.g., blocks with numbers)","Play with number toys (e.g., blocks with numbers)",missing key,"Play with number toys (e.g., blocks with numbers)",missing key,"Play with number toys (e.g., blocks with numbers)",mit Zahlenspielzeug spielen (z. B. Blöcke mit Zahlen),mit Zahlenspielzeug spielen (z. B. Blöcke mit Zahlen),missing key,missing key,"Jugar con juguetes con números (por ejemplo, bloques con números)",missing key,missing key,"Jugar con juguetes con números (por ejemplo, bloques con números)"
pages_12_elements_1_rows_11_text,pages_11_elements_1_rows_11_text,Count different things,Count different things,missing key,Count different things,missing key,Count different things,Verschiedene Dinge zählen,Verschiedene Dinge zählen,missing key,missing key,Contar cosas diferentes,missing key,missing key,Contar cosas diferentes
pages_12_elements_1_rows_12_text,pages_11_elements_1_rows_12_text,"Play games involving shapes (e.g., shape sorting toys, puzzles)","Play games involving shapes (e.g., shape sorting toys, puzzles)",missing key,"Play games involving shapes (e.g., shape sorting toys, puzzles)",missing key,"Play games involving shapes (e.g., shape sorting toys, puzzles)","Spiele spielen, die Formen beinhalten (z. B. Spielzeug zum Sortieren von Formen, Puzzles)","Spiele spielen, die Formen beinhalten (z. B. Spielzeug zum Sortieren von Formen,Spiele spielen",missing key,missing key,"Jugar con figuras geométricas (por ejemplo, juguetes para clasificar figuras, rompecabezas)",missing key,missing key,"Jugar con figuras geométricas (por ejemplo, juguetes para clasificar figuras, rompecabezas)"
pages_12_elements_1_rows_13_text,pages_11_elements_1_rows_13_text,Play with building blocks or construction toys,Play with building blocks or construction toys,missing key,Play with building blocks or construction toys,missing key,Play with building blocks or construction toys,Mit Bauklötzen oder Konstruktionsspielzeug spielen,Mit Bauklötzen oder Konstruktionsspielzeug spielen,missing key,missing key,Jugar con bloques o juguetes de construcción,missing key,missing key,Jugar con bloques o juguetes de construcción
pages_12_elements_1_rows_14_text,pages_11_elements_1_rows_14_text,Play board or card games,Play board or card games,missing key,Play board or card games,missing key,Play board or card games,Karten- oder Brettspiele spielen,Karten- oder Brettspiele spielen,missing key,missing key,Jugar juegos de mesa o juegos de cartas,missing key,missing key,Jugar juegos de mesa o juegos de cartas
pages_12_elements_1_rows_15_text,pages_11_elements_1_rows_15_text,Write numbers,Write numbers,missing key,Write numbers,missing key,Write numbers,Zahlen schreiben,Zahlen schreiben,missing key,missing key,Escribir números,missing key,missing key,Escribir números
pages_12_elements_1_rows_16_text,pages_11_elements_1_rows_16_text,Draw shapes,Draw shapes,missing key,Draw shapes,missing key,Draw shapes,Formen zeichnen,Formen zeichnen,missing key,missing key,Dibujar figuras,missing key,missing key,Dibujar figuras
pages_12_elements_1_rows_17_text,pages_11_elements_1_rows_17_text,"Measure or weigh things (e.g., when cooking)","Measure or weigh things (e.g., when cooking)",missing key,"Measure or weigh things (e.g., when cooking)",missing key,"Measure or weigh things (e.g., when cooking)",Dinge messen oder wiegen (z. B. beim Kochen),Dinge messen oder wiegen (z. B. beim Kochen),missing key,missing key,"Medir o pesar cosas (por ejemplo, para cocinar)",missing key,missing key,"Medir o pesar cosas (por ejemplo, para cocinar)"
pages_12_elements_1_rows_1_text,pages_11_elements_1_rows_1_text,Tell stories,Tell stories,missing key,Tell stories,missing key,Tell stories,Geschichten erzählen,Geschichten erzählen,missing key,missing key,Contar historias,missing key,missing key,Contar historias
pages_12_elements_1_rows_2_text,pages_11_elements_1_rows_2_text,Sing songs,Sing songs,missing key,Sing songs,missing key,Sing songs,Lieder singen,Lieder singen,missing key,missing key,Cantar canciones,missing key,missing key,Cantar canciones
pages_12_elements_1_rows_3_text,pages_11_elements_1_rows_3_text,"Play with alphabet toys (e.g., blocks with letters of the alphabet)","Play with alphabet toys (e.g., blocks with letters of the alphabet)",missing key,"Play with alphabet toys (e.g., blocks with letters of the alphabet)",missing key,"Play with alphabet toys (e.g., blocks with letters of the alphabet)",Mit Alphabet-Spielzeug spielen (z. B. Blöcke mit Buchstaben des Alphabets),Mit Alphabet-Spielzeug spielen (z. B. Blöcke mit Buchstaben des Alphabets),missing key,missing key,"Jugar con juguetes del abecedario (por ejemplo, bloques con las letras del abecedario)",missing key,missing key,"Jugar con juguetes del abecedario (por ejemplo, bloques con las letras del abecedario)"
pages_12_elements_1_rows_4_text,pages_11_elements_1_rows_4_text,Talk about things you had done,Talk about things you had done,missing key,Talk about things you had done,missing key,Talk about things you had done,"Über Dinge sprechen, die Sie getan haben","Über Dinge sprechen, die Sie getan haben",missing key,missing key,Hablar de lo que habían hecho,missing key,missing key,Hablar de lo que habían hecho
pages_12_elements_1_rows_5_text,pages_11_elements_1_rows_5_text,Talk about what you had read,Talk about what you had read,missing key,Talk about what you had read,missing key,Talk about what you had read,"Über etwas sprechen, was Sie gelesen haben","Über etwas sprechen, was Sie gelesen haben",missing key,missing key,Hablar de lo que habían leído,missing key,missing key,Hablar de lo que habían leído
pages_12_elements_1_rows_6_text,pages_11_elements_1_rows_6_text,Play word games,Play word games,missing key,Play word games,missing key,Play word games,Wortspiele spielen,Wortspiele spielen,missing key,missing key,Jugar juegos de palabras,missing key,missing key,Jugar juegos de palabras
pages_12_elements_1_rows_7_text,pages_11_elements_1_rows_7_text,Write letters or words,Write letters or words,missing key,Write letters or words,missing key,Write letters or words,Buchstaben oder Wörter schreiben,Buchstaben oder Wörter schreiben,missing key,missing key,Escribir letras o palabras,missing key,missing key,Escribir letras o palabras
pages_12_elements_1_rows_8_text,pages_11_elements_1_rows_8_text,Read aloud signs and labels,Read aloud signs and labels,missing key,Read aloud signs and labels,missing key,Read aloud signs and labels,Schilder und Etiketten laut lesen,Schilder und Etiketten laut lesen,missing key,missing key,Leer en voz alta signos y etiquetas,missing key,missing key,Leer en voz alta signos y etiquetas
pages_12_elements_1_rows_9_text,pages_11_elements_1_rows_9_text,Say counting rhymes or sing counting songs,Say counting rhymes or sing counting songs,missing key,Say counting rhymes or sing counting songs,missing key,Say counting rhymes or sing counting songs,Zählreime sagen oder Zähllieder singen,Zählreime sagen oder Zähllieder singen,missing key,missing key,Decir rimas sobre contar o cantar canciones para contar números,missing key,missing key,Decir rimas sobre contar o cantar canciones para contar números
,pages_11_elements_1_title,missing key,"If your child is in primary/elementary school (first grade or higher), think about the time before they started primary/elementary school. If your child has not yet started primary/elementary school, think about what happens right now.
<br><br>
<b>How often did/do you or someone else in your home do the following activities with your child?</b>",missing key,missing key,missing key,missing key,missing key,"Wenn Ihr Kind in der Grundschule ist (erste Klasse oder höher), denken Sie an die Zeit vor der Einschulung. Wenn Ihr Kind noch nicht in der Grundschule ist, beziehen Sie sich auf die jetzige Situation.<br><br><b>Wie oft haben Sie oder jemand anderes bei Ihnen zu Hause die folgenden Aktivitäten mit Ihrem Kind unternommen?</b>?",missing key,missing key,missing key,missing key,missing key,"Si su niño(a)  cursa actualmente un grado de primaria (primero o superior), piense en la época antes de que ingresar a grado primero. Si su niño(a) aún no ha ingresado a la primaria, piense en lo que ocurre actualmente.<br><br><b>¿Con qué frecuencia realizaba usted u otra persona de su hogar las siguientes actividades con él o ella?</b>"
pages_6_elements_0_labelFalse,pages_12_elements_0_elements_0_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_12_elements_0_elements_0_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
,pages_12_elements_0_elements_0_title,missing key,Did your child attend an early childhood education program or center for children <b>under age 3</b> before first grade?,missing key,missing key,missing key,missing key,missing key,Hat Ihr Kind vor der ersten Klasse ein Programm zur frühkindlichen Erziehung oder ein Zentrum für Kinder <b>unter 3 Jahren</b> besucht?,missing key,missing key,missing key,missing key,missing key,¿Su niño(a) asistió a un programa de educación inicial o centro para niños <b>menores de 3 años</b> antes de ingresar a grado primero?
pages_6_elements_0_labelFalse,pages_12_elements_0_elements_1_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_12_elements_0_elements_1_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
,pages_12_elements_0_elements_1_title,missing key,"Did your child attend a pre-primary educational program for children <b>age 3 or older</b>, <i>including kindergarten</i>, before first grade?",missing key,missing key,missing key,missing key,missing key,"Hat Ihr Kind vor der ersten Klasse eine vorschulische Bildungseinrichtung für Kinder <b>ab 3 Jahren</b>, <i>einschließlich Kindergarten</i>,Hat Ihr Kind vor der ersten Klasse eine vorschulische Bildungseinrichtung für Kinder <b>ab 3 Jahren</b>",missing key,missing key,missing key,missing key,missing key,¿Su niño(a) asistió a un programa de educación preescolar para niños<b> a partir de los 3 años</b> antes de ingresar a grado primero <i>(incluído el kinder)</i>?
pages_13_elements_0_elements_2_choices_0_text,pages_12_elements_0_elements_2_choices_0_text,Did not attend,Did not attend,missing key,Did not attend,missing key,Did not attend,Es hat nicht teilgenommen,Es hat nicht teilgenommen,missing key,missing key,No asistió,missing key,missing key,No asistió
pages_13_elements_0_elements_2_choices_1_text,pages_12_elements_0_elements_2_choices_1_text,Less than 1 year,Less than 1 year,missing key,Less than 1 year,missing key,Less than 1 year,Weniger als 1 Jahr,Weniger als 1 Jahr,missing key,missing key,Menos de 1 año,missing key,missing key,Menos de 1 año
pages_13_elements_0_elements_2_choices_2_text,pages_12_elements_0_elements_2_choices_2_text,1 year,1 year,missing key,1 year,missing key,1 year,1 Jahr,1 Jahr,missing key,missing key,1 año,missing key,missing key,1 año
pages_13_elements_0_elements_2_choices_3_text,pages_12_elements_0_elements_2_choices_3_text,2 years,2 years,missing key,2 years,missing key,2 years,2 Jahr,2 Jahr,missing key,missing key,2 años,missing key,missing key,2 años
pages_13_elements_0_elements_2_choices_4_text,pages_12_elements_0_elements_2_choices_4_text,3 years,3 years,missing key,3 years,missing key,3 years,3 Jahr,3 Jahr,missing key,missing key,3 años,missing key,missing key,3 años
pages_13_elements_0_elements_2_choices_5_text,pages_12_elements_0_elements_2_choices_5_text,4 years or more,4 years or more,missing key,4 years or more,missing key,4 years or more,4 Jahre oder mehr,4 Jahre oder mehr,missing key,missing key,4 años o más,missing key,missing key,4 años o más
,pages_12_elements_0_elements_2_title,missing key,Approximately how long was your child in these programs <i>all together</i> (before first grade)?,missing key,missing key,missing key,missing key,missing key,Wie lange war Ihr Kind ungefähr <i>insgesamt</i> in diesen Programmen? (vor der ersten Klasse),missing key,missing key,missing key,missing key,missing key,"Aproximadamente, ¿cuánto tiempo estuvo su niño(a) en estos programas <i>en total</i>? (antes del grado primero)"
pages_13_elements_0_elements_3_choices_0_text,pages_12_elements_0_elements_3_choices_0_text,5 years old or younger,5 years old or younger,missing key,5 years old or younger,missing key,5 years old or younger,5 Jahre alt oder jünger,5 Jahre alt oder jünger,missing key,missing key,5 años o menos,missing key,missing key,5 años o menos
pages_13_elements_0_elements_3_choices_1_text,pages_12_elements_0_elements_3_choices_1_text,6 years old,6 years old,missing key,6 years old,missing key,6 years old,"6 Jahre alt,",6 Jahre alt,missing key,missing key,6 años,missing key,missing key,6 años
pages_13_elements_0_elements_3_choices_2_text,pages_12_elements_0_elements_3_choices_2_text,7 years old,7 years old,missing key,7 years old,missing key,7 years old,"7 Jahre alt,",7 Jahre alt,missing key,missing key,7 años,missing key,missing key,7 años
pages_13_elements_0_elements_3_choices_3_text,pages_12_elements_0_elements_3_choices_3_text,8 years old or older,8 years old or older,missing key,8 years old or older,missing key,8 years old or older,8 Jahre alt oder älter,8 Jahre alt oder älter,missing key,missing key,8 años o más,missing key,missing key,8 años o más
pages_13_elements_0_elements_3_title,pages_12_elements_0_elements_3_title,How old was your child when he/she began the first grade of primary/elementary school?,How old was your child when he/she began the first grade of primary/elementary school?,missing key,How old was your child when he/she began the first grade of primary/elementary school?,missing key,How old was your child when he/she began the first grade of primary/elementary school?,"Wie alt war Ihr Kind, als es in die erste Klasse der Grundschule eingeschult wurde?","Wie alt war Ihr Kind, als es in die erste Klasse der Grundschule eingeschult wurde?",missing key,missing key,¿Qué edad tenía su niño(a) cuando empezó el primer grado de escuela primaria?,missing key,missing key,¿Qué edad tenía su niño(a) cuando empezó el primer grado de escuela primaria?
pages_13_elements_1_choices_0_text,pages_12_elements_1_choices_0_text,Less than high school,Less than high school,missing key,Less than high school,missing key,Less than high school,Hauptschulabschluss,Hauptschulabschluss,missing key,missing key,Primaria,missing key,missing key,Primaria o bachillerato incompleto
pages_13_elements_1_choices_1_text,pages_12_elements_1_choices_1_text,GED or high school equivalency,GED or high school equivalency,missing key,GED or high school equivalency,missing key,GED or high school equivalency,Realschulabschluss,Realschulabschluss,missing key,missing key,Bachillerato incompleto,missing key,missing key,Bachillerato incompleto
pages_13_elements_1_choices_2_text,pages_12_elements_1_choices_2_text,Some college but no degree,Some college but no degree,missing key,Some college but no degree,missing key,Some college but no degree,Ausbildung,Ausbildung,missing key,missing key,Bachillerato completo o validación del bachillerato académico,missing key,missing key,"Inició estudios universitarios, pero no se ha graduado"
pages_13_elements_1_choices_3_text,pages_12_elements_1_choices_3_text,High school diploma (or equivalent) plus technical training or certificate,High school diploma (or equivalent) plus technical training or certificate,missing key,High school diploma (or equivalent) plus technical training or certificate,missing key,High school diploma (or equivalent) plus technical training or certificate,niedriger als Abitur,niedriger als Abitur,missing key,missing key,"Pregrado, técnico o tecnólogo incompleto",missing key,missing key,"Pregrado, técnico o tecnólogo incompleto"
pages_13_elements_1_choices_4_text,pages_12_elements_1_choices_4_text,Associate's degree,Associate's degree,missing key,Associate's degree,missing key,Associate's degree,allgemeine oder fachgebundene Hochschulreife,allgemeine oder fachgebundene Hochschulreife,missing key,missing key,Programa técnico o tecnólogo completo,missing key,missing key,Grado de programa técnico o tecnólogo
pages_13_elements_1_choices_5_text,pages_12_elements_1_choices_5_text,Bachelor's degree,Bachelor's degree,missing key,Bachelor's degree,missing key,Bachelor's degree,Bachelorabschluss,Bachelorabschluss,missing key,missing key,Pregrado completo,missing key,missing key,Grado de programa de pregrado
pages_13_elements_1_choices_6_text,pages_12_elements_1_choices_6_text,Master's degree,Master's degree,missing key,Master's degree,missing key,Master's degree,Masterabschluss,Masterabschluss,missing key,missing key,Maestría completo,missing key,missing key,Grado de programa de maestría
pages_13_elements_1_choices_7_text,pages_12_elements_1_choices_7_text,Doctoral degree,Doctoral degree,missing key,Doctoral degree,missing key,Doctoral degree,Doktorgrad,Doktorgrad,missing key,missing key,Doctorado completo,missing key,missing key,Grado de programa de doctorado
pages_13_elements_1_title,pages_12_elements_1_title,How far in his/her education do you expect your child to go?,How far in his/her education do you expect your child to go?,missing key,How far in his/her education do you expect your child to go?,missing key,How far in his/her education do you expect your child to go?,"Was glauben Sie, welchen Bildungsabschluss wird ihr Kind voraussichtlich erreichen?","Was glauben Sie, welchen Bildungsabschluss wird ihr Kind voraussichtlich erreichen?",missing key,missing key,¿Cuál es nivel de educación más alto que usted espera que su niño(a) alcance?,missing key,missing key,¿Cuál es nivel de educación más alto que usted espera que su niño(a) alcance?
pages_5_elements_3_choices_0_text,pages_12_elements_2_elements_0_columns_0_text,Never,Never,missing key,Never,missing key,Never,Nie,Nie,missing key,missing key,Nunca,missing key,missing key,Nada de influencia
pages_5_elements_3_choices_2_text,pages_12_elements_2_elements_0_columns_1_text,Sometimes,Sometimes,missing key,Sometimes,missing key,Sometimes,Manchmal,Manchmal,missing key,missing key,A veces,missing key,missing key,A veces
pages_17_elements_0_columns_3_text,pages_12_elements_2_elements_0_columns_2_text,Usually,Usually,missing key,Usually,missing key,Usually,Gewöhnlich,Gewöhnlich,missing key,missing key,Usualmente,missing key,missing key,Usualmente
pages_5_elements_3_choices_4_text,pages_12_elements_2_elements_0_columns_3_text,Always,Always,missing key,Always,missing key,Always,Immer,Immer,missing key,missing key,Siempre,missing key,missing key,Siempre
pages_13_elements_2_elements_0_rows_0_text,pages_12_elements_2_elements_0_rows_0_text,Show interest and curiosity in new topics at school?,Show interest and curiosity in new topics at school?,missing key,Show interest and curiosity in new topics at school?,missing key,Show interest and curiosity in new topics at school?,Interesse und Neugierde an neuen Themen in der Schule zeigen?,Interesse und Neugierde an neuen Themen in der Schule zeigen?,missing key,missing key,¿Mostrar interés y curiosidad por aprender cosas nuevas?,missing key,missing key,¿Mostrar interés y curiosidad por aprender cosas nuevas?
