item_id,source,translation,score
mental-rotation-prompt2,Choose the picture that matches this one.,nan,0.32882964611053467
mental-rotation-prompt1,Choose the matching picture.,nan,0.35602816939353943
math-instructions1,"In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. 

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!",nan,0.46573254466056824
math-intro1,Here is the first section of the game. Let's start with some practice!,nan,0.3036925494670868
math-intro2,Here is another section. The first few are for practice.,nan,0.2756151854991913
math-intro-fractions,In this section sometimes you will add and sometimes you will subtract. Be sure to look carefully for the plus or minus sign. The first few are for practice.,nan,0.27291762828826904
number-comparison-prompt1,Which number is larger?,nan,0.3438379764556885
number-comparison-prompt2,Which is larger?,nan,0.4205112159252167
number-identification-prompt1,Choose the number you hear.,nan,0.30946919322013855
missing-number-prompt1,What number goes in the blank?,nan,0.30947673320770264
missing-number-prompt2,What number goes here?,nan,0.30651354789733887
missing-number-prompt3,What numbers go in the blanks?,nan,0.29240235686302185
addition-prompt1,Add the numbers and choose the correct answer.,nan,0.31593143939971924
addition-prompt2,Add the numbers.,nan,0.3006857633590698
subtraction-prompt1,Subtract the numbers and choose the correct answer.,nan,0.29403582215309143
subtraction-prompt2,Subtract the numbers.,nan,0.274204820394516
multiplication-prompt1,Multiply the numbers and choose the correct answer.,nan,0.29758933186531067
multiplication-prompt2,Multiply the numbers.,nan,0.3167916238307953
number-line-instruct1,Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number belongs. Make sure you look at the numbers at each end when deciding where to move the slider.,nan,0.23538178205490112
number-line-prompt1,Choose the number that is marked on the number line.,nan,0.2802630066871643
number-line-slider-prompt1,Move the slider to mark the number.,nan,0.2813720107078552
number-identification-1,Choose the number 1.,nan,0.39116647839546204
number-identification-2,Choose the 2.,nan,0.33791032433509827
number-identification-3,Choose the 9.,nan,0.33800390362739563
number-identification-4,Choose the 0.,nan,0.33720508217811584
number-identification-5,Choose the 12.,nan,0.33296889066696167
number-identification-6,Choose the 30.,nan,0.33402419090270996
number-identification-7,Choose the 22.,nan,0.3243969976902008
number-identification-8,Choose the 45.,nan,0.30684342980384827
number-identification-9,Choose the 39.,nan,0.3220042586326599
number-identification-10,Choose the 23.,nan,0.32114890217781067
number-identification-11,Choose the 48.,nan,0.30698874592781067
number-identification-12,Choose the 91.,nan,0.30514851212501526
number-identification-13,Choose the 33.,nan,0.3383379876613617
number-identification-14,Choose the 74.,nan,0.33421868085861206
number-identification-15,Choose the 87.,nan,0.3054273724555969
number-identification-16,Choose the 65.,nan,0.31742390990257263
number-identification-17,Choose the 108.,nan,0.29826244711875916
number-identification-18,Choose the 245.,nan,0.2948421835899353
number-identification-19,Choose the 587.,nan,0.2920510172843933
number-identification-20,Choose the 731.,nan,0.3030697703361511
number-identification-21,Choose the 989.,nan,0.3010908365249634
number-identification-22,Choose the 6.,nan,0.3328321576118469
number-identification-23,Choose the 14.,nan,0.32611918449401855
number-identification-24,Choose the 18.,nan,0.32513150572776794
number-identification-25,Choose the 26.,nan,0.3396410048007965
number-identification-26,Choose the 35.,nan,0.31344205141067505
number-identification-27,Choose the 41.,nan,0.3189559280872345
number-identification-28,Choose the 47.,nan,0.3252522349357605
number-identification-29,Choose the 50.,nan,0.3286008834838867
number-identification-30,Choose the 55.,nan,0.30785131454467773
number-identification-31,Choose the 66.,nan,0.34176018834114075
number-identification-32,Choose the 67.,nan,0.3420397937297821
number-identification-33,Choose the 88.,nan,0.29022011160850525
number-identification-34,Choose the 101.,nan,0.3147949278354645
number-identification-35,Choose the 426.,nan,0.30610522627830505
number-identification-36,Choose the 131.,nan,0.30948731303215027
number-identification-37,Choose the 256.,nan,0.29900693893432617
number-identification-38,Choose the 349.,nan,0.31443992257118225
number-identification-39,Choose the 543.,nan,0.30577537417411804
number-identification-40,Choose the 617.,nan,0.31144168972969055
number-identification-41,Choose the 877.,nan,0.2837986946105957
trog-instruct1,"Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!",nan,0.31054773926734924
trog-prompt1,Choose the picture of the...,nan,0.33729085326194763
trog-prompt2,Choose the picture of...,nan,0.36990782618522644
trog-prompt3,Choose the picture that shows...,nan,0.32990795373916626
trog-item-1,Choose the picture of the shoe.,nan,0.29974839091300964
trog-item-2,Choose the picture of the bird.,nan,0.3272460699081421
trog-item-3,Choose the picture of the comb.,nan,0.2988091707229614
trog-item-4,Choose the picture of the apple.,nan,0.30726301670074463
trog-item-5,Choose the picture that shows eating.,nan,0.30161187052726746
trog-item-6,Choose the picture that shows picking.,nan,0.2777298390865326
trog-item-7,Choose the picture that shows sitting.,nan,0.2997622787952423
trog-item-8,Choose the picture that shows running.,nan,0.27907612919807434
trog-item-9,Choose the picture that shows long.,nan,0.2973867952823639
trog-item-10,Choose the picture that shows tall.,nan,0.3051896393299103
trog-item-11,Choose the picture that shows red.,nan,0.3098375201225281
trog-item-12,Choose the picture that shows black.,nan,0.3136780261993408
trog-item-13,the boy is running,nan,0.33098921179771423
trog-item-14,the big cup,nan,0.3475169241428375
trog-item-15,the dog is sitting,nan,0.3334676921367645
trog-item-16,the red ball,nan,0.29991498589515686
trog-item-17,the boy is not running,nan,0.2740590274333954
trog-item-18,the dog is not drinking,nan,0.30499765276908875
trog-item-19,the girl is not jumping,nan,0.2905558943748474
trog-item-20,the dog is not sitting,nan,0.2881350815296173
trog-item-21,the boy is jumping over the box,nan,0.30092182755470276
trog-item-22,the girl is sitting on the table,nan,0.3208266794681549
trog-item-23,the man is eating the apple,nan,0.29450541734695435
trog-item-24,the lady is carrying the bag,nan,0.31741422414779663
trog-item-25,they are sitting on the table,nan,0.28640487790107727
trog-item-26,the cow is looking at them,nan,0.2918229401111603
trog-item-27,they are jumping over the wall,nan,0.2614220380783081
trog-item-28,the elephant is carrying them,nan,0.272237628698349
trog-item-29,the girl is pushing the horse,nan,0.2986602783203125
trog-item-30,the boy is chasing the sheep,nan,0.32455405592918396
trog-item-31,the man is chasing the dog,nan,0.2785804569721222
trog-item-32,the cow is pushing the lady,nan,0.2564223110675812
trog-item-33,she is sitting on the chair,nan,0.33516037464141846
trog-item-34,the lady is carrying him,nan,0.3087333142757416
trog-item-35,he is sitting in the tree,nan,0.2790447175502777
trog-item-36,the horse is looking at her,nan,0.29118654131889343
trog-item-37,the cats look at the ball,nan,0.30102354288101196
trog-item-38,the boy stands on the chairs,nan,0.29754525423049927
trog-item-39,the boys pick the apples,nan,0.2939138114452362
trog-item-40,the girl drops the cups,nan,0.3020317554473877
trog-item-41,the fork is longer than the pencil,nan,0.2582140862941742
trog-item-42,the box is bigger than the cup,nan,0.28863826394081116
trog-item-43,the shoe is bigger than the bird,nan,0.2762366831302643
trog-item-44,the horse is taller than the wall,nan,0.26434266567230225
trog-item-45,the girl is chased by the horse,nan,0.2995680868625641
trog-item-46,the elephant is pushed by the boy,nan,0.2635030448436737
trog-item-47,the horse is chased by the man,nan,0.26887062191963196
trog-item-48,the cow is pushed by the man,nan,0.24830830097198486
trog-item-49,the cup is in the box,nan,0.269320547580719
trog-item-50,the pencil is on the box,nan,0.2716142237186432
trog-item-51,the circle is in the star,nan,0.2625338137149811
trog-item-52,the fork is on the shoe,nan,0.277686208486557
trog-item-53,the boy chasing the horse is tall,nan,0.27929481863975525
trog-item-54,the pencil on the shoe is blue,nan,0.2803996801376343
trog-item-55,the cow chasing the cat is brown,nan,0.27438491582870483
trog-item-56,the circle in the star is yellow,nan,0.28209248185157776
trog-item-57,the box but not the chair is red,nan,0.2559729814529419
trog-item-58,the cat is big but not black,nan,0.27270767092704773
trog-item-59,the horse but not the boy is standing,nan,0.24392643570899963
trog-item-60,the boy is sitting but not eating,nan,0.29188787937164307
trog-item-61,the pencil is above the flower,nan,0.2791438698768616
trog-item-62,the comb is below the spoon,nan,0.27245602011680603
trog-item-63,the star is above the circle,nan,0.2737099230289459
trog-item-64,the square is below the star,nan,0.2731776237487793
trog-item-65,not only the bird but also the flower is blue,nan,0.293947696685791
trog-item-66,the box is not only big but also blue,nan,0.28541573882102966
trog-item-67,not only the girl but also the cat is sitting,nan,0.28365930914878845
trog-item-68,the girl has not only food but also a drink,nan,0.3250342607498169
trog-item-69,the pencil is on the book that is yellow,nan,0.25290754437446594
trog-item-70,the girl chases the dog that is big,nan,0.2905375361442566
trog-item-71,the square is in the star that is blue,nan,0.25091156363487244
trog-item-72,the dog chases the horse that is brown,nan,0.26342588663101196
trog-item-73,neither the dog nor the ball is brown,nan,0.2613148093223572
trog-item-74,the pencil is neither long nor red,nan,0.2170957326889038
trog-item-75,neither the boy nor the horse is running,nan,0.24316483736038208
trog-item-76,the boy has neither hat nor shoes,nan,0.31050482392311096
trog-item-77,the book the pencil is on is red,nan,0.24608460068702698
trog-item-78,the cat the cow chases is black,nan,0.250161737203598
trog-item-79,the circle the star is in is red,nan,0.24841061234474182
trog-item-80,the boy the dog chases is big,nan,0.27240756154060364
trog-item-81,the horse drank water by the barn and the sheep ate grass by the fence,nan,0.23081320524215698
trog-item-82,the student opened the notebook and drew a tree,nan,0.30175328254699707
trog-item-83,we will have a picnic in the park if it is sunny,nan,0.3633491098880768
trog-item-84,he found his keys under the couch with the pillows,nan,0.28547030687332153
trog-item-85,she is the gardener who wears the hat that has a flower,nan,0.23190981149673462
trog-item-86,She tripped on a rock and dropped her books.,nan,0.27198976278305054
trog-item-87,The teacher will give the students cake if they stand in a line.,nan,0.25319573283195496
trog-item-88,We will dance together if there is music playing.,nan,0.3055970072746277
trog-item-89,"Although it is hot outside, I am wearing a jacket with a hood.",nan,0.3034350872039795
trog-item-90,"He likes swimming. However, he chose to play soccer with his friends.",nan,0.3134739100933075
trog-item-91,"Despite the noise in the classroom, she focused on reading her notebook.",nan,0.2977694869041443
trog-item-92,He wore the clown's hat despite its large size.,nan,0.26391392946243286
trog-item-93,The duck following the turtle is walking across the bridge.,nan,0.2588540017604828
trog-item-94,Bumping the table with my foot caused a book to fall.,nan,0.2847687005996704
trog-item-95,The person chases the dog that is big.,nan,0.27065205574035645
trog-item-96,The girl wearing a backpack was shown a flower by her friend.,nan,0.2898111641407013
trog-item-97,"The kids cleaned the room, but forgot to put away the train.",nan,0.2419854998588562
trog-item-98,The monkey neither ate the banana nor swung on the vine.,nan,0.24600210785865784
trog-item-99,"Her mom said it would be sunny. However, it rained heavily.",nan,0.297740638256073
trog-item-100,The plane that is gray is above the clouds.,nan,0.2726978063583374
trog-item-101,The fish swim beneath a whale and a sea turtle.,nan,0.2833460867404938
trog-item-102,The car that the truck followed is driving toward the tunnel.,nan,0.26829993724823
trog-item-103,Instead of doing homework she did a puzzle in her room.,nan,0.2830369472503662
yes,yes,nan,0.7285422086715698
no,no,nan,0.5807145237922668
happy,happy,nan,0.4499802887439728
sad,sad,nan,0.4136364758014679
angry,angry,nan,0.647305965423584
scared,scared,nan,0.47550472617149353
calm,calm,nan,0.5183280110359192
proud,proud,nan,0.4373956620693207
disgusted,disgusted,nan,0.39578449726104736
surprised,surprised,nan,0.42851516604423523
ToM-intro,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.",nan,0.3263130486011505
ToM-transition,Nice work! Here is a new story.,nan,0.3099210560321808
ToM-scene1-instruct1,"Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it. ",nan,0.31600406765937805
ToM-scene1-instruct2,"But when Madison was outside playing, someone did find it! And hid it under the rug. ",nan,0.27934616804122925
ToM-scene1-instruct3,So now it’s reading time and Madison wants her book.,nan,0.300665944814682
ToM-scene1-q1-false_belief,Where will Madison look first for her book?,nan,0.3174476623535156
chair,Behind the chair,nan,0.3532075583934784
rug,Under the rug,nan,0.41395172476768494
ToM-scene1-q2-reality_check,And where is her book really?,nan,0.32091882824897766
ToM-scene2-instruct1,"This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue! ",nan,0.24214491248130798
ToM-scene2-instruct2,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see? ",nan,0.25141867995262146
ToM-scene2-instruct3,"Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.",nan,0.24759528040885925
ToM-scene2-q1-false_belief,"Now, when Ethan comes in from outside, where will he look first for his book?",nan,0.28720271587371826
shelf,On the shelf,nan,0.3650504946708679
coats,Under the coats,nan,0.349827378988266
ToM-scene2-instruct4,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!",nan,0.23009610176086426
ToM-scene2-q2-emotion_reasoning,How do you think Hannah feels about Ethan reaching for that book? ,nan,0.3413691222667694
ToM-scene2-q7-emotion_reasoning,How do you think Hannah would feel if she had not seen Ethan reaching for the book?,nan,0.3514639735221863
ToM-scene2-q3-false_belief,Is Ethan being mean and naughty for taking Hannah's book?,nan,0.307210236787796
ToM-scene2-q4-false_belief,Should Ethan get in trouble with the teacher for taking Hannah's book?,nan,0.31258296966552734
ToM-scene2-q5-reality_check,Can you help Hannah find her book? Is it on the shelf or under the coats?,nan,0.2938883304595947
ToM-scene2-q6-reality_check,Can you help Ethan find his book? Is it on the shelf or under the coats?,nan,0.29332196712493896
ToM-scene3-instruct1,"Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ",nan,0.2818082273006439
ToM-scene3-instruct2,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ",nan,0.25625884532928467
ToM-scene3-instruct3,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",nan,0.2419789731502533
ToM-scene3-instruct4,"Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.",nan,0.2857728600502014
ToM-scene3-q1,What did Joshua mean to draw?,nan,0.295789897441864
fountain,A fountain,nan,0.7217574119567871
tree,A tree,nan,0.6663978695869446
ToM-scene3-q2-false_belief,"When Isabel and Ivan see this clue, where will they look first for Joshua? ",nan,0.3024212718009949
ToM-scene3-q2-reality_check,Can you help them find where Joshua really is?,nan,0.3562260568141937
behind-fountain,Behind the fountain,nan,0.39874815940856934
behind-tree,Behind the tree,nan,0.34854787588119507
ToM-scene3-q3-emotion_reasoning,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?",nan,0.3058331310749054
ToM-scene4-instruct1,"Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ",nan,0.3229370713233948
ToM-scene4-instruct2,"Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it. ",nan,0.25918278098106384
ToM-scene4-q1-emotion_reasoning,How does Joshua feel about losing his truck?,nan,0.367011696100235
ToM-scene4-q8-emotion_reasoning,How would Joshua feel if he found his truck?,nan,0.3188340961933136
ToM-scene4-instruct3,"Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox. ",nan,0.2659298777580261
ToM-scene4-instruct4,"So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.",nan,0.2708917260169983
ToM-scene4-q2,Is it fair that Mother is mad at Joshua for losing his truck?,nan,0.2675001621246338
ToM-scene4-q3,Is Mother mad at Isabel? ,nan,0.3517405688762665
ToM-scene4-q4-false_belief,Is Joshua mad at Isabel? ,nan,0.4259512424468994
ToM-scene4-instruct5,"When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.",nan,0.28919553756713867
ToM-scene4-q5,Is Mother mad at Joshua now?,nan,0.34300804138183594
ToM-scene4-q6,Is Mother mad at Isabel now?,nan,0.3533872663974762
ToM-scene4-q7,Is Joshua mad at Isabel now?,nan,0.43583473563194275
ToM-scene4-instruct6,"Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.",nan,0.27493396401405334
ToM-scene5-instruct1,"This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf. ",nan,0.23304593563079834
ToM-scene5-instruct2,"Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”",nan,0.25898292660713196
ToM-scene5-q1,Which cup will Dad give Katie?,nan,0.30357059836387634
ToM-scene5-q2-reality_check,Which cup does Katie want?,nan,0.33510780334472656
small_cup,The small cup,nan,0.4182346761226654
medium_cup,The medium sized cup,nan,0.34957531094551086
large_cup,The big cup,nan,0.3723531663417816
ToM-scene5-q3-emotion_reasoning,How does Katie feel about not getting the cup she wanted?,nan,0.3163190484046936
ToM-scene5-q4-emotion_reasoning,How would Katie feel if she had received the cup she wanted?,nan,0.3097754418849945
ToM-scene6-instruct1,"Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.",nan,0.30119025707244873
ToM-scene6-instruct2,"Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” Mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.",nan,0.2520025372505188
ToM-scene6-q1,Does Maria know that they are selling shoes in the shop?,nan,0.3133307695388794
ToM-scene6-instruct3,"Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks.",nan,0.25927117466926575
ToM-scene6-q2,Does Sam know that Maria bought some socks?,nan,0.35993561148643494
ToM-scene6-q3,What does Sam think they are selling at the shop?,nan,0.3108961880207062
shoes,Shoes,nan,0.38848841190338135
socks,Socks,nan,0.4901846647262573
shirts,Shirts,nan,0.35896867513656616
ToM-scene6-instruct4,"On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.”
“That is nice of you,” says Dad. Then he asks Maria: “Does Sam know what you bought him?”",nan,0.28945741057395935
ToM-scene6-q4,What does Maria tell Dad?,nan,0.34711918234825134
ToM-scene6-instruct5,Then Dad asks: “What does Sam think they are selling at the shop?”,nan,0.29406827688217163
ToM-scene6-q5,What does Maria tell Dad?,nan,0.34711918234825134
ToM-scene6-q6,What does Sam think they are selling at the shop?,nan,0.3108961880207062
ToM-scene6-instruct6,Sam is very happy to get his new socks.,nan,0.3173891603946686
hostile-attribution-scene1-instruct1,Imagine that you are walking to school and you’re wearing your new shoes. You really like your new shoes and this is the first day you have worn them.,nan,0.3264016807079315
hostile-attribution-scene1-instruct2,"Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.",nan,0.2680584490299225
hostile-attribution-scene1-q1,Do you think that the boy bumped you on purpose or by accident?,nan,0.41286635398864746
hostile-attribution-scene1-q2,Now pick one of the three choices as the one you would do:,nan,0.3231064975261688
hostile-attribution-scene1-q2-ans1,clean up my shoes,nan,0.31126898527145386
hostile-attribution-scene1-q2-ans2,walk away from the boy,nan,0.32331979274749756
hostile-attribution-scene1-q2-ans3,push the boy in the mud,nan,0.2816706895828247
hostile-attribution-scene2-instruct1,"Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball.",nan,0.257363498210907
hostile-attribution-scene2-instruct2,"The next thing you know, the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race.",nan,0.23986142873764038
hostile-attribution-scene2-q1,Do you think that the boy made you fall on purpose or by accident?,nan,0.3814994990825653
hostile-attribution-scene2-q2,Now pick one of the three choices as the one you would do:,nan,0.3231064975261688
hostile-attribution-scene2-q2-ans1,go to another area of the playground,nan,0.30845779180526733
hostile-attribution-scene2-q2-ans2,say something mean to him,nan,0.34786155819892883
hostile-attribution-scene2-q2-ans3,take care of my knee,nan,0.33825045824050903
hostile-attribution-scene3-instruct1,Imagine that you are working on an assignment at your desk. ,nan,0.29774710536003113
hostile-attribution-scene3-instruct2,"You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there. ",nan,0.2315446436405182
hostile-attribution-scene3-instruct3,"The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor.",nan,0.2981610894203186
hostile-attribution-scene3-q1,Do you think the boy knocked your papers onto the floor on purpose or by accident?,nan,0.3428346812725067
hostile-attribution-scene3-q2,Now pick one of the three choices as the one you would do:,nan,0.3231064975261688
hostile-attribution-scene3-q2-ans1,call him a name,nan,0.3009416460990906
hostile-attribution-scene3-q2-ans2,pick up the papers,nan,0.28941282629966736
hostile-attribution-scene3-q2-ans3,do nothing,nan,0.4346684515476227
hostile-attribution-scene1-by-accident,by accident,nan,0.4187999367713928
hostile-attribution-scene1-on-purpose,on purpose,nan,0.39632806181907654
hostile-attribution-scene2-by-accident,by accident,nan,0.4187999367713928
hostile-attribution-scene2-on-purpose,on purpose,nan,0.39632806181907654
hostile-attribution-scene3-by-accident,by accident,nan,0.4189245402812958
hostile-attribution-scene3-on-purpose,on purpose,nan,0.39632806181907654
same-different-selection-instruct1,"This is the matching game. In this game, you're going to choose sets of cards that match in some way. First, let's look at some of the cards you are going to see.",nan,0.30105289816856384
same-different-selection-touch-circle,Choose the card with a circle.,nan,0.29978930950164795
same-different-selection-touch-square,Choose the card with a square.,nan,0.2913627624511719
same-different-selection-touch-triangle,Choose the card with a triangle.,nan,0.2875404357910156
same-different-selection-touch-star,Choose the card with a star.,nan,0.29704001545906067
same-different-selection-touch-green,Choose the card with a green shape.,nan,0.3121137320995331
same-different-selection-touch-red,Choose the card with a red shape.,nan,0.3093641996383667
same-different-selection-touch-blue,Choose the card with a blue shape.,nan,0.3027224540710449
same-different-selection-touch-yellow,Choose the card with a yellow shape.,nan,0.300809770822525
same-different-selection-touch-small,Choose the card with a small shape.,nan,0.3178316056728363
same-different-selection-touch-medium,Choose the card with a medium-sized shape.,nan,0.31113627552986145
same-different-selection-touch-large,Choose the card with a large shape.,nan,0.31910815834999084
same-different-selection-touch-white,Choose the star on the white card.,nan,0.3037969172000885
same-different-selection-touch-gray,Choose the star on the gray card.,nan,0.2790835499763489
same-different-selection-touch-black,Choose the star on the black card.,nan,0.29812055826187134
same-different-selection-touch-striped,Choose the star on the striped card.,nan,0.29212042689323425
same-different-selection-touch-1,Choose the card with 1 star.,nan,0.3193112909793854
same-different-selection-touch-2,Choose the card with 2 stars.,nan,0.3118668496608734
same-different-selection-touch-3,Choose the card with 3 stars.,nan,0.3109230697154999
same-different-selection-touch-4,Choose the card with 4 stars.,nan,0.3056487441062927
same-different-selection-instruct2,Now you're going to see two cards that are the same in one way. Then you will see a new card that is similar to one of those cards. Your job is to choose the card that is similar to the new card.,nan,0.3019932508468628
same-different-selection-instruct3,"Now you're going to see three cards, and you're going to choose two that are the same in some way. Then you're going to see the same cards again, and pick two cards that are the same in a different way.",nan,0.22582226991653442
same-different-selection-both-circles,Here are two cards. Something's the same. They both have circles.,nan,0.23792323470115662
same-different-selection-both-squares,Here are two cards. Something's the same. They both have squares.,nan,0.2279452383518219
same-different-selection-both-triangles,Here are two cards. Something's the same. They both have triangles.,nan,0.22674715518951416
same-different-selection-both-red,Here are two cards. Something's the same. They both have red shapes.,nan,0.25255322456359863
same-different-selection-both-green,Here are two cards. Something's the same. They both have green shapes.,nan,0.25209832191467285
same-different-selection-both-yellow,Here are two cards. Something's the same. They both have yellow shapes.,nan,0.2499682903289795
same-different-selection-both-blue,Here are two cards. Something's the same. They both have blue shapes.,nan,0.24297764897346497
same-different-selection-both-small,Here are two cards. Something's the same. They both have small shapes.,nan,0.2516466975212097
same-different-selection-both-medium,Here are two cards. Something's the same. They both have medium-sized shapes.,nan,0.2521371841430664
same-different-selection-both-large,Here are two cards. Something's the same. They both have large shapes.,nan,0.25434064865112305
sds-prompt3,Here is another card. Which of these is similar to this one?,nan,0.28508004546165466
sds-3match-prompt2,Here is the same set of cards again. Choose two cards that are the same in a different way.,nan,0.2773286700248718
sds-2match-prompt1,Here is a new set of cards. Choose two cards that are the same in some way.,nan,0.29826056957244873
sds-2match-prompt2,Choose two cards that are the same in a different way.,nan,0.29902714490890503
sds-3unique-prompt1,Choose three cards that are the same in only one way.,nan,0.29583731293678284
sds-3unique-prompt2,Choose another three cards that are the same in only one way.,nan,0.2877825200557709
memory-game-display,Watch the squares light up.,nan,0.294859915971756
memory-game-input,Choose the squares in the same order.,nan,0.30192747712135315
memory-game-instruct1,This is the memory game. Here's how you play it.,nan,0.26549533009529114
memory-game-instruct2,You will see squares light up.,nan,0.27290791273117065
