item_id,status,color,used_in,labels,en
ToM-scene-12-instruct2,unused,#F97316,,"theory-of-mind, Stories","Then Emma went to her room to get ready for school. While she was getting ready, she changed her mind, so she yelled to her dad, “Actually, may I please have my red ball instead?” and kept getting ready for school. But Dad did not hear Emma ask for her red ball."
ToM-scene-12-instruct3,unused,#F97316,,"theory-of-mind, Stories","Dad didn’t hear Emma say she wants her red ball. So dad thinks Emma wants her yellow ball. Dad goes to pack Emma’s bag, but can’t find her yellow ball in the toy box! But dad finds a blue ball in the toy box, so he packs the blue ball for Emma instead."
ToM-scene-12-instruct4,unused,#F97316,,"theory-of-mind, Stories","On the way to school, Dad tells Emma, “I’m so sorry, I couldn’t pack the toy that you wanted because I couldn’t find it”."
ToM-scene-12-instruct5,unused,#F97316,,"theory-of-mind, Stories",Emma is very happy to play with her ball.
ToM-scene-12-q1-false_belief,unused,#F97316,,"theory-of-mind, Stories",Which toy does Dad think Emma wants to bring to school?
ToM-scene-12-q2-false_belief,unused,#F97316,,"theory-of-mind, Stories",Does Emma know that Dad packed the blue ball?
ToM-scene-12-q3-false_belief,unused,#F97316,,"theory-of-mind, Stories",Which ball does Emma think Dad packed?
ToM-scene-12-q4-reality_check,unused,#F97316,,"theory-of-mind, Stories",What toy does Emma want?
ToM-scene-12-q5-reality_check,unused,#F97316,,"theory-of-mind, Stories",What toy did Dad pack for Emma?
ToM-scene-14-instruct4,unused,#F97316,,"theory-of-mind, Stories","Let’s see what he does. Oh look, here is Bobby reaching for the soccer ball on the table. And now Anna sees Bobby reaching for that soccer ball... the soccer ball that is Anna's!"
ToM-scene-14-q2-emotion_reasoning,unused,#F97316,,"theory-of-mind, Stories",How do you think Anna feels about Bobby reaching for that soccer ball?
ToM-scene-14-q3-emotion_reasoning,unused,#F97316,,"theory-of-mind, Stories",How do you think Anna would feel if she had not seen Bobby reaching for the soccer ball?
ToM-scene-14-q4-false_belief,unused,#F97316,,"theory-of-mind, Stories",Is Bobby being mean and naughty for taking Anna’s soccer ball?
ToM-scene-14-q5-false_belief,unused,#F97316,,"theory-of-mind, Stories",Should Bobby get in trouble with their mom for taking Anna’s soccer ball?
ToM-scene-14-q6-reality_check,unused,#F97316,,"theory-of-mind, Stories",Can you help Anna find her soccer ball? Is it on the table or on the floor?
ToM-scene-14-q7-reality_check,unused,#F97316,,"theory-of-mind, Stories",Can you help Bobby find his soccer ball? Is it on the table or on the floor?
ToM-scene-15-instruct1,unused,#F97316,,"theory-of-mind, Stories","Alex, Beth, and Johnny are playing a game at the park. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them."
ToM-scene-15-instruct2,unused,#F97316,,"theory-of-mind, Stories","Johnny decides to hide behind the flower bush. He draws a clue in the sand. Johnny means to draw the flower bush, but the drawing looks like a rock instead! Then Johnny goes to hide behind the flower bush."
ToM-scene-15-q1-reality_check,unused,#F97316,,"theory-of-mind, Stories",What did Johnny mean to draw?
ToM-scene-15-q2-false_belief,unused,#F97316,,"theory-of-mind, Stories","When Alex and Beth see this clue, where will they look first for Johnny? Behind the flower bush or behind the rock?"
ToM-scene-15-q3-reality_check,unused,#F97316,,"theory-of-mind, Stories",Can you help them find where Johnny really is?
ToM-scene-15-q4-emotion_reasoning,unused,#F97316,,"theory-of-mind, Stories","Look, Alex and Beth found Johnny, and won the game! How do you think Alex and Beth feel about winning the game?"
ToM-scene-16-instruct1,unused,#F97316,,"theory-of-mind, Stories",Dad tells James and Sophie to get ready for school. Dad tells them to put on their shoes.
ToM-scene-16-instruct2,unused,#F97316,,"theory-of-mind, Stories",Sophie can’t find one of her shoes! She’s looking everywhere but she can't find it.
ToM-scene-16-instruct3,unused,#F97316,,"theory-of-mind, Stories","Sophie can't find her shoe because earlier in the day, when no one was looking, James played a trick on Sophie and hid her shoe in the toy box."
ToM-scene-16-instruct4,unused,#F97316,,"theory-of-mind, Stories","So Sophie looks everywhere and she can’t find her shoe. Dad gets mad at Sophie, because she lost her shoe and now they are late for school."
ToM-scene-16-instruct5,unused,#F97316,,"theory-of-mind, Stories","When James sees that Dad is mad at Sophie, he goes to the toy box and gets the shoe, and gives it back to Sophie."
ToM-scene-16-instruct6,unused,#F97316,,"theory-of-mind, Stories","James tells Sophie that he’s very sorry, and Sophie and Dad forgive James. They all hug."
ToM-scene-16-q1-emotion_reasoning,unused,#F97316,,"theory-of-mind, Stories",How does Sophie feel about losing her shoe?
ToM-scene-16-q2-emotion_reasoning,unused,#F97316,,"theory-of-mind, Stories",How would Sophie feel if she found her shoe?
ToM-scene-16-q3-false_belief,unused,#F97316,,"theory-of-mind, Stories",Is it fair that Dad is mad at Sophie for losing her shoe?
ToM-scene-16-q4-reference,unused,#F97316,,"theory-of-mind, Stories",Is Dad mad at James?
ToM-scene-16-q5-reference,unused,#F97316,,"theory-of-mind, Stories",Is Sophie mad at James?
ToM-scene-16-q6-reference,unused,#F97316,,"theory-of-mind, Stories",Is Dad mad at Sophie now?
ToM-scene-16-q7-reference,unused,#F97316,,"theory-of-mind, Stories",Is Dad mad at James now?
ToM-scene-16-q8-reference,unused,#F97316,,"theory-of-mind, Stories",Is Sophie mad at James now?
ToM-scene-17-instruct1,unused,#F97316,,"theory-of-mind, Stories","This is Mika. Mika’s mom owns a bookshop, and sometimes Mika helps out. Earlier today, Mika was organizing books on tables and shelves. Mika put a very large stack of blue books on the desk, a medium-sized stack of red books on the table, and a small stack of yellow books on the shelf."
ToM-scene-17-instruct2,unused,#F97316,,"theory-of-mind, Stories","Mika’s mom just walked in. Mom asks Mika for one of the books. Mika remembers where the book is, and tells mom, “The book is in the small stack!”"
ToM-scene-17-q1-reference,unused,#F97316,,"theory-of-mind, Stories",Which stack of books will mom look in?
ToM-scene-17-q2-reality_check,unused,#F97316,,"theory-of-mind, Stories",Which stack of books was Mika talking about?
ToM-scene-17-q3-emotion_reasoning,unused,#F97316,,"theory-of-mind, Stories",Mom looks in the wrong stack of books and can’t find the book that she wanted. How do you think Mom feels about not finding the book she wanted?
ToM-scene-17-q4-emotion_reasoning,unused,#F97316,,"theory-of-mind, Stories",How do you think Mom would feel if she could find the book she wanted?
ToM-scene-18-instruct1,unused,#F97316,,"theory-of-mind, Stories","George and Kat are playing together. They look outside and see a new toy shop across the street. Kat decides to go buy some new toys at the toy shop. Kat asks George what toy he would like to have, and George says he would like a new basketball."
ToM-scene-18-instruct2,unused,#F97316,,"theory-of-mind, Stories","While Kat is walking to the toy shop, George changes his mind and yells to Kat, “Actually, can I please have some crayons?” But Kat did not hear George ask for crayons."
ToM-scene-18-instruct3,unused,#F97316,,"theory-of-mind, Stories","Kat didn’t hear George say that he wanted crayons. So Kat thinks George wants a basketball. Kat goes to the toy shop, but then the shop owner says that they don’t have any basketballs! But they do have storybooks, so Kat buys a storybook for George instead."
ToM-scene-18-instruct4,unused,#F97316,,"theory-of-mind, Stories","Kat comes back and tells George, “I’m so sorry, I couldn’t buy you a basketball because the store didn’t have any.”"
ToM-scene-18-instruct5,unused,#F97316,,"theory-of-mind, Stories",George is very happy to play with his new storybook.
ToM-scene-18-q1-false_belief,unused,#F97316,,"theory-of-mind, Stories",Which toy does Kat think George wants from the toy shop?
ToM-scene-18-q2-false_belief,unused,#F97316,,"theory-of-mind, Stories",Does George know that Kat bought a storybook?
ToM-scene-18-q3-false_belief,unused,#F97316,,"theory-of-mind, Stories",What does George think Kat bought at the toy shop?
ToM-scene-18-q4-reality_check,unused,#F97316,,"theory-of-mind, Stories",What toy does George want?
ToM-scene-18-q5-reality_check,unused,#F97316,,"theory-of-mind, Stories",What toy did Kat buy for George?
ToM-scene-8-instruct4,unused,#F97316,,"theory-of-mind, Stories","Let’s see what she does. Oh look, here is Allie reaching for this pencil up on top of the shelf. And now Mike sees Allie reaching for that pencil... the pencil that is Mike's!"
ToM-scene-8-q2-emotion_reasoning,unused,#F97316,,"theory-of-mind, Stories",How do you think Mike feels about Allie reaching for that pencil?
ToM-scene-8-q3-emotion_reasoning,unused,#F97316,,"theory-of-mind, Stories",How do you think Mike would feel if he had not seen Allie reaching for the pencil?
ToM-scene-8-q4-false_belief,unused,#F97316,,"theory-of-mind, Stories",Is Allie being mean and naughty for taking Mike’s pencil?
ToM-scene-8-q5-false_belief,unused,#F97316,,"theory-of-mind, Stories",Should Allie get in trouble with the teacher for taking Mike’s pencil?
ToM-scene-8-q6-reality_check,unused,#F97316,,"theory-of-mind, Stories",Can you help Mike find his pencil? Is it on top of the shelf or behind the backpack shelf?
ToM-scene-8-q7-reality_check,unused,#F97316,,"theory-of-mind, Stories",Can you help Allie find her pencil? Is it on top of the shelf or behind the backpack shelf?
ToM-scene-9-instruct1,unused,#F97316,,"theory-of-mind, Stories","This is Mark. Mark is playing a really silly game today and not saying any words all day long. Instead, Mark is drawing pictures. Mark is at the library, deciding which book he would like to read. Mom shows Mark two books, a book about cups and a book about hills."
ToM-scene-9-instruct2,unused,#F97316,,"theory-of-mind, Stories","Mark draws a picture of a hill, to tell Mom that he wants to read the book about hills. But when Mark gives Mom the picture, she holds it upside-down, so that it looks like a cup!"
ToM-scene-9-q1-reality_check,unused,#F97316,,"theory-of-mind, Stories",What did Mark mean to draw?
ToM-scene-9-q2-false_belief,unused,#F97316,,"theory-of-mind, Stories","When Mom sees the picture, what book will she give Mark?"
ToM-scene-9-q3-reality_check,unused,#F97316,,"theory-of-mind, Stories",What book does Mark really want?
ToM-scene-9-q4-emotion_reasoning,unused,#F97316,,"theory-of-mind, Stories","Look, Mom realized her mistake and gave Mark the book he really wanted! How do you think Mark feels about getting the book he wanted?"
ToM-scene1-instruct1,used,#34D399,core-task-assets,"theory-of-mind, Stories","Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it."
ToM-scene1-instruct2,used,#34D399,core-task-assets,"theory-of-mind, Stories","But when Madison was outside playing, someone did find it! And hid it under the rug."
ToM-scene1-instruct3,used,#34D399,core-task-assets,"theory-of-mind, Stories",So now it’s reading time and Madison wants her book.
ToM-scene1-q1-false_belief,used,#34D399,core-task-assets,"theory-of-mind, Stories",Where will Madison look first for her book?
ToM-scene1-q2-reality_check,used,#34D399,core-task-assets,"theory-of-mind, Stories",And where is her book really?
ToM-scene13-instruct1,unused,#F97316,,"theory-of-mind, Stories","Here is Gabriel. This afternoon at school, Gabriel put his pencil in his pencil box."
ToM-scene13-instruct2,unused,#F97316,,"theory-of-mind, Stories","But while Gabriel was outside, someone used his pencil! After using Gabriel’s pencil, the person put the pencil in a basket."
ToM-scene13-instruct3,unused,#F97316,,"theory-of-mind, Stories","So now it’s time for class, and Gabriel wants his pencil."
ToM-scene13-q1-false_belief,unused,#F97316,,"theory-of-mind, Stories",Where will Gabriel look for his pencil?
ToM-scene13-q2-reality_check,unused,#F97316,,"theory-of-mind, Stories",And where is his pencil really?
ToM-scene14-instruct1,unused,#F97316,,"theory-of-mind, Stories","This afternoon when he came home, Bobby put his soccer ball on the table."
ToM-scene14-instruct2,unused,#F97316,,"theory-of-mind, Stories","And then he went outside to play, see? Here’s Bobby playing outside. And while he was outside playing, Bobby’s soccer ball fell off the table and onto the floor."
ToM-scene14-instruct3,unused,#F97316,,"theory-of-mind, Stories","Then Bobby’s sister Anna comes in. Anna also has a soccer ball! Anna puts her soccer ball on the table. Bobby is still outside playing, so he didn’t see what Anna was doing."
ToM-scene14-q1-false_belief,unused,#F97316,,"theory-of-mind, Stories","Now, when Bobby comes in from outside, where will he look first for his soccer ball?"
ToM-scene2-instruct1,used,#34D399,core-task-assets,"theory-of-mind, Stories","This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue!"
ToM-scene2-instruct2,used,#34D399,core-task-assets,"theory-of-mind, Stories","And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see?"
ToM-scene2-instruct3,used,#34D399,core-task-assets,"theory-of-mind, Stories","Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing."
ToM-scene2-instruct4,used,#34D399,core-task-assets,"theory-of-mind, Stories","Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!"
ToM-scene2-q1-false_belief,used,#34D399,core-task-assets,"theory-of-mind, Stories","Now, when Ethan comes in from outside, where will he look first for his book?"
ToM-scene2-q2-emotion_reasoning,used,#34D399,core-task-assets,"theory-of-mind, Stories",How do you think Hannah feels about Ethan reaching for that book?
ToM-scene2-q3-false_belief,used,#34D399,core-task-assets,"theory-of-mind, Stories",Is Ethan being mean and naughty for taking Hannah's book?
ToM-scene2-q4-false_belief,used,#34D399,core-task-assets,"theory-of-mind, Stories",Should Ethan get in trouble with the teacher for taking Hannah's book?
ToM-scene2-q5-reality_check,used,#34D399,core-task-assets,"theory-of-mind, Stories",Can you help Hannah find her book? Is it on the shelf or under the coats?
ToM-scene2-q6-reality_check,used,#34D399,core-task-assets,"theory-of-mind, Stories",Can you help Ethan find his book? Is it on the shelf or under the coats?
ToM-scene2-q7-emotion_reasoning,used,#34D399,core-task-assets,"theory-of-mind, Stories",How do you think Hannah would feel if she had not seen Ethan reaching for the book?
ToM-scene3-instruct1,used,#34D399,core-task-assets,"theory-of-mind, Stories","Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them."
ToM-scene3-instruct2,used,#34D399,core-task-assets,"theory-of-mind, Stories","So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide."
ToM-scene3-instruct3,used,#34D399,core-task-assets,"theory-of-mind, Stories","Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him."
ToM-scene3-instruct4,used,#34D399,core-task-assets,"theory-of-mind, Stories","Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain."
ToM-scene3-q1,used,#34D399,core-task-assets,"theory-of-mind, Stories",What did Joshua mean to draw?
ToM-scene3-q2-false_belief,used,#34D399,core-task-assets,"theory-of-mind, Stories","When Isabel and Ivan see this clue, where will they look first for Joshua?"
ToM-scene3-q2-reality_check,used,#34D399,core-task-assets,"theory-of-mind, Stories",Can you help them find where Joshua really is?
ToM-scene3-q3-emotion_reasoning,used,#34D399,core-task-assets,"theory-of-mind, Stories","Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?"
ToM-scene4-instruct1,used,#34D399,core-task-assets,"theory-of-mind, Stories","Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys."
ToM-scene4-instruct2,used,#34D399,core-task-assets,"theory-of-mind, Stories","Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it."
ToM-scene4-instruct3,used,#34D399,core-task-assets,"theory-of-mind, Stories","Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox."
ToM-scene4-instruct4,used,#34D399,core-task-assets,"theory-of-mind, Stories","So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck."
ToM-scene4-instruct5,used,#34D399,core-task-assets,"theory-of-mind, Stories","When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua."
ToM-scene4-instruct6,used,#34D399,core-task-assets,"theory-of-mind, Stories","Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in."
ToM-scene4-q1-emotion_reasoning,used,#34D399,core-task-assets,"theory-of-mind, Stories",How does Joshua feel about losing his truck?
ToM-scene4-q2,used,#34D399,core-task-assets,"theory-of-mind, Stories",Is it fair that Mother is mad at Joshua for losing his truck?
ToM-scene4-q3,used,#34D399,core-task-assets,"theory-of-mind, Stories",Is Mother mad at Isabel?
ToM-scene4-q4-false_belief,used,#34D399,core-task-assets,"theory-of-mind, Stories",Is Joshua mad at Isabel?
ToM-scene4-q5,used,#34D399,core-task-assets,"theory-of-mind, Stories",Is Mother mad at Joshua now?
ToM-scene4-q6,used,#34D399,core-task-assets,"theory-of-mind, Stories",Is Mother mad at Isabel now?
ToM-scene4-q7,used,#34D399,core-task-assets,"theory-of-mind, Stories",Is Joshua mad at Isabel now?
ToM-scene4-q8-emotion_reasoning,used,#34D399,core-task-assets,"theory-of-mind, Stories",How would Joshua feel if he found his truck?
ToM-scene5-instruct1,used,#34D399,core-task-assets,"theory-of-mind, Stories","This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf."
ToM-scene5-instruct2,used,#34D399,core-task-assets,"theory-of-mind, Stories","Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”"
ToM-scene5-q1,used,#34D399,core-task-assets,"theory-of-mind, Stories",Which cup will Dad give Katie?
ToM-scene5-q2-reality_check,used,#34D399,core-task-assets,"theory-of-mind, Stories",Which cup does Katie want?
ToM-scene5-q3-emotion_reasoning,used,#34D399,core-task-assets,"theory-of-mind, Stories",How does Katie feel about not getting the cup she wanted?
ToM-scene5-q4-emotion_reasoning,used,#34D399,core-task-assets,"theory-of-mind, Stories",How would Katie feel if she had received the cup she wanted?
ToM-scene6-instruct1,used,#34D399,core-task-assets,"theory-of-mind, Stories","Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away."
ToM-scene6-instruct2,used,#34D399,core-task-assets,"theory-of-mind, Stories","Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” Mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says."
ToM-scene6-instruct3,used,#34D399,core-task-assets,"theory-of-mind, Stories","Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks."
ToM-scene6-instruct4,used,#34D399,core-task-assets,"theory-of-mind, Stories","On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.”<br>“That is nice of you,” says Dad. Then he asks Maria: “Does Sam know what you bought him?”"
ToM-scene6-instruct5,used,#34D399,core-task-assets,"theory-of-mind, Stories",Then Dad asks: “What does Sam think they are selling at the shop?”
ToM-scene6-instruct6,used,#34D399,core-task-assets,"theory-of-mind, Stories",Sam is very happy to get his new socks.
ToM-scene6-q1,used,#34D399,core-task-assets,"theory-of-mind, Stories",Does Maria know that they are selling shoes in the shop?
ToM-scene6-q2,used,#34D399,core-task-assets,"theory-of-mind, Stories",Does Sam know that Maria bought some socks?
ToM-scene6-q3,used,#34D399,core-task-assets,"theory-of-mind, Stories",What does Sam think they are selling at the shop?
ToM-scene6-q4,used,#34D399,core-task-assets,"theory-of-mind, Stories",What does Maria tell Dad?
ToM-scene6-q5,used,#34D399,core-task-assets,"theory-of-mind, Stories",What does Maria tell Dad?
ToM-scene6-q6,used,#34D399,core-task-assets,"theory-of-mind, Stories",What does Sam think they are selling at the shop?
ToM-scene7-instruct1,unused,#F97316,,"theory-of-mind, Stories","Here is Diana. This morning at school, Diana put her toy in this drawer, because she didn’t want anyone to find it."
ToM-scene7-instruct2,unused,#F97316,,"theory-of-mind, Stories","But while Diana was outside, someone did find it! And moved it from inside the drawer, to inside the desk."
ToM-scene7-instruct3,unused,#F97316,,"theory-of-mind, Stories",So now it’s playtime and Diana wants her toy.
ToM-scene7-q1-false_belief,unused,#F97316,,"theory-of-mind, Stories",Where will Diana look for her toy?
ToM-scene7-q2-reality_check,unused,#F97316,,"theory-of-mind, Stories",And where is her toy really?
ToM-scene8-instruct1,unused,#F97316,,"theory-of-mind, Stories","This morning when she came to school, Allie put her yellow pencil on this shelf, above the backpack shelf."
ToM-scene8-instruct2,unused,#F97316,,"theory-of-mind, Stories","And then she went outside to play, see? Here’s Allie playing outside. And while she was outside playing, Allie’s yellow pencil fell down from on top of the shelf to behind the backpack shelf, see?"
ToM-scene8-instruct3,unused,#F97316,,"theory-of-mind, Stories","Then Mike comes in, and Mike puts his pencil above the backpack shelf. Mike’s pencil is also yellow! But Allie is still outside playing, so she didn’t see what Mike was doing."
ToM-scene8-q1-false_belief,unused,#F97316,,"theory-of-mind, Stories","Now, when Allie comes in from outside, where will she look first for her pencil?"
ToM-transition,used,#34D399,core-task-assets,"theory-of-mind, Stories",Nice work! Here is a new story.
