item_id,task,en-US,es-AR,es-CO,de-DE,ar-IL,en-GB,eo-UY,he-IL,nl-NL,pt-BR
ToM-downex1-instruct5-downex,theory-of-mind,That’s a good choice! Rebecca likes the soccer ball best. She doesn’t like the basketball. What she really likes is the soccer ball.,NO APPROVED TRANSLATION,,,,,Tio estas bona elekto! Rebeka plej ŝatas la futbolpilkon. Ŝi ne ŝatas la basketbalon. Kion ŝi vere ŝatas estas la futbolpilko.,,"Dat is een goede keus! Rebecca vindt de voetbal het leukst. De basketbal vindt ze niet leuk. Wat ze echt leuk vindt, is de voetbal.",
ToM-downex1-name1_basketball-r-downex,theory-of-mind,Rebecca likes the basketball best,NO APPROVED TRANSLATION,,,,,Rebecca plej ŝatas la basketbalon,,Rebecca vindt de basketbal het leukst.,
ToM-downex1-name1_soccer_ball-r-downex,theory-of-mind,Rebecca likes the soccer ball best,NO APPROVED TRANSLATION,,,,,Rebecca plej ŝatas la futbalon,,Rebecca vindt de voetbal het leukst.,
ToM-downex1-soccer_ball-r-downex,theory-of-mind,The soccer ball,NO APPROVED TRANSLATION,,,,,La futbolpilko,,De voetbal,
ToM-downex1-test1-q-downex,theory-of-mind,Now it’s time to play. Rebecca can only choose one ball. Which ball will Rebecca choose?,NO APPROVED TRANSLATION,,,,,Nun estas tempo por ludi. Rebeka povas elekti nur unu pilkon. Kiun pilkon elektos Rebeka?,,Nu is het tijd om te spelen. Rebecca mag maar één bal kiezen. Welke bal zal Rebecca kiezen?,
ToM-downex2-cat_shirt-r-downex,theory-of-mind,Shirts with cats,NO APPROVED TRANSLATION,,,,,Ĉemizoj kun katoj,,Shirts met katten erop,
ToM-downex2-control1-q-downex,theory-of-mind,What shirt is Audrey’s favorite?,NO APPROVED TRANSLATION,,,,,Kiu ĉemizo estas la plej ŝatata de Audrey?,,Welk shirt is Audrey's favoriet?,
ToM-downex2-dog_shirt-r-downex,theory-of-mind,Shirts with dogs,NO APPROVED TRANSLATION,,,,,Ĉemizoj kun hundoj,,Shirts met honden erop,
ToM-downex2-emotion1-q-downex,theory-of-mind,How does Audrey feel about wearing the shirt with dogs?,NO APPROVED TRANSLATION,,,,,Kiel Audrey sentas portante la ĉemizon kun hundoj?,,Hoe voelt Audrey zich over het dragen van een shirt met honden erop?,
ToM-downex2-explanation1-q-downex,theory-of-mind,"Let’s see what happens… Mike says, “I will not wear that shirt!” Why does Mike say that?",NO APPROVED TRANSLATION,,,,,"Ni vidu kio okazas… Mike diras, “Mi ne portos tiun ĉemizon!” Kial Mike diras tion?",,"Laten we eens kijken wat er gebeurt… Mike zegt: ""Ik ga dat shirt niet dragen!"" Waarom zegt Mike dat?",
ToM-downex2-instruct1-downex,theory-of-mind,This is Mike. And this is Audrey.,NO APPROVED TRANSLATION,,,,,Jen Mike. Kaj jen Audrey.,,Dit is Mike. En dit is Audrey.,
ToM-downex2-instruct2-downex,theory-of-mind,Mike and Audrey are going to pick some shirts to wear.,NO APPROVED TRANSLATION,,,,,Miko kaj Audrey iras elekti kelkajn ĉemizojn por porti.,,Mike en Audrey gaan wat shirts kiezen om te dragen.,
ToM-downex2-instruct3-downex,theory-of-mind,Mike really likes shirts with cats but Audrey really likes shirts with dogs.,NO APPROVED TRANSLATION,,,,,Migelo vere ŝatas ĉemizojn kun katoj sed Audrey vere ŝatas ĉemizojn kun hundoj.,,"Mike houdt erg van shirts met katten erop, maar Audrey houdt erg van shirts met honden erop.",
ToM-downex2-name1-r-downex,theory-of-mind,Mike,NO APPROVED TRANSLATION,,,,,Mike,,Mike,
ToM-downex2-name1_cat_shirt-r-downex,theory-of-mind,Mike does not like shirts with cats,NO APPROVED TRANSLATION,,,,,Mike ne ŝatas ĉemizojn kun katoj,,Mike houdt niet van shirts met katten erop.,
ToM-downex2-name1_dog_shirt-r-downex,theory-of-mind,Mike does not like shirts with dogs,NO APPROVED TRANSLATION,,,,,Mike ne ŝatas ĉemizojn kun hundoj,,Mike houdt niet van shirts met honden erop.,
ToM-downex2-name2-r-downex,theory-of-mind,Audrey,NO APPROVED TRANSLATION,,,,,Audrey,,Audrey,
ToM-downex2-test1-q-downex,theory-of-mind,"When they look in the closet, they see a shirt with dogs. Who says, “My favorite!”?",NO APPROVED TRANSLATION,,,,,"Kiam ili rigardas en la ŝranko, ili vidas ĉemizon kun hundoj. Kiu diras, “Mia ŝatata!”?",,"Als ze in de kast kijken, zien ze een shirt met honden erop. Wie zegt er dan: ""Mijn favoriet!""?",
ToM-downex3-bed-r-downex,theory-of-mind,On the bed,NO APPROVED TRANSLATION,,,,,Sur la lito,,Op het bed,
ToM-downex3-control1-q-downex,theory-of-mind,Where did you say the book was?,NO APPROVED TRANSLATION,,,,,"Kie vi diris, ke la libro estis?",,Waar zei je ook alweer dat het boek was?,
ToM-downex3-explanation1-q-downex,theory-of-mind,Oh look! Heidi is looking for her book on the table. Why is Heidi looking there?,NO APPROVED TRANSLATION,,,,,Ho rigardu! Heidi serĉas sian libron sur la tablo. Kial Heidi serĉas tie?,,Kijk eens! Heidi zoekt haar boek op tafel. Waarom zoekt Heidi daar?,
ToM-downex3-explanation2-q-downex,theory-of-mind,Oh look! Heidi is looking for her book on the bed. Why is Heidi looking there?,NO APPROVED TRANSLATION,,,,,"Ho, rigardu! Heidi serĉas sian libron sur la lito. Kial Heidi serĉas tie?",,Kijk eens! Heidi zoekt haar boek op het bed. Waarom zoekt Heidi daar?,
ToM-downex3-instruct1-downex,theory-of-mind,Here is Heidi.,NO APPROVED TRANSLATION,,,,,Jen Heidi.,,Hier is Heidi. Heidi is haar boek kwijt en is ernaar op zoek.,
ToM-downex3-instruct2-downex,theory-of-mind,Here is Heidi's bedroom. There is a table and a bed.,NO APPROVED TRANSLATION,,,,,Jen la dormoĉambro de Heidi. Estas tablo kaj lito.,,Dit is Heidi's slaapkamer. Er staat een tafel en een bed.,
ToM-downex3-instruct3-downex,theory-of-mind,"Heidi lost her book and is looking for it. Her book might be on the bed, or it might be on the table.",NO APPROVED TRANSLATION,,,,,"Heidi perdis sian libron kaj serĉas ĝin. Ŝia libro eble estas sur la lito, aŭ eble sur la tablo.",,"Heidi is haar boek kwijt en is ernaar op zoek. Het boek ligt misschien op het bed, of misschien op de tafel.",
ToM-downex3-instruct4-downex,theory-of-mind,That’s a good idea! Heidi thinks her book is on the table. She doesn’t think her book is on the bed. She thinks her book is on the table.,NO APPROVED TRANSLATION,,,,,Tio estas bona ideo! Heidi pensas ke ŝia libro estas sur la tablo. Ŝi ne pensas ke ŝia libro estas sur la lito. Ŝi pensas ke ŝia libro estas sur la tablo.,,Dat is een goed idee! Heidi denkt dat haar boek op tafel ligt. Ze denkt niet dat haar boek op het bed ligt. Ze denkt dat haar boek op tafel ligt.,
ToM-downex3-instruct4-q-downex,theory-of-mind,Where do you think the book is?,NO APPROVED TRANSLATION,,,,,Kie vi pensas ke la libro estas?,,Waar denk je dat het boek is?,
ToM-downex3-instruct5-downex,theory-of-mind,"That's a good idea! Let's see what Heidi is thinking. This picture shows you what she is thinking in her head. She thinks her book is on the table, NOT on the bed.",NO APPROVED TRANSLATION,,,,,"Tio estas bona ideo! Ni vidu, kion Heidi pensas. Ĉi tiu bildo montras, kion ŝi pensas interne. Ŝi kredas, ke ŝia libro estas sur la tablo, NE sur la lito.",,"Dat is een goed idee! Laten we kijken wat Heidi denkt. Dit plaatje laat zien wat ze denkt in haar hoofd. Ze denkt dat haar boek op tafel ligt, NIET op het bed.",
ToM-downex3-instruct6-downex,theory-of-mind,"That’s a good idea! Let's see what Heidi is thinking. This picture shows you what she is thinking in her head. She thinks her book is on the bed, NOT on the table.",NO APPROVED TRANSLATION,,,,,"Tio estas bona ideo! Ni vidu, kion Heidi pensas. Ĉi tiu bildo montras kion ŝi pensas en sia kapo. Ŝi pensas, ke ŝia libro estas sur la lito, NE sur la tablo.",,"Dat is een goed idee! Laten we kijken wat Heidi denkt. Dit plaatje laat zien wat ze denkt in haar hoofd. Ze denkt dat haar boek op het bed ligt, NIET op de tafel.",
ToM-downex3-name1_bed-r-downex,theory-of-mind,Heidi thinks the book is on the bed,NO APPROVED TRANSLATION,,,,,"Heidi pensis, ke la libro estas sur la lito",,Heidi denkt dat het boek op het bed ligt.,
ToM-downex3-name1_table-r-downex,theory-of-mind,Heidi thinks the book is on the table,NO APPROVED TRANSLATION,,,,,Heidi pensas ke la libro estas sur la tablo,,Heidi denkt dat het boek op tafel ligt.,
ToM-downex3-table-r-downex,theory-of-mind,On the table,En la mesa,,,,,Sur la tablo,,Op tafel,
ToM-downex3-test1-q-downex,theory-of-mind,So where will Heidi look for her book?,NO APPROVED TRANSLATION,,,,,Do kie Heidi serĉos sian libron?,,Dus waar zal Heidi haar boek zoeken?,
ToM-downex4-control1-q-downex,theory-of-mind,Where did Ben think their bunny was hiding?,NO APPROVED TRANSLATION,,,,,"Kie Ben pensis, ke ilia kuniklo kaŝiĝis?",,Waar dacht Ben dat hun konijn zich verstopte?,
ToM-downex4-explanation1-downex,theory-of-mind,"Let’s see what happens. Amy says, “Yay! I’m right!”",NO APPROVED TRANSLATION,,,,,"Ni vidu kio okazas. Amy diras, “Hura! Mi pravas!”",,"Laten we eens kijken wat er gebeurt. Amy zegt: ""Joepie! Ik had gelijk!""",
ToM-downex4-explanation2-q-downex,theory-of-mind,Why does Amy say that?,NO APPROVED TRANSLATION,,,,,Kial Amy diris tion?,,Waarom zegt Amy dat?,
ToM-downex4-instruct1-downex,theory-of-mind,"This is Amy, and this is Ben. Amy and Ben are looking for their bunny.",NO APPROVED TRANSLATION,,,,,Jen Amy kaj Ben. Amy kaj Ben serĉas sian kuniklon.,,"Dit is Amy, en dit is Ben. Amy en Ben zijn op zoek naar hun konijn.",
ToM-downex4-instruct2-downex,theory-of-mind,Let's see what Amy and Ben think. This picture shows what Amy and Ben are thinking. Amy thinks their bunny is hiding in the bushes. But Ben thinks their bunny is hiding in the house.,NO APPROVED TRANSLATION,,,,,"Ni vidu, kion Amy kaj Ben pensis. Ĉi tiu bildo montras, kion pensis Amy kaj Ben. Amy pensis, ke ilia kuniklo kaŝiĝas en la arbetoj. Sed Ben pensis, ke ilia kuniklo kaŝiĝas en la domo.",,Laten we eens kijken wat Amy en Ben denken. Deze afbeelding laat zien wat Amy en Ben denken. Amy denkt dat hun konijn zich in de struiken verstopt. Maar Ben denkt dat hun konijn zich in huis verstopt.,
ToM-downex4-instruct3-downex,theory-of-mind,"When they go outside, they see their bunny in the bushes!",NO APPROVED TRANSLATION,,,,,"Kiam ili eliras, ili vidas sian kuniklon en la arbetoj!",,"Als ze naar buiten gaan, zien ze hun konijn in de struiken!",
ToM-downex4-name1-r-downex,theory-of-mind,Amy,NO APPROVED TRANSLATION,,,,,Amy,,Amy,
ToM-downex4-name1_bushes-r-downex,theory-of-mind,Amy thought the bunny was hiding in the bushes,NO APPROVED TRANSLATION,,,,,Amy pensis ke la kuniklo kaŝiĝis en la arbustoj,,Amy dacht dat het konijn zich in de struiken verstopte.,
ToM-downex4-name1_house-r-downex,theory-of-mind,Amy thought the bunny was hiding in the house,NO APPROVED TRANSLATION,,,,,Amy pensis ke la kuniklo kaŝiĝis en la domo,,Amy dacht dat het konijn zich in huis verstopte.,
ToM-downex4-name2-r-downex,theory-of-mind,Ben,NO APPROVED TRANSLATION,,,,,Ben,,Ben,
ToM-downex4-name2_bushes-r-downex,theory-of-mind,Ben thought the bunny was hiding in the bushes,NO APPROVED TRANSLATION,,,,,"Ben pensis, ke la kuniklo kaŝiĝas en la arbetoj.",,Ben dacht dat het konijn zich in de struiken verstopte.,
ToM-downex4-name2_house-r-downex,theory-of-mind,Ben thought the bunny was hiding in the house,NO APPROVED TRANSLATION,,,,,Ben pensis ke la kuniklo kaŝiĝis en la domo,,Ben dacht dat het konijn zich in huis verstopte.,
ToM-downex4-test1-q-downex,theory-of-mind,"Who says, ‘I’m right!’ when they see their bunny?",NO APPROVED TRANSLATION,,,,,"Kiu diris, 'Mi pravas!' kiam ili vidas sian kuniklon?",,Wie zegt: “Ik heb gelijk!” als ze hun konijn zien?,
ToM-downex5-control1-q-downex,theory-of-mind,Which person is taller?,NO APPROVED TRANSLATION,,,,,Kiu persono estas pli alta?,,Wie is langer?,
ToM-downex5-explanation1-downex,theory-of-mind,"Let's see what happens... Serena says, ""Hey Victor! What's going on in the park today?""",NO APPROVED TRANSLATION,,,,,"Ni vidu kio okazas... Serena diras, ""Hej Victor! Kio okazas en la parko hodiaŭ?""",,"Laten we eens kijken wat er gebeurt... Serena zegt: ""Hé Victor! Wat is er vandaag allemaal te doen in het park?""",
ToM-downex5-explanation2-q-downex,theory-of-mind,Why does Serena say that?,NO APPROVED TRANSLATION,,,,,Kial Serena diras tion?,,Waarom zegt Serena dat?,
ToM-downex5-instruct1-downex,theory-of-mind,"Here's a big tall wall. We're on this side of the wall, see?",NO APPROVED TRANSLATION,,,,,"Jen granda alta muro. Ni estas ĉi tiu flanko de la muro, ĉu vi vidas?",,"Hier is een grote, hoge muur. Wij staan aan deze kant van de muur, zie je?",
ToM-downex5-instruct2-downex,theory-of-mind,"On the other side of the wall, there's a park. There's something really special happening in the park today. Let's try to find out what's happening!",NO APPROVED TRANSLATION,,,,,"Ĉe la alia flanko de la muro estas parko. Io vere speciala okazas en la parko hodiaŭ. Ni provu ekscii, kio okazas!",,Aan de andere kant van de muur ligt een park. Er gebeurt vandaag iets heel bijzonders in het park. Laten we eens kijken wat er aan de hand is!,
ToM-downex5-instruct3-downex,theory-of-mind,"And look! Here come two people, Victor and Serena.",NO APPROVED TRANSLATION,,,,,"Kaj rigardu! Jen venas du homoj, Victor kaj Serena.",,"En kijk! Daar komen twee mensen aan, Victor en Serena.",
ToM-downex5-name1-r-downex,theory-of-mind,Victor,NO APPROVED TRANSLATION,,,,,Victor,,Victor,
ToM-downex5-name1_wall-r-downex,theory-of-mind,Because Victor can see over the wall,NO APPROVED TRANSLATION,,,,,Ĉar Victor povas vidi trans la muro,,Omdat Victor over de muur heen kan kijken.,
ToM-downex5-name2-r-downex,theory-of-mind,Serena,NO APPROVED TRANSLATION,,,,,Serena,,Serena,
ToM-downex5-name2_wall-r-downex,theory-of-mind,Because Serena can see over the wall,NO APPROVED TRANSLATION,,,,,Ĉar Serena povas vidi preter la muro,,Omdat Serena over de muur heen kan kijken.,
ToM-downex5-test1-q-downex,theory-of-mind,Who should we ask to find out what's happening on the other side of the wall? Victor or Serena?,NO APPROVED TRANSLATION,,,,,Kiun ni devus demandi por ekscii kio okazas ĉe la alia flanko de la muro? Victor aŭ Serena?,,Wie moeten we vragen wat er aan de andere kant van de muur gebeurt? Victor of Serena?,
ToM-downex6-control1-q-downex,theory-of-mind,Where is the other pencil?,NO APPROVED TRANSLATION,,,,,Kie estas la alia krajono?,,Waar is het andere potlood?,
