Identifier,Labels,Translation
trog-item-17,trog,le garçon ne fonctionne pas
trog-item-18,trog,le chien ne boit pas
trog-item-19,trog,la fille ne saute pas
trog-item-20,trog,le chien n'est pas assis
trog-item-21,trog,le garçon saute au-dessus de la boîte
trog-item-22,trog,la fille est assise sur la table
trog-item-23,trog,l'homme mange la pomme
trog-item-24,trog,la dame porte le sac
trog-item-25,trog,ils sont assis sur la table
trog-item-26,trog,la vache les regarde
trog-item-27,trog,ils sautent par-dessus le mur
trog-item-28,trog,l'éléphant les porte
trog-item-29,trog,la fille pousse le cheval
trog-item-30,trog,le garçon chasse les moutons
trog-item-31,trog,l'homme traque le chien
trog-item-32,trog,la vache pousse la dame
trog-item-33,trog,elle est assise sur la chaise
trog-item-34,trog,la dame le porte
trog-item-35,trog,il est assis dans l'arbre
trog-item-36,trog,le cheval la regarde
trog-item-37,trog,les chats regardent la boule
trog-item-38,trog,le garçon se tient sur les chaises
trog-item-39,trog,les garçons choisissent les pommes
trog-item-40,trog,la fille lâche les tasses
trog-item-41,trog,la fourche est plus longue que le crayon
trog-item-42,trog,la boîte est plus grande que la tasse
trog-item-43,trog,la chaussure est plus grande que l'oiseau
trog-item-44,trog,le cheval est plus grand que le mur
trog-item-45,trog,la fille est chassée par le cheval
trog-item-46,trog,l'éléphant est poussé par le garçon
trog-item-47,trog,le cheval est chassé par l'homme
trog-item-48,trog,la vache est poussée par l'homme
trog-item-49,trog,le gobelet est dans la boîte
trog-item-50,trog,le crayon est sur la boîte
trog-item-51,trog,le cercle est dans l'étoile
trog-item-52,trog,la fourchette est à la chaussure
trog-item-53,trog,le garçon poursuivant le cheval est grand
trog-item-54,trog,le crayon sur la chaussure est bleu
trog-item-55,trog,la vache chassant le chat est brun
trog-item-56,trog,le cercle dans l'étoile est jaune
trog-item-57,trog,la boîte mais pas la chaise est rouge
trog-item-58,trog,le chat est grand mais pas noir
trog-item-59,trog,le cheval mais pas le garçon est debout
trog-item-60,trog,le garçon est assis mais ne mange pas
trog-item-61,trog,le crayon est au-dessus de la fleur
trog-item-62,trog,le peigne est sous la cuillère
trog-item-63,trog,l'étoile est au-dessus du cercle
trog-item-64,trog,le carré est en dessous de l'étoile
trog-item-65,trog,non seulement l'oiseau mais aussi la fleur est bleue
trog-item-66,trog,"la boîte est non seulement grande, mais aussi bleue"
trog-item-67,trog,"non seulement la fille, mais aussi le chat est assis"
trog-item-68,trog,"la fille a non seulement de la nourriture, mais aussi une boisson"
trog-item-69,trog,le crayon est sur le livre jaune
trog-item-70,trog,la fille traque le chien qui est grand
trog-item-71,trog,le carré est dans l'étoile bleue
trog-item-72,trog,le chien poursuit le cheval qui est brun
trog-item-73,trog,ni le chien ni la boule ne sont bruns
trog-item-74,trog,le crayon n'est ni long ni rouge
trog-item-75,trog,ni le garçon ni le cheval ne courent
trog-item-76,trog,le garçon n'a ni chapeau ni chaussures
trog-item-77,trog,le livre sur lequel le crayon est est rouge
trog-item-78,trog,le chat que la vache chase est noir
trog-item-79,trog,le cercle dans lequel se trouve l'étoile est rouge
trog-item-80,trog,le garçon que le chien chasse est grand
trog-item-81,trog,le cheval buvait de l'eau près de la grange et le mouton mangeait de l'herbe par la clôture
trog-item-82,trog,l'élève a ouvert le bloc-notes et dessiné un arbre
trog-item-83,trog,nous aurons un pique-nique dans le parc si c'est ensoleillé
trog-item-84,trog,il a trouvé ses clés sous le canapé avec les oreillers
trog-item-85,trog,elle est le jardinier qui porte le chapeau qui a une fleur
trog-item-86,trog,Elle se glissa sur un rocher et lâcha ses livres.
trog-item-87,trog,L'enseignant donnera aux élèves un gâteau s'ils se tiennent dans une ligne.
trog-item-88,trog,Nous danserons ensemble s'il y a de la musique.
trog-item-89,trog,"Bien qu'il soit chaud à l'extérieur, je porte une veste avec une capuche."
trog-item-90,trog,"Il aime la natation, cependant, il a choisi de jouer au football avec ses amis."
trog-item-91,trog,"Malgré le bruit dans la salle de classe, elle s'est concentrée sur la lecture de son cahier."
trog-item-92,trog,Il portait le chapeau du clown malgré sa grande taille.
trog-item-93,trog,Le canard qui suit la tortue se promène sur le pont.
trog-item-94,trog,"En poussant la table avec mon pied, un livre a chuté."
trog-item-95,trog,La personne traque le chien qui est grand.
trog-item-96,trog,La jeune fille portant un sac à dos a reçu un stylo par son ami.
trog-item-97,trog,"Les enfants ont nettoyé la chambre, mais ils ont oublié de ranger le train."
trog-item-98,trog,Le singe n'a ni mangé la banane tachetée ni basculé sur la vigne.
trog-item-99,trog,"Sa mère a dit que ce serait du soleil, mais il a beaucoup pleuré."
trog-item-100,trog,Le plan qui est gris est au-dessus des nuages.
trog-item-101,trog,Le poisson nage sous une baleine et une tortue de mer.
trog-item-102,trog,La voiture que le camion a suivie se dirige vers le tunnel.
trog-item-103,trog,"Au lieu de faire des devoirs, elle a fait un puzzle dans sa chambre."
ToM-scene1-instruct1,theory-of-mind,"Voici Madison : ce matin, Madison a mis son livre derrière la chaise, parce qu’elle ne voulait pas que quelqu’un le trouve. "
ToM-scene1-instruct2,theory-of-mind,"Mais quand Madison était en dehors de jouer, quelqu'un l'a trouvé, et l'a caché sous le tapis. "
ToM-scene1-instruct3,theory-of-mind,Il est maintenant temps de lire et Madison veut son livre.
ToM-scene1-q1-false_belief,theory-of-mind,Comment Madison va-t-elle chercher son livre en premier?
ToM-scene1-q2-reality_check,theory-of-mind,Et où est vraiment son livre ?
ToM-scene1-q3-emotion_reasoning,theory-of-mind,"« Regardez, Madison a trouvé son livre! Que pensez-vous qu'elle a envie de trouver son livre? »"
ToM-scene2-instruct1,theory-of-mind,"Ce matin, quand il est venu à l'école, Ethan a mis son livre au-dessus des crochets de manteau, le livre d'Ethan est bleu! "
ToM-scene2-instruct2,theory-of-mind,"Et puis il est sorti pour jouer, voir? Voici Ethan jouer dehors. Et alors qu’il était en dehors du jeu, le livre d’Ethan est tombé du haut des crochets à derrière les manteaux, voyez-vous? "
ToM-scene2-instruct3,theory-of-mind,"Puis Paul entre et Paul met son livre ici, au-dessus des crochets de manteau. Le livre de Paul est aussi bleu! Ethan est encore en dehors de jouer, donc il ne voyait pas ce que Paul faisait."
ToM-scene2-q1-false_belief,theory-of-mind,"Maintenant, quand Ethan viendra de l'extérieur, où va-t-il chercher son livre : sur l'étagère ou derrière les manteaux?"
ToM-scene2-instruct4,theory-of-mind,"Voyons ce qu'il fait. Oh, regardez, voici Ethan pour atteindre ce livre sur l'étagère. Et maintenant, Paul voit Ethan chercher ce livre, le livre que Paul pense qu'il est le sien!"
shelf,theory-of-mind,sur l'étagère
coats,theory-of-mind,derrière les manteaux
ToM-scene2-q2-emotion_reasoning,theory-of-mind,Que pensez-vous que Paul se sent à l'idée qu'Ethan parvienne à ce livre? 
ToM-scene2-q3-false_belief,theory-of-mind,Ethan est-il méchant et méchant d'avoir pris le livre de Paul?
ToM-scene2-q4-false_belief,theory-of-mind,Ethan devrait-il se mettre en difficulté avec le professeur pour avoir pris le livre de Paul?
ToM-scene2-q5-reality_check,theory-of-mind,Pouvez-vous aider Paul à trouver son livre? Est-ce sur l'étagère ou derrière les manteaux?
ToM-scene2-q6-reality_check,theory-of-mind,Pouvez-vous aider Ethan à trouver son livre ?
ToM-scene3-instruct1,theory-of-mind,"Joshua, Isabel et Ivan jouent à un jeu. Voici comment se déroule le jeu: un enfant se cache, mais dessine un indice dans le bac à sable pour que les autres enfants puissent les trouver. "
ToM-scene3-instruct2,theory-of-mind,"Ivan va donc en premier. Il dessine cet indice dans le bac à sable, puis il va se cacher. "
ToM-scene3-instruct3,theory-of-mind,C'est maintenant au tour de Josué de laisser un indice et de se cacher. Isabel et Ivan essaieront alors d'utiliser l'indice pour le trouver.
ToM-scene3-instruct4,theory-of-mind,"Joshua décide de se cacher derrière la fontaine de consommation. Il dessine donc un indice comme celui-ci : voici la partie métallique inférieure de la fontaine, et ici il y a beaucoup d'eau qui en sorte. Alors Joshua va se cacher derrière la fontaine."
ToM-scene3-q1,theory-of-mind,Que voulait dire Josué pour dessiner? Une fontaine ou un arbre?
ToM-scene3-q2-false_belief,theory-of-mind,"Quand Isabel et Ivan verront cet indice, où chercheront-ils d'abord Josué ?"
ToM-scene3-q2-reality_check,theory-of-mind,Pouvez-vous les aider à trouver où se trouve Joshua ? Derrière la fontaine ou derrière l'arbre?
ToM-scene3-q3-emotion_reasoning,theory-of-mind,"Regardez, Isabel et Ivan ont trouvé Joshua et gagné le jeu! Que pensez-vous d'Isabel pour gagner le jeu?"
ToM-scene4-instruct1,theory-of-mind,"Maintenant les jeux sont terminés, et il est presque temps de rentrer chez vous, la mère dit aux enfants de trouver tous leurs jouets. "
ToM-scene4-instruct2,theory-of-mind,"Joshua a amené son camion de jouets avec lui dans le parc, mais maintenant il ne peut pas le trouver. Il regarde partout, mais il ne le trouve pas. "
ToM-scene4-q1-emotion_reasoning,theory-of-mind,Que pense Joshua de la perte de son camion?
ToM-scene4-instruct3,theory-of-mind,"Et c’est parce que, plus tôt dans la journée, alors que personne ne regardait, Isabel a pris le camion de jouets et l’a enterré dans le bac à sable. "
ToM-scene4-instruct4,theory-of-mind,Joshua regarde donc partout et il ne peut pas trouver son camion de jouets.
ToM-scene4-q2,theory-of-mind,Est-il juste que Mère soit fou à Joshua pour avoir perdu son camion ? Oui ou non?
ToM-scene4-q3,theory-of-mind,La mère est-elle fou à Isabel? Oui ou non?
ToM-scene4-q4-false_belief,theory-of-mind,Josué est-il fou à Isabel? Oui ou non?
ToM-scene4-instruct5,theory-of-mind,"Quand Isabel voit que la mère est fou à Josué, Elle va au bac à sable et creuse le camion de jouets, et le renvoie à Joshua."
ToM-scene4-q5,theory-of-mind,La mère est-elle fou à Josué maintenant? Oui ou non?
ToM-scene4-q6,theory-of-mind,La mère est-elle fou à Isabel maintenant? Oui ou non?
ToM-scene4-q7,theory-of-mind,Josué est-il fou à Isabel maintenant? Oui ou non?
ToM-scene4-instruct6,theory-of-mind,"Isabel dit à Joshua qu’elle est très désolée, et elle lui donne un gros câlin, Joshua lui redonne un gros câlin et Mère y rejoint."
ToM-scene5-instruct1,theory-of-mind,"C’est Marie, et plus tôt aujourd’hui, la mère de Marie nettoyait la maison, tandis que Marie regardait la maman laissait trois tasses dans la cuisine."
ToM-scene5-instruct2,theory-of-mind,"Il y a cette petite tasse sur le comptoir, cette tasse de taille moyenne sur cette table, et cette grande tasse sur cette étagère. Marie et Papa ont donc fait une petite entrée et Marie demande à son père de lui donner une tasse. Et Marie lui dit : « Je veux la grosse tasse! »"
ToM-scene5-q1,theory-of-mind,Quelle tasse papa donnera-t-elle à Marie ?
ToM-scene5-q2-reality_check,theory-of-mind,Quelle coupe veut Marie ?
ToM-scene6-instruct1,theory-of-mind,"Sam et Maria jouent ensemble, ils regardent dehors et voient un nouveau magasin de l'autre côté de la rue. Maria dit à Sam : « Je vais acheter de nouvelles chemises pour nous là-bas », et elle s’éloigne."
ToM-scene6-instruct2,theory-of-mind,"La mère rentre chez elle et elle dit à Sam qu'elle vient de marcher près de la boutique. « S'agit-il de vendre des chemises ? » demande Sam. « Non », dit la maman, « Ils ne vendent que des chaussures », « Maria va probablement maintenant obtenir des chaussures dans le magasin », dit Sam."
ToM-scene6-q1,theory-of-mind,Maria sait-elle qu'ils vendent des chaussures dans le magasin?
ToM-scene6-instruct3,theory-of-mind,"Maria est arrivée à la boutique. « Je voudrais acheter des chemises », dit-elle. « Il ne nous reste plus que des chaussettes », dit le marchand. Comme Maria a aussi besoin de chaussettes, elle décide de se procurer des chaussettes."
ToM-scene6-q2,theory-of-mind,Sam sait-il que Maria a acheté des chaussettes?
ToM-scene6-q3,theory-of-mind,Qu'est-ce que Sam pense qu'ils vendent dans la boutique?
ToM-scene6-instruct4,theory-of-mind,"A son retour, Maria rencontre son papa et lui dit : « Je viens d’acheter des chaussettes. Je vais les partager avec mon frère Sam. C’est une surprise. »
« C’est gentil de vous », dit mon père. Puis il demande à Maria: « Sam saurait-il ce que vous l’avez acheté ? »"
ToM-scene6-q4,theory-of-mind,Que dit Maria papa?
ToM-scene6-instruct5,theory-of-mind,Puis papa demande : « Qu'est-ce que Sam pense qu'ils vendent dans le magasin? »
ToM-scene6-q5,theory-of-mind,Que dit Maria papa?
ToM-scene6-q6,theory-of-mind,Qu'est-ce que Sam pense qu'ils vendent dans la boutique?
hostile-attribution-scene1-instruct1,hostile-attribution,Imaginez que vous marchez jusqu'à l'école et que vous portez vos nouvelles chaussures. Vous aimez vraiment vos nouvelles chaussures et c'est le premier jour que vous les avez portées.
hostile-attribution-scene1-instruct2,hostile-attribution,Vous tombez dans une flaque de boue et vos nouvelles chaussures se bouillonnent.
hostile-attribution-scene1-q1,hostile-attribution,Pensez-vous que le garçon vous a caressé à dessein ou par accident?
hostile-attribution-scene1-q2,hostile-attribution,"Maintenant, choisissez l'un des trois choix comme celui que vous feriez :"
hostile-attribution-scene1-q2-ans1,hostile-attribution,nettoyer mes chaussures
hostile-attribution-scene1-q2-ans2,hostile-attribution,s'éloigner du garçon
hostile-attribution-scene1-q2-ans3,hostile-attribution,pousser le garçon dans la boue
hostile-attribution-scene2-instruct1,hostile-attribution,"Imaginez que vous êtes sur le terrain de jeu, vous et d'autres enfants faites une course. Un garçon est debout sur le côté, rebondissant un basket-ball."
hostile-attribution-scene2-instruct2,hostile-attribution,"La prochaine chose que vous savez est que le garçon a renversé le ballon et il a roulé sous vos pieds, vous faisant tomber. Vous dépeignez votre genou et quelqu'un d'autre gagne la course."
hostile-attribution-scene2-q1,hostile-attribution,Pensez-vous que le garçon vous a fait tomber à dessein ou par accident?
hostile-attribution-scene2-q2,hostile-attribution,"Maintenant, choisissez l'un des trois choix comme celui que vous feriez :"
hostile-attribution-scene2-q2-ans1,hostile-attribution,aller dans une autre zone du terrain de jeu
hostile-attribution-scene2-q2-ans2,hostile-attribution,lui dire quelque chose de significatif
hostile-attribution-scene2-q2-ans3,hostile-attribution,prendre soin de mon genou
hostile-attribution-scene3-instruct1,hostile-attribution,Imaginez que vous travaillez sur une tâche à votre bureau. 
hostile-attribution-scene3-instruct2,hostile-attribution,"Vous allez aiguiser votre crayon, et en revenant à votre bureau, un garçon marche juste devant vous. Le garçon passe votre bureau avant de vous y rendre. "
hostile-attribution-scene3-instruct3,hostile-attribution,"La prochaine chose que vous connaissez, le garçon a fait tomber tous vos papiers de votre bureau, et ils sont tous sur le sol."
hostile-attribution-scene3-q1,hostile-attribution,Pensez-vous que le garçon a fait tomber vos papiers sur le sol à dessein ou par accident?
hostile-attribution-scene3-q2,hostile-attribution,"Maintenant, choisissez l'un des trois choix comme celui que vous feriez :"
hostile-attribution-scene3-q2-ans1,hostile-attribution,appelez lui un nom
hostile-attribution-scene3-q2-ans2,hostile-attribution,ramasser les papiers
hostile-attribution-scene3-q2-ans3,hostile-attribution,ne rien faire
same-different-selection-touch-circle,same-different-selection,Choisissez l'image avec un cercle.
same-different-selection-touch-square,same-different-selection,Choisissez la photo avec un carré.
same-different-selection-touch-triangle,same-different-selection,Choisissez l'image avec un triangle.
same-different-selection-touch-green,same-different-selection,Choisissez la photo avec une forme verte.
same-different-selection-touch-red,same-different-selection,Choisissez l'image avec une forme rouge.
same-different-selection-touch-blue,same-different-selection,Choisissez l'image avec une forme bleue.
same-different-selection-touch-small,same-different-selection,Choisissez la photo avec une petite forme.
same-different-selection-touch-medium,same-different-selection,Choisissez une image de taille moyenne.
same-different-selection-touch-large,same-different-selection,Choisissez la photo avec une grande forme.
same-different-selection-both-circles,same-different-selection,Voici deux formes. Quelque chose est le même. Ce sont les deux cercles.
same-different-selection-both-squares,same-different-selection,Voici deux formes. Quelque chose est le même. Ce sont deux carrés.
same-different-selection-both-triangles,same-different-selection,Voici deux formes. Quelque chose est le même. Ce sont les deux triangles.
same-different-selection-both-red,same-different-selection,Voici deux formes. Quelque chose est le même. Ils sont tous deux rouges.
same-different-selection-both-green,same-different-selection,Voici deux formes. Quelque chose est le même. Ils sont tous deux verts.
same-different-selection-both-blue,same-different-selection,Voici deux formes. Quelque chose est le même. Ils sont tous deux bleus.
same-different-selection-both-small,same-different-selection,Voici deux formes. Quelque chose est pareil. Ils sont tous deux petits.
same-different-selection-both-medium,same-different-selection,Voici deux formes. Quelque chose est le même. Ils sont tous deux de taille moyenne.
same-different-selection-both-large,same-different-selection,"Voici deux images. Quelque chose de pareil, les deux sont grandes."
sds-prompt3,same-different-selection,Voici une autre image. Laquelle de ces images est la même que celle-ci?
sds-2match-prompt1,same-different-selection,Choisissez deux images qui sont les mêmes.
sds-2match-prompt2,same-different-selection,Choisissez deux images qui sont les mêmes d'une manière différente.
sds-3match-prompt1,same-different-selection,Choisissez trois images qui sont les mêmes.
sds-3match-prompt2,same-different-selection,Choisissez trois images qui sont les mêmes d'une manière différente.
sds-3unique-prompt1,same-different-selection,Choisissez trois images qui sont les mêmes d'une seule manière.
sds-3unique-prompt2,same-different-selection,Choisissez trois autres images qui sont les mêmes d'une seule manière.
memory-game-instruct1,memory-game,Voici le jeu de mémoire. Voici comment vous y jouez.
memory-game-instruct2,memory-game,Vous verrez des carrés s'illuminer.
memory-game-instruct3,memory-game,Vous allez toucher les carrés dans le même ordre.
memory-game-instruct4,memory-game,Attention ! Essayez de mémoriser la commande.
memory-game-prompt1,memory-game,Il est temps de regarder !
memory-game-forward-prompt,memory-game,Choisissez les carrés dans le même ordre.
memory-game-instruct5,memory-game,"Cette fois, le jeu ne vous dira pas si vous avez raison ou tort."
memory-game-instruct6,memory-game,"Si vous faites une erreur, continuez !"
memory-game-instruct7,memory-game,Commençons à jouer au jeu de mémoire !
memory-game-backward-prompt,memory-game,Choisissez les carrés dans l'ordre arrière.
heart-instruct1,hearts-and-flowers,C'est le jeu de cœur. Voici comment tu joues.
heart-instruct2,hearts-and-flowers,"Quand vous voyez un <b>cœur</b>, appuyez sur le bouton du côté <b>du même</b>."
hearts-and-flowers-try-again,hearts-and-flowers,Ce n'est pas correct. Réessayez.
heart-practice-feedback1,hearts-and-flowers,Le cœur est sur le côté droit. Appuyez sur le bouton droit.
hearts-and-flowers-practice-time,hearts-and-flowers,Il est temps de pratiquer !
heart-practice-feedback2,hearts-and-flowers,"Rappelez-vous ! Quand vous voyez un Cœur, appuyez sur le bouton du côté SAME."
hearts-and-flowers-instruct1,hearts-and-flowers,"Cette fois, le jeu va aller plus vite. Il ne vous dira pas si vous avez raison ou mal."
hearts-and-flowers-instruct2,hearts-and-flowers,Essayez de répondre aussi vite que possible sans faire d'erreurs.
hearts-and-flowers-play-time,hearts-and-flowers,Il est temps de jouer !
flower-instruct1,hearts-and-flowers,Voici le jeu de fleurs. Voici comment tu joues.
flower-instruct2,hearts-and-flowers,"Lorsque vous voyez une fleur, appuyez sur le bouton du côté opposé."
flower-practice-feedback1,hearts-and-flowers,La fleur est sur le côté gauche. Appuyez sur le bouton droit.
flower-practice-feedback2,hearts-and-flowers,"Quand vous voyez un EAU, appuyez sur le bouton du côté OPPOSITE."
hearts-and-flowers-instruct3,hearts-and-flowers,"Maintenant, nous allons jouer à un jeu avec des cœurs et des fleurs."
continue-button-text,general,Ok
close-button-text,general,Fermer
hearts-and-flowers-encourage1,hearts-and-flowers,Essayez de vous tenir au courant !
hearts-and-flowers-encourage2,hearts-and-flowers,"Si vous faites une erreur, continuez !"
hearts-and-flowers-end,hearts-and-flowers,Bravo ! Vous avez terminé la partie !
vocab-item-001,vocab,glands
vocab-item-002,vocab,aloès
vocab-item-003,vocab,Antenne
vocab-item-004,vocab,artichoke
vocab-item-005,vocab,bambou
vocab-item-006,vocab,tonneau
vocab-item-007,vocab,mélangeur
vocab-item-008,vocab,blower
vocab-item-009,vocab,bouquet
vocab-item-010,vocab,Buffet
vocab-item-011,vocab,bulldozer
vocab-item-012,vocab,gâteau
vocab-item-013,vocab,caramel
vocab-item-014,vocab,carousel
vocab-item-015,vocab,carotte
vocab-item-016,vocab,cassette
vocab-item-017,vocab,fromage
vocab-item-018,vocab,cloak
vocab-item-019,vocab,espin de vêtement
vocab-item-020,vocab,sous-verres
vocab-item-021,vocab,liège
vocab-item-022,vocab,pain de maïs
vocab-item-023,vocab,corset
vocab-item-024,vocab,bouleversement
vocab-item-025,vocab,coude
vocab-item-026,vocab,ventilateur
vocab-item-027,vocab,mousse
vocab-item-028,vocab,bain de pieds
vocab-item-029,vocab,gâteau aux fruits
vocab-item-030,vocab,gutter
vocab-item-031,vocab,hamster
vocab-item-032,vocab,hérisson
vocab-item-033,vocab,hoe
vocab-item-034,vocab,scotch de houblon
vocab-item-035,vocab,kimono
vocab-item-036,vocab,loquet
vocab-item-037,vocab,verrou
vocab-item-038,vocab,lollipop
vocab-item-039,vocab,carte
vocab-item-040,vocab,marshmallow
vocab-item-041,vocab,net
vocab-item-042,vocab,huile
vocab-item-043,vocab,omelette
vocab-item-044,vocab,tarte
vocab-item-045,vocab,pistachio
vocab-item-046,vocab,pichet
vocab-item-047,vocab,pomme de terre
vocab-item-048,vocab,prisme
vocab-item-049,vocab,flaque
vocab-item-050,vocab,Pompe
vocab-item-051,vocab,riz
vocab-item-052,vocab,selle
vocab-item-053,vocab,sac de sable
vocab-item-054,vocab,échafaudage
vocab-item-055,vocab,scoop
vocab-item-056,vocab,seagull
vocab-item-057,vocab,expédition
vocab-item-058,vocab,douche
vocab-item-059,vocab,argenterie
vocab-item-060,vocab,évier
vocab-item-061,vocab,ski
vocab-item-062,vocab,paresseux
vocab-item-063,vocab,escargot
vocab-item-064,vocab,sorbet
vocab-item-065,vocab,spatula
vocab-item-066,vocab,sprinkler
vocab-item-067,vocab,écraser
vocab-item-068,vocab,écureuil
vocab-item-069,vocab,ragoût
vocab-item-070,vocab,civière
vocab-item-071,vocab,souche
vocab-item-072,vocab,tournesol
vocab-item-073,vocab,espadon
vocab-item-074,vocab,tapisserie
vocab-item-075,vocab,teabag
vocab-item-076,vocab,télescope
vocab-item-077,vocab,thermos
vocab-item-078,vocab,trésor
vocab-item-079,vocab,trompette
vocab-item-080,vocab,tulip
vocab-item-081,vocab,turbine
vocab-item-082,vocab,dinde
vocab-item-083,vocab,tortue
vocab-item-084,vocab,écrivain
vocab-item-085,vocab,pastèque
vocab-item-086,vocab,roue à eau
vocab-item-087,vocab,ant
vocab-item-088,vocab,balle
vocab-item-089,vocab,ours
vocab-item-090,vocab,canard
vocab-item-091,vocab,fork
