identifier,labels,en,es-CO,de,fr-CA,nl,context
matrix-reasoning-instruct1,matrix-reasoning,"We’re going to show you a puzzle, and your job is to pick the best piece to complete the puzzle. Let's get started!",Vamos a mostrarte un rompecabezas. Tu tarea es elegir la mejor pieza para completarlo. ¡Empecemos!,"Wir zeigen dir ein Puzzle, und deine Aufgabe ist es, das beste Teil zu finden, um das Puzzle zu vervollständigen. Los geht's!","We’re going to show you a puzzle, and your job is to pick the best piece to complete the puzzle. Let's get started!","We gaan je een puzzel laten zien, en jouw taak is om het beste stukje te kiezen om de puzzel compleet te maken. Laten we beginnen!","matrix-reasoning-instruct1
Es-co complete, de still needs review."
matrix-reasoning-instruct2,matrix-reasoning,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,¿Ves este gran rompecabezas? Le falta una pieza. ¿Cuál pieza va en el rompecabezas?,Siehst du dieses große Puzzle? Es fehlt ein Teil! Welches Teil gehört in das Puzzle?,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,Zie je deze grote puzzel? Er mist een stukje! Welk stukje hoort in de puzzel?,"matrix-reasoning-instruct2
Es-co complete, de still needs review."
matrix-reasoning-prompt1,matrix-reasoning,Choose the best pattern to fill in the blank.,Escoge el mejor patrón para llenar el espacio en blanco.,"Wähle das beste Muster, um die Lücke zu füllen.",Choose the best pattern to fill in the blank.,Kies het beste patroon om de ontbrekende informatie in te vullen.,"matrix-reasoning-prompt1
Es-co complete, de still needs review."
mental-rotation,mental-rotation,Do you see these two outlines? One goes with this shape. Let’s see which one goes with the shape.,¿Ves estas dos siluetas? Una va con esta figura. Veamos cuál va con la figura.,"Siehst du diese beiden Schatten? Einer passt zu der Form. Lass uns schauen, welcher zur Form passt.",Do you see these two outlines? One goes with this shape. Let’s see which one goes with the shape.,Zie je deze twee contouren? Eén past bij deze vorm. Laten we eens kijken welke bij de vorm past.,"mental-rotation
Final es-co & de translation review complete"
mental-rotation-training-instruct2,mental-rotation,Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,Veamos si esta figura va con la silueta. Esta figura no va con la silueta.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt nicht zum Schatten.",Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,Laten we eens kijken of deze vorm bij de omtrek past. Deze vorm past niet bij de omtrek.,"mental-rotation-training-instruct2
Final es-co & de translation review complete"
mental-rotation-training-instruct3,mental-rotation,Let's see if this shape goes with the outline. This shape does go with the outline.,Veamos si esta figura va con la silueta. Esta figura sí va con la silueta.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt zu dem Schatten.",Let's see if this shape goes with the outline. This shape does go with the outline.,Laten we eens kijken of deze vorm bij de omtrek past. Deze vorm past bij de omtrek.,"mental-rotation-training-instruct3
Final es-co & de translation review complete"
mental-rotation-test-instruct4,mental-rotation,Now you try! Can you find the shape that goes with the outline?,"¡Ahora, inténtalo tú! ¿Puedes encontrar la figura que va con la silueta?","Jetzt bist du dran! Kannst du die Form finden, die zum Schatten passt?",Now you try! Can you find the shape that goes with the outline?,Probeer het nu maar! Kun jij de vorm vinden die bij de omtrek hoort?,"mental-rotation-test-instruct4
Final es-co & de translation review complete"
mental-rotation-instruct-3D,mental-rotation,Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,Ahora verás imágenes que muestran bloques con tres lados. Tu tarea es elegir la imagen que coincide.,"Jetzt siehst du Bilder, die Blöcke mit drei Seiten zeigen.  Deine Aufgabe ist es, das passende Bild auszuwählen.",Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,Nu ziet u afbeeldingen die blokken met drie zijden tonen. Uw taak is om de bijpassende afbeelding te kiezen.,"mental-rotation-instruct-3D
"
mental-rotation-prompt2,mental-rotation,Choose the picture that matches this one.,Escoge la imagen que coincida con esta.,"Wähle das Bild aus, das hierzu passt.",Choose the picture that matches this one.,Kies de afbeelding die hierbij past.,"mental-rotation-prompt2
Final es-co & de translation review complete"
mental-rotation-prompt1,mental-rotation,Choose the matching picture.,Escoge la imagen que coincide.,Wähle das passende Bild aus.,Choose the matching picture.,Kies de bijpassende afbeelding.,"mental-rotation-prompt1
Final es-co & de translation review complete"
math-instructions1,math,"In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!","En este juego, harás algunos problemas de matemáticas. Algunos serán como los que haces en la escuela y otros serán un poco diferentes de los que haces en la escuela. Algunas preguntas te resultarán fáciles y otras difíciles. ¡No pasa nada! Esfuérzate al máximo y tómate tu tiempo. La mayoría de las preguntas tienen cuatro opciones. Eliges la que consideres correcta. ¡Empecemos!","In diesem Spiel wirst du einige mathematische Aufgaben lösen. Einige sind wie die, die du in der Schule machst, und einige sind etwas anders als die, die du in der Schule machst. Einige Fragen könnten leicht für dich sein und einige könnten schwer sein. Das ist nicht schlimm! Bitte gib dein Bestes und nimm dir Zeit. Bei den meisten Fragen gibt es vier Auswahlmöglichkeiten. Du wählst die aus, die du für richtig hältst. Los geht's!","In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!",In dit spel ga je een aantal wiskundige problemen oplossen. Sommige zullen lijken op de problemen die je op school hebt en sommige zullen een beetje anders zijn dan wat je op school doet. Sommige vragen zijn misschien makkelijk voor je en sommige misschien moeilijk. Dat is oké! Doe je best en neem je tijd. De meeste vragen hebben vier opties. Jij kiest degene die jij denkt dat goed is. Laten we beginnen!,"math-instructions1
Es-co complete, de still needs review."
number-comparison-prompt1,math,Which number is larger?,¿Cuál número es mayor?,Welche Zahl ist größer?,Which number is larger?,Welk getal is groter?,"number-comparison-prompt1
Es-co complete, de still needs review."
number-comparison-prompt2,math,Which is larger?,¿Cuál es mayor?,Welche ist größer?,Which is larger?,Welke is groter?,"number-comparison-prompt2
Es-co complete, de still needs review."
number-identification-prompt1,math,Choose the number you hear.,Escoge el número cuando lo escuches.,"Wähle die Zahl, die du hörst.",Choose the number you hear.,Kies het nummer dat je hoort.,"number-identification-prompt1
Es-co complete, de still needs review."
missing-number-prompt1,math,What number goes in the blank?,¿Cuál número va en el espacio en blanco?,Welche Zahl gehört in die Lücke?,What number goes in the blank?,Welk getal moet er op de lege plek komen?,"missing-number-prompt1
Es-co complete, de still needs review."
missing-number-prompt2,math,What number goes here?,¿Cuál número va aquí?,Welche Zahl gehört hierher?,What number goes here?,Welk getal hoort hier?,"missing-number-prompt2
Es-co complete, de still needs review."
addition-prompt1,math,Add the numbers and choose the correct answer.,Suma los números y escoge la respuesta correcta.,Addiere die Zahlen und wähle die richtige Antwort.,Add the numbers and choose the correct answer.,Tel de getallen op en kies het juiste antwoord.,"addition-prompt1
Es-co complete, de still needs review."
addition-prompt2,math,Add the numbers.,Suma los números.,Addiere die Zahlen. ,Add the numbers.,Tel de getallen op.,"addition-prompt2
Es-co complete, de still needs review."
subtraction-prompt1,math,Subtract the numbers and choose the correct answer.,Resta los números y escoge la respuesta correcta.,Ziehe die Zahlen ab und wähle die richtige Antwort.,Subtract the numbers and choose the correct answer.,Trek de getallen van elkaar af en kies het juiste antwoord.,"subtraction-prompt1
Es-co complete, de still needs review."
subtraction-prompt2,math,Subtract the numbers.,Resta los números.,Ziehe die Zahlen ab. ,Subtract the numbers.,Trek de getallen van elkaar af.,"subtraction-prompt2
Es-co complete, de still needs review."
multiplication-prompt1,math,Multiply the numbers and choose the correct answer.,Multiplica los números y escoge la respuesta correcta.,Multipliziere die Zahlen und wähle die richtige Antwort.,Multiply the numbers and choose the correct answer.,Vermenigvuldig de getallen en kies het juiste antwoord.,"multiplication-prompt1
Es-co complete, de still needs review."
multiplication-prompt2,math,Multiply the numbers.,Multiplica los números.,Multipliziere die Zahlen. ,Multiply the numbers.,Vermenigvuldig de getallen.,"multiplication-prompt2
Es-co complete, de still needs review."
number-line-instruct1,math,Here is a number line. You can move the red line forward and backward along the black line. Move the red line so it is in the right place to show where the number would fit. Make sure you look at the numbers at each end when deciding where to move the red line.,Aquí tienes una recta numérica. Mira qué números están en los extremos. Puedes mover la barra roja hacia delante y hacia atrás a lo largo de la línea negra. Pon la barra roja en el lugar del número indicado.,"Hier ist eine Zahlenreihe. Du kannst die rote Linie vorwärts und rückwärts entlang der schwarzen Linie verschieben. Verschiebe die rote Linie so, dass sie sich an der richtigen Stelle befindet, um zu zeigen, wo die Zahl hingehört. Achte darauf, dass du die Zahlen an beiden Enden ansiehst, wenn du entscheidest, wohin du die rote Linie verschiebst.",Here is a number line. You can move the red line forward and backward along the black line. Move the red line so it is in the right place to show where the number would fit. Make sure you look at the numbers at each end when deciding where to move the red line.,Hier is een getallenlijn. Je kunt de rode lijn vooruit en achteruit verplaatsen langs de zwarte lijn. Verplaats de rode lijn zodat deze op de juiste plek staat om te laten zien waar het getal zou passen. Zorg ervoor dat je naar de getallen aan beide uiteinden kijkt wanneer je beslist waar je de rode lijn naartoe verplaatst.,"number-line-instruct1
Es-co complete, de still needs review."
number-line-prompt1,math,Choose the number that is marked on the number line.,Esocoge el número que está marcado en la recta numérica.,"Wähle die Zahl, die auf der Zahlenreihe markiert ist.",Choose the number that is marked on the number line.,Kies het getal dat op de getallenlijn staat.,"number-line-prompt1
Es-co complete, de still needs review."
number-line-slider-prompt1,math,Move the red line to mark the number.,Pon la barra roja sobre la linea recta en el lugar del número indicado.,Bewege den Schieberegler auf die angegebene Zahl.,Move the red line to mark the number.,Verplaats de rode lijn om het nummer te markeren.,"number-line-slider-prompt1
Es-co complete, de still needs review."
number-identification-1,math,Choose the number 1.,Escoge el número 1.,Wähle die Zahl Eins.,Choose the number 1.,Kies het getal 1.,"number-identification-1
Es-co complete, de still needs review."
number-identification-2,math,Choose the 2.,Escoge el 2.,Wähle die Zwei.,Choose the 2.,Kies de 2.,"number-identification-2
Es-co complete, de still needs review."
number-identification-3,math,Choose the 9.,Escoge el 9.,Wähle die Neun.,Choose the 9.,Kies de 9.,"number-identification-3
Es-co complete, de still needs review."
number-identification-4,math,Choose the 0.,Escoge el 0.,Wähle die Null.,Choose the 0.,Kies de 0.,"number-identification-4
Es-co complete, de still needs review."
number-identification-5,math,Choose the 12.,Escoge el 12.,Wähle die Zwölf.,Choose the 12.,Kies de 12.,"number-identification-5
Es-co complete, de still needs review."
number-identification-6,math,Choose the 30.,Escoge el 30.,Wähle die Dreißig.,Choose the 30.,Kies de 30.,"number-identification-6
Es-co complete, de still needs review."
number-identification-7,math,Choose the 22.,Escoge el 22.,Wähle die  Zweiundzwanzig.,Choose the 22.,Kies de 22.,"number-identification-7
Es-co complete, de still needs review."
number-identification-8,math,Choose the 45.,Escoge el 45.,Wähle die  Fünfundvierzig.,Choose the 45.,Kies de 45.,"number-identification-8
Es-co complete, de still needs review."
number-identification-9,math,Choose the 39.,Escoge el 39.,Wähle die  Neununddreißig.,Choose the 39.,Kies de 39.,"number-identification-9
Es-co complete, de still needs review."
number-identification-10,math,Choose the 23.,Escoge el 23.,Wähle die  Dreiundzwanzig.,Choose the 23.,Kies de 23.,"number-identification-10
Es-co complete, de still needs review."
number-identification-11,math,Choose the 48.,Escoge el 48.,Wähle die  Achtundvierzig.,Choose the 48.,Kies de 48.,"number-identification-11
Es-co complete, de still needs review."
number-identification-12,math,Choose the 91.,Escoge el 91.,Wähle die  91.,Choose the 91.,Kies de 91.,"number-identification-12
Es-co complete, de still needs review."
number-identification-13,math,Choose the 33.,Escoge el 33.,Wähle die  Dreiunddreißig.,Choose the 33.,Kies de 33.,"number-identification-13
Es-co complete, de still needs review."
number-identification-14,math,Choose the 74.,Escoge el 74.,Wähle die  Vierundsiebzig.,Choose the 74.,Kies de 74.,"number-identification-14
Es-co complete, de still needs review."
number-identification-15,math,Choose the 87.,Escoge el 87.,Wähle die  Siebenundachzig.,Choose the 87.,Kies de 87.,"number-identification-15
Es-co complete, de still needs review."
number-identification-16,math,Choose the 65.,Escoge el 65.,Wähle die  65.,Choose the 65.,Kies de 65.,"number-identification-16
Es-co complete, de still needs review."
number-identification-17,math,Choose the 108.,Escoge el 108.,Wähle die  Einhundertacht.,Choose the 108.,Kies de 108.,"number-identification-17
Es-co complete, de still needs review."
number-identification-18,math,Choose the 245.,Escoge el 245.,Wähle die  Zweihundertfünfundvierzig.,Choose the 245.,Kies de 245.,"number-identification-18
Es-co complete, de still needs review."
number-identification-19,math,Choose the 587.,Escoge el 587.,Wähle die  Fünfhundertsiebenundachzig.,Choose the 587.,Kies de 587.,"number-identification-19
Es-co complete, de still needs review."
number-identification-20,math,Choose the 731.,Escoge el 731.,Wähle die  Siebenhunderteinunddreißig.,Choose the 731.,Kies de 731.,"number-identification-20
Es-co complete, de still needs review."
number-identification-21,math,Choose the 989.,Escoge el 989. ,Wähle die  Neunhundertneunundachzig.,Choose the 989.,Kies de 989.,"number-identification-21
Es-co complete, de still needs review."
trog-instruct1,trog,"Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!","Ahora, ¡vamos a hacer un juego de asociación! Yo diré palabras y tú eliges la imagen que va con las palabras que yo diga. ¡Empecemos!","Jetzt werden wir ein Zuordnungsspiel spielen! Ich werde ein paar Wörter sagen, und du wählst das Bild aus, das zu dem passt, was ich sage. Los geht's!","Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!",Nu gaan we een match-spel spelen! Ik ga wat woorden zeggen en jij kiest de afbeelding die bij wat ik zeg past. Laten we beginnen!,"trog-instruct1
Es-co complete, de still needs review."
trog-prompt1,trog,Choose the picture of the...,Escoge la imagen del...,Berühre das Bild mit dem/der/den...,Choose the picture of the...,Kies de foto van de...,"trog-prompt1
Es-co complete, de still needs review."
trog-prompt2,trog,Choose the picture of...,Escoge la imagen de...,Berühre das Bild mit...,Choose the picture of...,Kies de foto van...,"trog-prompt2
Es-co complete, de still needs review."
trog-prompt3,trog,Choose the picture that shows...,Escoge la imagen que muestra...,Berühre das Bild was folgendes zeigt:,Choose the picture that shows...,Kies de afbeelding die het volgende toont...,"trog-prompt3
Es-co complete, de still needs review."
trog-item-1,trog,Choose the picture of the shoe.,Escoge la imagen del zapato.,Wähle das Bild mit dem Schuh.,Choose the picture of the shoe.,Kies de afbeelding van de schoen.,"trog-item-1
Es-co complete, de still needs review."
trog-item-2,trog,Choose the picture of the bird.,Escoge la imagen del pájaro.,Wähle das Bild mit dem Vogel.,Choose the picture of the bird.,Kies de afbeelding van de vogel.,"trog-item-2
Es-co complete, de still needs review."
trog-item-3,trog,Choose the picture of the comb.,Escoge la imagen del peine.,Wähle das Bild mit dem Kamm.,Choose the picture of the comb.,Kies de afbeelding van de kam.,"trog-item-3
Es-co complete, de still needs review."
trog-item-4,trog,Choose the picture of the apple.,Escoge la imagen de la manzana.,Wähle das Bild mit dem Apfel.,Choose the picture of the apple.,Kies de afbeelding van de appel.,"trog-item-4
Es-co complete, de still needs review."
trog-item-5,trog,Choose the picture that shows eating.,Escoge la imagen que muestra comiendo.,"Wähle das Bild aus, das jemanden beim essen zeigt.",Choose the picture that shows eating.,Kies de afbeelding waarop eten te zien is.,"trog-item-5
Es-co complete, de still needs review."
trog-item-6,trog,Choose the picture that shows picking.,Escoge la imagen que muestra recogiendo.,"Wähle das Bild aus, das zeigt, wie jemand etwas pflückt.",Choose the picture that shows picking.,Selecteer de afbeelding waarop het plukken wordt getoond.,"trog-item-6
Es-co complete, de still needs review."
trog-item-7,trog,Choose the picture that shows sitting.,Escoge la imagen que muestra sentado.,"Wähle das Bild aus, das zeigt, wie jemand sitzt.",Choose the picture that shows sitting.,Kies de afbeelding waarop een zittende persoon te zien is.,"trog-item-7
Es-co complete, de still needs review."
trog-item-8,trog,Choose the picture that shows running.,Escoge la imagen que muestra corriendo.,"Wähle das Bild aus, das zeigt, wie jemand rennt.",Choose the picture that shows running.,Kies de afbeelding waarop hardlopen te zien is.,"trog-item-8
Es-co complete, de still needs review."
trog-item-9,trog,Choose the picture that shows long.,Escoge la imagen que muestra largo.,"Wähle das Bild aus, das etwas Langes zeigt.",Choose the picture that shows long.,Kies de afbeelding die het langst wordt weergegeven.,"trog-item-9
Es-co complete, de still needs review."
trog-item-10,trog,Choose the picture that shows tall.,Escoge la imagen que muestra alto.,"Wähle das Bild aus, das etwas Großes zeigt.",Choose the picture that shows tall.,Kies de afbeelding die hoog is.,"trog-item-10
Es-co complete, de still needs review."
trog-item-11,trog,Choose the picture that shows red.,Escoge la imagen que muestra el rojo.,"Wähle das Bild aus, das etwas Rotes zeigt.",Choose the picture that shows red.,Kies de afbeelding met de rode kleur.,"trog-item-11
Es-co complete, de still needs review."
trog-item-12,trog,Choose the picture that shows black.,Escoge la imagen que muestra el negro.,"Wähle das Bild aus, das etwas Schwarzes zeigt.",Choose the picture that shows black.,Kies de afbeelding die zwart is.,"trog-item-12
Es-co complete, de still needs review."
trog-item-13,trog,the boy is running,el niño está corriendo,der Junge rennt.,the boy is running,de jongen rent,"trog-item-13
Es-co complete, de still needs review."
trog-item-14,trog,the big cup,la taza grande,die große Tasse.,the big cup,de grote beker,"trog-item-14
Es-co complete, de still needs review."
trog-item-15,trog,the dog is sitting,el perro está sentado,der Hund sitzt.,the dog is sitting,de hond zit,"trog-item-15
Es-co complete, de still needs review."
trog-item-16,trog,the red ball,la pelota roja,der rote Ball.,the red ball,de rode bal,"trog-item-16
Es-co complete, de still needs review."
trog-item-17,trog,the boy is not running,el niño no está corriendo,der Junge rennt nicht.,the boy is not running,de jongen rent niet,"trog-item-17
Es-co complete, de still needs review."
trog-item-18,trog,the dog is not drinking,el perro no está bebiendo,der Hund trinkt nicht.,the dog is not drinking,de hond drinkt niet,"trog-item-18
Es-co complete, de still needs review."
trog-item-19,trog,the girl is not jumping,la niña no está saltando,das Mädchen hüpft nicht.,the girl is not jumping,het meisje springt niet,"trog-item-19
Es-co complete, de still needs review."
trog-item-20,trog,the dog is not sitting,el perro no está sentado,der Hund sitzt nicht.,the dog is not sitting,de hond zit niet,"trog-item-20
Es-co complete, de still needs review."
trog-item-21,trog,the boy is jumping over the box,el niño salta por encima de la caja,der Junge springt über den Kasten. ,the boy is jumping over the box,de jongen springt over de doos,"trog-item-21
Es-co complete, de still needs review."
trog-item-22,trog,the girl is sitting on the table,la niña está sentada encima de la mesa,das Mädchen sitzt auf dem Tisch.,the girl is sitting on the table,het meisje zit op de tafel,"trog-item-22
Es-co complete, de still needs review."
trog-item-23,trog,the man is eating the apple,el hombre se está comiendo una manzana,Der Mann isst einen Apfel.,the man is eating the apple,de man eet de appel,"trog-item-23
Es-co complete, de still needs review."
trog-item-24,trog,the lady is carrying the bag,la señora está llevando la bolsa,die Frau trägt eine Tasche.,the lady is carrying the bag,de dame draagt de tas,"trog-item-24
Es-co complete, de still needs review."
trog-item-25,trog,they are sitting on the table,están sentadas encima de la mesa,sie sitzen auf dem Tisch.,they are sitting on the table,ze zitten op tafel,"trog-item-25
Es-co complete, de still needs review."
trog-item-26,trog,the cow is looking at them,la vaca está mirándolas,Die Kuh sieht die Frauen an.,the cow is looking at them,de koe kijkt naar hen,"trog-item-26
Es-co complete, de still needs review."
trog-item-27,trog,they are jumping over the wall,están saltando por encima de la pared,sie springen über die Mauer.,they are jumping over the wall,ze springen over de muur,"trog-item-27
Es-co complete, de still needs review."
