Identifier,Labels,Translation
ToM-scene6-instruct1,theory-of-mind,"Sam y María están jugando juntos. Cuando miran hacia afuera ven una tienda nueva al otro lado de la calle. María le dice a Sam: ""voy a ir a comprar camisetas nuevas para nosotros"" y se va."
ToM-scene6-instruct2,theory-of-mind,"Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says."
ToM-scene6-q1,theory-of-mind,"	
¿María sabe que en la tienda venden zapatos?"
ToM-scene6-instruct3,theory-of-mind,"María llega a la tienda y dice ""me gustaría comprar camisas."" La vendedora responde ""Sólo nos quedan medias."" Como María también necesita medias, decide comprar algunos pares."
ToM-scene6-q2,theory-of-mind,¿Sam sabe que María ha comprado medias?
ToM-scene6-q3,theory-of-mind,¿Qué cree Sam que venden en la tienda?
ToM-scene6-instruct4,theory-of-mind,"On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.”
“That is nice of you,” says dad. Then he asks Maria: “Does Sam know what you bought him?”"
ToM-scene6-q4,theory-of-mind,What does Maria tell dad?
ToM-scene6-instruct5,theory-of-mind,Then dad asks: “What does Sam think they are selling at the shop?”
ToM-scene6-q5,theory-of-mind,What does Maria tell dad?
ToM-scene6-q6,theory-of-mind,¿Qué cree Sam que venden en la tienda?
hostile-attribution-scene1-instruct1,hostile-attribution,Imagina que vas camino a la escuela y llevas puestos tus zapatos nuevos. Te gustan mucho tus zapatos nuevos y es la primera vez que los usas.
hostile-attribution-scene1-instruct2,hostile-attribution,"De repente, un chico te golpea por detrás. Tropiezas y caes en un charco de barro y tus zapatos nuevos se ensucian de barro."
hostile-attribution-scene1-q1,hostile-attribution,¿Crees que el chico te golpeó a propósito o por accidente?
hostile-attribution-scene1-q2,hostile-attribution,Elige una de las tres opciones que tú harías:
hostile-attribution-scene1-q2-ans1,hostile-attribution,limpiar mis zapatos
hostile-attribution-scene1-q2-ans2,hostile-attribution,alejarme del chico
hostile-attribution-scene1-q2-ans3,hostile-attribution,empujar al chico al barro
hostile-attribution-scene2-instruct1,hostile-attribution,"Imagina que estás en el patio de recreo. Tú y otros niños están haciendo una carrera. Un niño está parado a un lado, haciendo rebotar una pelota de baloncesto."
hostile-attribution-scene2-instruct2,hostile-attribution,"The next thing you know is that the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race."
hostile-attribution-scene2-q1,hostile-attribution,¿Crees que el chico te hizo caer a propósito o por accidente?
hostile-attribution-scene2-q2,hostile-attribution,Elige una de las tres opciones que tú harías:
hostile-attribution-scene2-q2-ans1,hostile-attribution,ir a otra zona del patio de recreo
hostile-attribution-scene2-q2-ans2,hostile-attribution,insultar al niño
hostile-attribution-scene2-q2-ans3,hostile-attribution,curar mi rodilla
hostile-attribution-scene3-instruct1,hostile-attribution,Imagina que estás trabajando en una tarea en tu escritorio.
hostile-attribution-scene3-instruct2,hostile-attribution,"Te levantas para sacarle punta a tu lápiz y, de regreso a tu escritorio, vas detrás de un niño que camina justo delante de ti. El niño pasa por tu escritorio antes de que tú llegues."
hostile-attribution-scene3-instruct3,hostile-attribution,"De repente, el chico tira todos los papeles que estaban en tu escritorio y ahora están regados en el suelo."
hostile-attribution-scene3-q1,hostile-attribution,¿Crees que el chico tiró tus papeles al suelo a propósito o por accidente?
hostile-attribution-scene3-q2,hostile-attribution,Elige una de las tres opciones que tú harías:
hostile-attribution-scene3-q2-ans1,hostile-attribution,insultar al niño
hostile-attribution-scene3-q2-ans2,hostile-attribution,recoger los papeles
hostile-attribution-scene3-q2-ans3,hostile-attribution,no hacer nada
same-different-selection-touch-circle,same-different-selection,Choose the picture with a circle.
same-different-selection-touch-square,same-different-selection,Choose the picture with a square.
same-different-selection-touch-triangle,same-different-selection,Choose the picture with a triangle.
same-different-selection-touch-green,same-different-selection,Choose the picture with a green shape.
same-different-selection-touch-red,same-different-selection,Choose the picture with a red shape.
same-different-selection-touch-blue,same-different-selection,Choose the picture with a blue shape.
same-different-selection-touch-small,same-different-selection,Choose the picture with a small shape.
same-different-selection-touch-medium,same-different-selection,Choose the picture with a medium-sized shape.
same-different-selection-touch-large,same-different-selection,Choose the picture with a large shape.
same-different-selection-both-circles,same-different-selection,Here are two shapes. Something's the same. They are both circles.
same-different-selection-both-squares,same-different-selection,Here are two shapes. Something's the same. They are both squares.
same-different-selection-both-triangles,same-different-selection,Here are two shapes. Something's the same. They are both triangles.
same-different-selection-both-red,same-different-selection,Here are two shapes. Something's the same. They are both red.
same-different-selection-both-green,same-different-selection,Here are two shapes. Something's the same. They are both green.
same-different-selection-both-blue,same-different-selection,Here are two shapes. Something's the same. They are both blue.
same-different-selection-both-small,same-different-selection,Here are two shapes. Something's the same. They are both small.
same-different-selection-both-medium,same-different-selection,Here are two shapes. Something's the same. They are both medium-sized.
same-different-selection-both-large,same-different-selection,Here are two pictures. Something's the same. They are both large.
sds-prompt3,same-different-selection,Here is another picture. Which of these is the same as this one?
sds-2match-prompt1,same-different-selection,Choose two pictures that are the same.
sds-2match-prompt2,same-different-selection,Choose two pictures that are the same in a different way.
sds-3match-prompt1,same-different-selection,Choose three pictures that are the same.
sds-3match-prompt2,same-different-selection,Choose three pictures that are the same in a different way.
sds-3unique-prompt1,same-different-selection,Choose three pictures that are the same in only one way.
sds-3unique-prompt2,same-different-selection,Choose another three pictures that are the same in only one way.
memory-game-instruct1,memory-game,Este es el juego de la memoria. Las reglas son las siguientes.
memory-game-instruct2,memory-game,Verás que los cuadrados se iluminan.
memory-game-instruct3,memory-game,Vas a tocar los cuadrados en el mismo orden.
memory-game-instruct4,memory-game,¡Observa con atención! Intenta recordar el orden.
memory-game-prompt1,memory-game,Time to watch!
memory-game-forward-prompt,memory-game,Escoge los cuadrados en el mismo orden.
memory-game-instruct5,memory-game,This time the game won't tell you if you're right or wrong.
memory-game-instruct6,memory-game,"If you make a mistake, just keep going!"
memory-game-instruct7,memory-game,¡Empecemos a jugar al juego de memoria!
memory-game-backward-prompt,memory-game,Escoge los cuadrados siguiendo el orden inverso a la secuencia.
heart-instruct1,hearts-and-flowers,Este es el juego del corazón. Las reglas son las siguientes.
heart-instruct2,hearts-and-flowers,"When you see a <b>heart</b>, press the button on the <b>same</b> side."
hearts-and-flowers-try-again,hearts-and-flowers,Eso no está bien. Inténtalo de nuevo.
heart-practice-feedback1,hearts-and-flowers,El corazón está en el lado derecho. Presiona el botón derecho.
hearts-and-flowers-practice-time,hearts-and-flowers,¡Es hora de practicar!
heart-practice-feedback2,hearts-and-flowers,"¡Recuerda! Cuando veas un CORAZÓN, presiona el botón del MISMO lado."
hearts-and-flowers-instruct1,hearts-and-flowers,This time the game will go faster. It won't tell you if you are right or wrong.
hearts-and-flowers-instruct2,hearts-and-flowers,Try to answer as fast as you can without making mistakes.
hearts-and-flowers-play-time,hearts-and-flowers,¡Hora de jugar!
flower-instruct1,hearts-and-flowers,This is the flower game. Here's how you play.
flower-instruct2,hearts-and-flowers,"Cuando veas una flor, presiona el botón del lado opuesto."
flower-practice-feedback1,hearts-and-flowers,La flor está en el lado izquierdo. Presione el botón derecho.
flower-practice-feedback2,hearts-and-flowers,"Cuando veas una FLOR, presiona el botón en el lado OPUESTO."
hearts-and-flowers-instruct3,hearts-and-flowers,"Ahora, vamos a jugar un juego con corazones y flores."
continue-button-text,general,OK
close-button-text,general,Cerrar
hearts-and-flowers-encourage1,hearts-and-flowers,¡Trata de seguir el ritmo!
hearts-and-flowers-encourage2,hearts-and-flowers,"Si cometes un error, ¡sigue adelante!"
hearts-and-flowers-end,hearts-and-flowers,Great job! You completed the game!.
vocab-item-001,vocab,acorn
vocab-item-002,vocab,aloe
vocab-item-003,vocab,antenna
vocab-item-004,vocab,artichoke
vocab-item-005,vocab,bamboo
vocab-item-006,vocab,barrel
vocab-item-007,vocab,blender
vocab-item-008,vocab,blower
vocab-item-009,vocab,bouquet
vocab-item-010,vocab,buffet
vocab-item-011,vocab,bulldozer
vocab-item-012,vocab,cake
vocab-item-013,vocab,caramel
vocab-item-014,vocab,carousel
vocab-item-015,vocab,carrot
vocab-item-016,vocab,cassette
vocab-item-017,vocab,cheese
vocab-item-018,vocab,cloak
vocab-item-019,vocab,clothespin
vocab-item-020,vocab,coaster
vocab-item-021,vocab,cork
vocab-item-022,vocab,cornbread
vocab-item-023,vocab,corset
vocab-item-024,vocab,dumpling
vocab-item-025,vocab,elbow
vocab-item-026,vocab,fan
vocab-item-027,vocab,foam
vocab-item-028,vocab,footbath
vocab-item-029,vocab,fruitcake
vocab-item-030,vocab,gutter
vocab-item-031,vocab,hamster
vocab-item-032,vocab,hedgehog
vocab-item-033,vocab,hoe
vocab-item-034,vocab,hopscotch
vocab-item-035,vocab,kimono
vocab-item-036,vocab,latch
vocab-item-037,vocab,locker
vocab-item-038,vocab,lollipop
vocab-item-039,vocab,map
vocab-item-040,vocab,marshmallow
vocab-item-041,vocab,net
vocab-item-042,vocab,oil
vocab-item-043,vocab,omelet
vocab-item-044,vocab,pie
vocab-item-045,vocab,pistachio
vocab-item-046,vocab,pitcher
vocab-item-047,vocab,potato
vocab-item-048,vocab,prism
vocab-item-049,vocab,puddle
vocab-item-050,vocab,pump
vocab-item-051,vocab,rice
vocab-item-052,vocab,saddle
vocab-item-053,vocab,sandbag
vocab-item-054,vocab,scaffolding
vocab-item-055,vocab,scoop
vocab-item-056,vocab,seagull
vocab-item-057,vocab,ship
vocab-item-058,vocab,shower
vocab-item-059,vocab,silverware
vocab-item-060,vocab,sink
vocab-item-061,vocab,ski
vocab-item-062,vocab,sloth
vocab-item-063,vocab,snail
vocab-item-064,vocab,sorbet
vocab-item-065,vocab,spatula
vocab-item-066,vocab,sprinkler
vocab-item-067,vocab,squash
vocab-item-068,vocab,squirrel
vocab-item-069,vocab,stew
vocab-item-070,vocab,stretcher
vocab-item-071,vocab,stump
vocab-item-072,vocab,sunflower
vocab-item-073,vocab,swordfish
vocab-item-074,vocab,tapestry
vocab-item-075,vocab,teabag
vocab-item-076,vocab,telescope
vocab-item-077,vocab,thermos
vocab-item-078,vocab,treasure
vocab-item-079,vocab,trumpet
vocab-item-080,vocab,tulip
vocab-item-081,vocab,turbine
vocab-item-082,vocab,turkey
vocab-item-083,vocab,turtle
vocab-item-084,vocab,typewriter
vocab-item-085,vocab,watermelon
vocab-item-086,vocab,waterwheel
vocab-item-087,vocab,ant
vocab-item-088,vocab,ball
vocab-item-089,vocab,bear
vocab-item-090,vocab,duck
vocab-item-091,vocab,fork
vocab-item-092,vocab,kitten
vocab-item-093,vocab,knee
vocab-item-094,vocab,milkshake
vocab-item-095,vocab,skin
vocab-item-096,vocab,wall
vocab-item-097,vocab,wheel
vocab-item-098,vocab,farm
vocab-item-099,vocab,malabarismo
vocab-item-100,vocab,dressing
vocab-item-101,vocab,roof
vocab-item-102,vocab,espiando
vocab-item-103,vocab,ruler
vocab-item-104,vocab,tunnel
vocab-item-105,vocab,envelope
vocab-item-106,vocab,diamond
vocab-item-107,vocab,calendar
vocab-item-108,vocab,panda
vocab-item-109,vocab,arrow
vocab-item-110,vocab,cosecha
vocab-item-111,vocab,goteo
vocab-item-112,vocab,knight
vocab-item-113,vocab,entregando
vocab-item-114,vocab,dentist
vocab-item-115,vocab,claw
vocab-item-116,vocab,uniform
vocab-item-117,vocab,peludo
vocab-item-118,vocab,cormorant
vocab-item-119,vocab,traer
vocab-item-120,vocab,arcade
vocab-item-121,vocab,artifact
vocab-item-122,vocab,aversión
vocab-item-123,vocab,beret
vocab-item-124,vocab,aplaudir
vocab-item-125,vocab,tímido
vocab-item-126,vocab,camp
vocab-item-127,vocab,caída
vocab-item-128,vocab,concéntrico
vocab-item-129,vocab,confectionery
vocab-item-130,vocab,couturier
vocab-item-131,vocab,disminución
vocab-item-132,vocab,divan
vocab-item-133,vocab,wetland
vocab-item-134,vocab,baywindow
vocab-item-135,vocab,aesthete
vocab-item-136,vocab,extático
vocab-item-137,vocab,desvencijado
vocab-item-138,vocab,gourmet
vocab-item-139,vocab,gesticular
vocab-item-140,vocab,facade
vocab-item-141,vocab,slope
vocab-item-142,vocab,habit
vocab-item-143,vocab,intersection
vocab-item-144,vocab,irrigation
vocab-item-145,vocab,kazoo
vocab-item-146,vocab,conversar
vocab-item-147,vocab,colony
vocab-item-148,vocab,preservar
vocab-item-149,vocab,awning
vocab-item-150,vocab,mamalogía
vocab-item-151,vocab,metronome
vocab-item-152,vocab,paleontologist
vocab-item-153,vocab,percussion
vocab-item-154,vocab,posterior
vocab-item-155,vocab,precario
vocab-item-156,vocab,arbor
vocab-item-157,vocab,resucitación
vocab-item-158,vocab,rosette
vocab-item-159,vocab,saffron
vocab-item-160,vocab,travieso
vocab-item-161,vocab,skimmer
vocab-item-162,vocab,sedentario
vocab-item-163,vocab,suede
vocab-item-164,vocab,tourniquet
vocab-item-165,vocab,triad
vocab-item-166,vocab,dragado
vocab-item-167,vocab,urbano
vocab-item-168,vocab,steam
vocab-item-169,vocab,vertebra
vocab-item-170,vocab,bandage
