Identifier,Labels,Translation
ToM-scene4-instruct1,theory-of-mind,"Jetzt sind die Spiele vorbei, und es ist fast Zeit, nach Hause zu gehen. Die Mutter sagt den Kindern, sie sollen alle ihre Spielsachen finden. "
ToM-scene4-instruct2,theory-of-mind,"Johann hat seinen Spielzeuglaster mit in den Park genommen, aber jetzt kann er ihn nicht mehr finden. Er sucht überall, aber er kann ihn nicht finden. "
ToM-scene4-q1-emotion_reasoning,theory-of-mind,How does Joshua feel about losing his truck?
ToM-scene4-instruct3,theory-of-mind,"And that’s because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox. "
ToM-scene4-instruct4,theory-of-mind,"Deshalb sucht Johann überall, aber er kann seinen Spielzeuglaster nicht finden. Die Mutter ist böse auf Johann, weil er seinen Spielzeuglaster verloren hat."
ToM-scene4-q2,theory-of-mind,Is it fair that Mother is mad at Joshua for losing his truck? Yes or no?
ToM-scene4-q3,theory-of-mind,Is Mother mad at Isabel? Yes or no?
ToM-scene4-q4-false_belief,theory-of-mind,Is Joshua mad at Isabel? Yes or no?
ToM-scene4-instruct5,theory-of-mind,"Als Isabelle sieht, dass die Mutter böse auf Johann ist, geht sie zum Sandkasten, gräbt den Spielzeuglaster aus und gibt ihn Johann zurück."
ToM-scene4-q5,theory-of-mind,Is Mother mad at Joshua now? Yes or no?
ToM-scene4-q6,theory-of-mind,Is Mother mad at Isabel now? Yes or no?
ToM-scene4-q7,theory-of-mind,Is Joshua mad at Isabel now? Yes or no?
ToM-scene4-instruct6,theory-of-mind,"Isabelle sagt Johann, dass es ihr sehr leid tut, und sie gibt ihm eine große Umarmung. Johann erwidert die Umarmung, und auch die Mutter schließt sich ihr an."
ToM-scene5-instruct1,theory-of-mind,"This is Marie. And earlier today, Marie’s mom was cleaning the house, while Marie watched. Mom left three cups in the kitchen."
ToM-scene5-instruct2,theory-of-mind,"There is this small cup on the counter, this medium sized cup on this table, and this big cup down here, on this shelf. So Marie and Dad just walked in and Marie asks her dad to get her a cup. And Marie tells her Dad, “I want the big cup!”"
ToM-scene5-q1,theory-of-mind,Which cup will Dad give Marie?
ToM-scene5-q2-reality_check,theory-of-mind,Which cup does Marie want?
ToM-scene6-instruct1,theory-of-mind,"Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away."
ToM-scene6-instruct2,theory-of-mind,"Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says."
ToM-scene6-q1,theory-of-mind,Does Maria know that they are selling shoes in the shop?
ToM-scene6-instruct3,theory-of-mind,"Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks."
ToM-scene6-q2,theory-of-mind,Does Sam know that Maria bought some socks?
ToM-scene6-q3,theory-of-mind,What does Sam think they are selling at the shop?
ToM-scene6-instruct4,theory-of-mind,"On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.”
“That is nice of you,” says dad. Then he asks Maria: “Does Sam know what you bought him?”"
ToM-scene6-q4,theory-of-mind,What does Maria tell dad?
ToM-scene6-instruct5,theory-of-mind,Then dad asks: “What does Sam think they are selling at the shop?”
ToM-scene6-q5,theory-of-mind,What does Maria tell dad?
ToM-scene6-q6,theory-of-mind,What does Sam think they are selling at the shop?
hostile-attribution-scene1-instruct1,hostile-attribution,"Stell dir vor, du gehst zur Schule und trägst deine neuen Schuhe. Du magst deine neuen Schuhe sehr und heute ist der erste Tag, an dem du sie trägst."
hostile-attribution-scene1-instruct2,hostile-attribution,Plötzlich wirst du von einem Jungen von hinten angerempelt. Du stolperst und fällst in eine Schlammpfütze und deine neuen Schuhe sind schlammig.
hostile-attribution-scene1-q1,hostile-attribution,"Glaubst du, dass der Junge dich absichtlich oder aus Versehen angerempelt hat?"
hostile-attribution-scene1-q2,hostile-attribution,"Wähle nun eine der drei Möglichkeiten aus, die du tun würdest:"
hostile-attribution-scene1-q2-ans1,hostile-attribution,meine Schuhe sauber machen
hostile-attribution-scene1-q2-ans2,hostile-attribution,sich von dem Jungen entfernen
hostile-attribution-scene1-q2-ans3,hostile-attribution,den Jungen in den Schlamm stoßen
hostile-attribution-scene2-instruct1,hostile-attribution,"Stell dir vor, du bist auf einem Spielplatz. Du und einige andere Kinder liefern sich ein Rennen. Ein Junge steht am Rand und wirft einen Basketball."
hostile-attribution-scene2-instruct2,hostile-attribution,"The next thing you know is that the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race."
hostile-attribution-scene2-q1,hostile-attribution,"Glaubst du, dass der Junge dich mit Absicht oder aus Versehen zu Boden gestoßen hat?"
hostile-attribution-scene2-q2,hostile-attribution,"Wähle nun eine der drei Möglichkeiten aus, die du tun würdest:"
hostile-attribution-scene2-q2-ans1,hostile-attribution,in einen anderen Bereich des Spielplatzes gehen
hostile-attribution-scene2-q2-ans2,hostile-attribution,etwas Gemeines zu ihm sagen
hostile-attribution-scene2-q2-ans3,hostile-attribution,mich um mein Knie kümmern
hostile-attribution-scene3-instruct1,hostile-attribution,"Stell dir vor, du arbeitest an deinem Schreibtisch an einer Aufgabe. "
hostile-attribution-scene3-instruct2,hostile-attribution,"Du gehst deinen Bleistift anspitzen, und als du zu deinem Schreibtisch zurückgehst, läuft ein Junge direkt vor dir. Der Junge geht an deinem Schreibtisch vorbei, bevor du ihn erreichst. "
hostile-attribution-scene3-instruct3,hostile-attribution,"Das nächste ist, dass der Junge alle deine Papiere von deinem Schreibtisch geworfen hat und sie überall auf dem Boden liegen."
hostile-attribution-scene3-q1,hostile-attribution,"Glaubst du, der Junge hat deine Papiere absichtlich oder aus Versehen auf den Boden geworfen?"
hostile-attribution-scene3-q2,hostile-attribution,"Wähle nun eine der drei Möglichkeiten aus, die du tun würdest:"
hostile-attribution-scene3-q2-ans1,hostile-attribution,ihn beleidigen
hostile-attribution-scene3-q2-ans2,hostile-attribution,die Papiere aufsammeln
hostile-attribution-scene3-q2-ans3,hostile-attribution,nichts tun
same-different-selection-touch-circle,same-different-selection,Choose the picture with a circle.
same-different-selection-touch-square,same-different-selection,Choose the picture with a square.
same-different-selection-touch-triangle,same-different-selection,Choose the picture with a triangle.
same-different-selection-touch-green,same-different-selection,Choose the picture with a green shape.
same-different-selection-touch-red,same-different-selection,Choose the picture with a red shape.
same-different-selection-touch-blue,same-different-selection,Choose the picture with a blue shape.
same-different-selection-touch-small,same-different-selection,Choose the picture with a small shape.
same-different-selection-touch-medium,same-different-selection,Choose the picture with a medium-sized shape.
same-different-selection-touch-large,same-different-selection,Choose the picture with a large shape.
same-different-selection-both-circles,same-different-selection,Here are two shapes. Something's the same. They are both circles.
same-different-selection-both-squares,same-different-selection,Here are two shapes. Something's the same. They are both squares.
same-different-selection-both-triangles,same-different-selection,Here are two shapes. Something's the same. They are both triangles.
same-different-selection-both-red,same-different-selection,Here are two shapes. Something's the same. They are both red.
same-different-selection-both-green,same-different-selection,Here are two shapes. Something's the same. They are both green.
same-different-selection-both-blue,same-different-selection,Here are two shapes. Something's the same. They are both blue.
same-different-selection-both-small,same-different-selection,Here are two shapes. Something's the same. They are both small.
same-different-selection-both-medium,same-different-selection,Here are two shapes. Something's the same. They are both medium-sized.
same-different-selection-both-large,same-different-selection,Here are two pictures. Something's the same. They are both large.
sds-prompt3,same-different-selection,Here is another picture. Which of these is the same as this one?
sds-2match-prompt1,same-different-selection,Choose two pictures that are the same.
sds-2match-prompt2,same-different-selection,Choose two pictures that are the same in a different way.
sds-3match-prompt1,same-different-selection,Choose three pictures that are the same.
sds-3match-prompt2,same-different-selection,Choose three pictures that are the same in a different way.
sds-3unique-prompt1,same-different-selection,Choose three pictures that are the same in only one way.
sds-3unique-prompt2,same-different-selection,Choose another three pictures that are the same in only one way.
memory-game-instruct1,memory-game,This is the memory game. Here's how you play it.
memory-game-instruct2,memory-game,You will see squares light up.
memory-game-instruct3,memory-game,You're going to touch the squares in the same order.
memory-game-instruct4,memory-game,Watch carefully! Try to remember the order.
memory-game-prompt1,memory-game,Time to watch!
memory-game-forward-prompt,memory-game,Choose the squares in the same order.
memory-game-instruct5,memory-game,This time the game won't tell you if you're right or wrong.
memory-game-instruct6,memory-game,"If you make a mistake, just keep going!"
memory-game-instruct7,memory-game,Let’s start playing the memory game!
memory-game-backward-prompt,memory-game,Choose the squares in the backward order.
heart-instruct1,hearts-and-flowers,This is the heart game. Here's how you play it.
heart-instruct2,hearts-and-flowers,"When you see a <b>heart</b>, press the button on the <b>same</b> side."
hearts-and-flowers-try-again,hearts-and-flowers,That's not right. Try again.
heart-practice-feedback1,hearts-and-flowers,The heart is on the right side. Press the right button.
hearts-and-flowers-practice-time,hearts-and-flowers,Time to practice!
heart-practice-feedback2,hearts-and-flowers,"Remember! When you see a HEART, press the button on the SAME side."
hearts-and-flowers-instruct1,hearts-and-flowers,This time the game will go faster. It won't tell you if you are right or wrong.
hearts-and-flowers-instruct2,hearts-and-flowers,Try to answer as fast as you can without making mistakes.
hearts-and-flowers-play-time,hearts-and-flowers,Time to play!
flower-instruct1,hearts-and-flowers,This is the flower game. Here's how you play.
flower-instruct2,hearts-and-flowers,"When you see a flower, press the button on the opposite side."
flower-practice-feedback1,hearts-and-flowers,The flower is on the left side. Press the right button.
flower-practice-feedback2,hearts-and-flowers,"When you see a FLOWER, press the button on the OPPOSITE side."
hearts-and-flowers-instruct3,hearts-and-flowers,"Now, we're going to play a game with hearts and flowers."
continue-button-text,general,OK
close-button-text,general,Close
hearts-and-flowers-encourage1,hearts-and-flowers,Try to keep up!
hearts-and-flowers-encourage2,hearts-and-flowers,"If you make a mistake, just keep going!"
hearts-and-flowers-end,hearts-and-flowers,Great job! You completed the game!.
vocab-item-001,vocab,acorn
vocab-item-002,vocab,aloe
vocab-item-003,vocab,antenna
vocab-item-004,vocab,artichoke
vocab-item-005,vocab,bamboo
vocab-item-006,vocab,barrel
vocab-item-007,vocab,blender
vocab-item-008,vocab,blower
vocab-item-009,vocab,bouquet
vocab-item-010,vocab,buffet
vocab-item-011,vocab,bulldozer
vocab-item-012,vocab,cake
vocab-item-013,vocab,caramel
vocab-item-014,vocab,carousel
vocab-item-015,vocab,carrot
vocab-item-016,vocab,cassette
vocab-item-017,vocab,cheese
vocab-item-018,vocab,cloak
vocab-item-019,vocab,clothespin
vocab-item-020,vocab,coaster
vocab-item-021,vocab,cork
vocab-item-022,vocab,cornbread
vocab-item-023,vocab,corset
vocab-item-024,vocab,dumpling
vocab-item-025,vocab,elbow
vocab-item-026,vocab,fan
vocab-item-027,vocab,foam
vocab-item-028,vocab,footbath
vocab-item-029,vocab,fruitcake
vocab-item-030,vocab,gutter
vocab-item-031,vocab,hamster
vocab-item-032,vocab,hedgehog
vocab-item-033,vocab,hoe
vocab-item-034,vocab,hopscotch
vocab-item-035,vocab,kimono
vocab-item-036,vocab,latch
vocab-item-037,vocab,locker
vocab-item-038,vocab,lollipop
vocab-item-039,vocab,map
vocab-item-040,vocab,marshmallow
vocab-item-041,vocab,net
vocab-item-042,vocab,oil
vocab-item-043,vocab,omelet
vocab-item-044,vocab,pie
vocab-item-045,vocab,pistachio
vocab-item-046,vocab,pitcher
vocab-item-047,vocab,potato
vocab-item-048,vocab,prism
vocab-item-049,vocab,puddle
vocab-item-050,vocab,pump
vocab-item-051,vocab,rice
vocab-item-052,vocab,saddle
vocab-item-053,vocab,sandbag
vocab-item-054,vocab,scaffolding
vocab-item-055,vocab,scoop
vocab-item-056,vocab,seagull
vocab-item-057,vocab,ship
vocab-item-058,vocab,shower
vocab-item-059,vocab,silverware
vocab-item-060,vocab,sink
vocab-item-061,vocab,ski
vocab-item-062,vocab,sloth
vocab-item-063,vocab,snail
vocab-item-064,vocab,sorbet
vocab-item-065,vocab,spatula
vocab-item-066,vocab,sprinkler
vocab-item-067,vocab,squash
vocab-item-068,vocab,squirrel
vocab-item-069,vocab,stew
vocab-item-070,vocab,stretcher
vocab-item-071,vocab,stump
vocab-item-072,vocab,sunflower
vocab-item-073,vocab,swordfish
vocab-item-074,vocab,tapestry
vocab-item-075,vocab,teabag
vocab-item-076,vocab,telescope
vocab-item-077,vocab,thermos
vocab-item-078,vocab,treasure
vocab-item-079,vocab,trumpet
vocab-item-080,vocab,tulip
vocab-item-081,vocab,turbine
vocab-item-082,vocab,turkey
vocab-item-083,vocab,turtle
vocab-item-084,vocab,typewriter
vocab-item-085,vocab,watermelon
vocab-item-086,vocab,waterwheel
vocab-item-087,vocab,ant
vocab-item-088,vocab,ball
vocab-item-089,vocab,bear
vocab-item-090,vocab,duck
vocab-item-091,vocab,fork
vocab-item-092,vocab,kitten
vocab-item-093,vocab,knee
vocab-item-094,vocab,milkshake
vocab-item-095,vocab,skin
vocab-item-096,vocab,wall
vocab-item-097,vocab,wheel
vocab-item-098,vocab,farm
vocab-item-099,vocab,juggling
vocab-item-100,vocab,dressing
vocab-item-101,vocab,roof
vocab-item-102,vocab,peeking
vocab-item-103,vocab,ruler
vocab-item-104,vocab,tunnel
vocab-item-105,vocab,envelope
vocab-item-106,vocab,diamond
vocab-item-107,vocab,calendar
vocab-item-108,vocab,panda
vocab-item-109,vocab,arrow
vocab-item-110,vocab,picking
vocab-item-111,vocab,dripping
vocab-item-112,vocab,knight
vocab-item-113,vocab,delivering
vocab-item-114,vocab,dentist
vocab-item-115,vocab,claw
vocab-item-116,vocab,uniform
vocab-item-117,vocab,furry
vocab-item-118,vocab,cormorant
vocab-item-119,vocab,fetch
vocab-item-120,vocab,arcade
vocab-item-121,vocab,artifact
vocab-item-122,vocab,aversion
vocab-item-123,vocab,beret
vocab-item-124,vocab,applaud
vocab-item-125,vocab,timid
vocab-item-126,vocab,camp
vocab-item-127,vocab,tumble
vocab-item-128,vocab,concentric
vocab-item-129,vocab,confectionery
vocab-item-130,vocab,couturier
vocab-item-131,vocab,degression
vocab-item-132,vocab,divan
vocab-item-133,vocab,wetland
