answer,assessment_stage,audio_file,block_index,chance_level,corpus_file_name,d,difficulty,image,item,item_id,item_uid,orig_item_num,prompt,randomize,required_selections,response_alternatives,source,task,task_dir,task_id,time_limit,trial_num,trial_type
,,,,,,,,,Are you good at reading?,,,33,ReadingGood,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Early Childhood Longitudinal Study,child-survey,,child-survey,,,
,,,,,,,,,Are you happy at school?,,,10,SchoolHappy,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Child Interview 5-6,child-survey,,child-survey,,,
hostile-attribution-scene1-on-purpose,test_response,hostile-attribution-scene1-q1,0,0.5,hostile-attribution-item-bank,,,,hostile-attribution-1b,hostile-attribution-scene1-q1,ha_bump_attribution,55,Do you think that the boy bumped you on purpose or by accident?,at_block_level,,"hostile-attribution-scene1-by-accident,hostile-attribution-scene1-on-purpose",ToM-battery,hostile-attribution,,hostile-attribution,,,attribution_question
,,,,,,,,,Some kids think they can get better at math if they work really hard. Do you agree that you can get better at math if you work really hard?,,,17,GrowthMindMath,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Child Interview 5-6,child-survey,,child-survey,,,
,,,,,,,,,Do the kids in your class play with you?,,,13,ClassPlay,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Child Interview 5-6,child-survey,,child-survey,,,
hostile-attribution-scene2-on-purpose,test_response,hostile-attribution-scene2-q1,1,0.5,hostile-attribution-item-bank,,,,hostile-attribution-2b,hostile-attribution-scene2-q1,ha_bounce_attribution,59,Do you think that the boy made you fall on purpose or by accident?,at_block_level,,"hostile-attribution-scene2-by-accident,hostile-attribution-scene2-on-purpose",ToM-battery,hostile-attribution,,hostile-attribution,,,attribution_question
,,,,,,,,,Do you feel safe at school?,,,1,SchoolSafe,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Safety from Sandra,child-survey,,child-survey,,,
,instructions,hostile-attribution-scene1-instruct1,0,,hostile-attribution-item-bank,,,,hostile-attribution-1a,hostile-attribution-scene1-instruct1,,53,Imagine that you are walking to school and you’re wearing your new shoes. You really like your new shoes and this is the first day you have worn them.,no,,,ToM-battery,hostile-attribution,,hostile-attribution,,,instructions
,instructions,hostile-attribution-scene2-instruct2,1,,hostile-attribution-item-bank,,,,hostile-attribution-2b,hostile-attribution-scene2-instruct2,,58,"The next thing you know is that the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race.",no,,,ToM-battery,hostile-attribution,,hostile-attribution,,,instructions
,instructions,hostile-attribution-scene2-instruct1,1,,hostile-attribution-item-bank,,,,hostile-attribution-2a,hostile-attribution-scene2-instruct1,,57,"Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball.",no,,,ToM-battery,hostile-attribution,,hostile-attribution,,,instructions
,,,,,,,,,Does your teacher listen to you?,,,6,TeacherListen,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Child Interview 5-6,child-survey,,child-survey,,,
hostile-attribution-scene3-q2-ans1,test_response,hostile-attribution-scene1-q2,2,0.33,hostile-attribution-item-bank,,,,hostile-attribution-3c,hostile-attribution-scene3-q2,ha_knock_action,65,Now pick one of the three choices as the one you would do:,at_block_level,,"hostile-attribution-scene3-q2-ans1,hostile-attribution-scene3-q2-ans2,hostile-attribution-scene3-q2-ans3",ToM-battery,hostile-attribution,,hostile-attribution,,,action_question
,instructions,hostile-attribution-scene3-instruct2,2,,hostile-attribution-item-bank,,,,hostile-attribution-3b,hostile-attribution-scene3-instruct2,,62,"You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there.",no,,,ToM-battery,hostile-attribution,,hostile-attribution,,,instructions
,instructions,hostile-attribution-scene3-instruct3,2,,hostile-attribution-item-bank,,,,hostile-attribution-3c,hostile-attribution-scene3-instruct3,,63,"The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor.",no,,,ToM-battery,hostile-attribution,,hostile-attribution,,,instructions
,,,,,,,,,Do you have friends in your class?,,,11,ClassFriends,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Child Interview 5-6,child-survey,,child-survey,,,
,,,,,,,,,Some kids think they can get smarter if they work really hard. Do you agree that you can get smarter if you work really hard?,,,15,GrowthMindSmart,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Child Interview 5-6,child-survey,,child-survey,,,
,,,,,,,,,,,,0,ChildSurveyIntro,,,,Instructions,child-survey,,child-survey,,,
,,,,,,,,,Do the kids in your class help you when you need it?,,,12,ClassHelp,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Child Interview 5-6,child-survey,,child-survey,,,
,,,,,,,,,Do you enjoy doing math activities at school?,,,36,MathEnjoy,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Early Childhood Longitudinal Study,child-survey,,child-survey,,,
